,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,108.76938369438862,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.0
2,ec2_disk_write_bytes_c0d644.csv,1056.333277088001,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.0
3,ec2_request_latency_system_failure.csv,1056.333277088001,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.0
4,ec2_cpu_utilization_fe7f93.csv,1056.333277088001,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.0
5,grok_asg_anomaly.csv,1160.230520485904,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.0
6,elb_request_count_8c0756.csv,1328.0392482768234,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.0
7,ec2_cpu_utilization_825cc2.csv,1328.0392482768234,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.0
8,ec2_cpu_utilization_53ea38.csv,1328.0392482768234,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.0
9,rds_cpu_utilization_cc0c53.csv,1328.0392482768234,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.0
10,ec2_cpu_utilization_5f5533.csv,1328.0392482768234,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.0
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,124.90840287893359,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.1
14,ec2_disk_write_bytes_c0d644.csv,1072.472296272546,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.1
15,ec2_request_latency_system_failure.csv,1072.472296272546,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.1
16,ec2_cpu_utilization_fe7f93.csv,1072.472296272546,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.1
17,grok_asg_anomaly.csv,1176.3695396704488,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.1
18,elb_request_count_8c0756.csv,1344.1782674613683,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.1
19,ec2_cpu_utilization_825cc2.csv,1344.1782674613683,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.1
20,ec2_cpu_utilization_53ea38.csv,1344.1782674613683,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.1
21,rds_cpu_utilization_cc0c53.csv,1344.1782674613683,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.1
22,ec2_cpu_utilization_5f5533.csv,1344.1782674613683,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.1
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,160.41424508493247,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.2
26,ec2_disk_write_bytes_c0d644.csv,1107.978138478545,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.2
27,ec2_request_latency_system_failure.csv,1107.978138478545,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.2
28,ec2_cpu_utilization_fe7f93.csv,1107.978138478545,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.2
29,grok_asg_anomaly.csv,1211.8753818764478,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.2
30,elb_request_count_8c0756.csv,1379.6841096673672,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.2
31,ec2_cpu_utilization_825cc2.csv,1379.6841096673672,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.2
32,ec2_cpu_utilization_53ea38.csv,1379.6841096673672,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.2
33,rds_cpu_utilization_cc0c53.csv,1379.6841096673672,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.2
34,ec2_cpu_utilization_5f5533.csv,1379.6841096673672,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.2
35,,,,,,,,,
36,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
37,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,224.32476105573056,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
38,ec2_disk_write_bytes_c0d644.csv,1171.888654449343,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
39,ec2_request_latency_system_failure.csv,1171.888654449343,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
40,ec2_cpu_utilization_fe7f93.csv,1171.888654449343,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
41,grok_asg_anomaly.csv,1275.785897847246,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
42,elb_request_count_8c0756.csv,1443.5946256381653,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
43,ec2_cpu_utilization_825cc2.csv,1443.5946256381653,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
44,ec2_cpu_utilization_53ea38.csv,1443.5946256381653,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
45,rds_cpu_utilization_cc0c53.csv,1443.5946256381653,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
46,ec2_cpu_utilization_5f5533.csv,1443.5946256381653,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
47,,,,,,,,,
48,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
