,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,430867.27854477847,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.0
2,ec2_disk_write_bytes_c0d644.csv,3239227.2724558245,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.0
3,ec2_request_latency_system_failure.csv,3239227.2724558245,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.0
4,ec2_cpu_utilization_fe7f93.csv,3239227.2724558245,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.0
5,grok_asg_anomaly.csv,3706238.36168952,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.0
6,elb_request_count_8c0756.csv,4460527.255051589,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.0
7,ec2_cpu_utilization_825cc2.csv,4460527.255051589,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.0
8,ec2_cpu_utilization_53ea38.csv,4460527.255051589,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.0
9,rds_cpu_utilization_cc0c53.csv,4460527.255051589,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.0
10,ec2_cpu_utilization_5f5533.csv,4460527.255051589,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.0
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,503411.07941964694,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.1
14,ec2_disk_write_bytes_c0d644.csv,3166683.471617254,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.1
15,ec2_request_latency_system_failure.csv,3166683.471617254,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.1
16,ec2_cpu_utilization_fe7f93.csv,3166683.471617254,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.1
17,grok_asg_anomaly.csv,3633694.5608511926,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.1
18,elb_request_count_8c0756.csv,4387983.454213489,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.1
19,ec2_cpu_utilization_825cc2.csv,4387983.454213489,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.1
20,ec2_cpu_utilization_53ea38.csv,4387983.454213489,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.1
21,rds_cpu_utilization_cc0c53.csv,4387983.454213489,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.1
22,ec2_cpu_utilization_5f5533.csv,4387983.454213489,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.1
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,663007.4413349732,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.2
26,ec2_disk_write_bytes_c0d644.csv,3007087.1097785826,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.2
27,ec2_request_latency_system_failure.csv,3007087.1097785826,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.2
28,ec2_cpu_utilization_fe7f93.csv,3007087.1097785826,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.2
29,grok_asg_anomaly.csv,3474098.199013075,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.2
30,elb_request_count_8c0756.csv,4228387.092375886,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.2
31,ec2_cpu_utilization_825cc2.csv,4228387.092375886,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.2
32,ec2_cpu_utilization_53ea38.csv,4228387.092375886,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.2
33,rds_cpu_utilization_cc0c53.csv,4228387.092375886,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.2
34,ec2_cpu_utilization_5f5533.csv,4228387.092375886,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.2
35,,,,,,,,,
36,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
37,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,950280.892758105,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
38,ec2_disk_write_bytes_c0d644.csv,2719813.6584861744,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
39,ec2_request_latency_system_failure.csv,2719813.6584861744,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
40,ec2_cpu_utilization_fe7f93.csv,2719813.6584861744,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
41,grok_asg_anomaly.csv,3186824.747721726,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
42,elb_request_count_8c0756.csv,3941113.6410855018,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
43,ec2_cpu_utilization_825cc2.csv,3941113.6410855018,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
44,ec2_cpu_utilization_53ea38.csv,3941113.6410855018,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
45,rds_cpu_utilization_cc0c53.csv,3941113.6410855018,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
46,ec2_cpu_utilization_5f5533.csv,3941113.6410855018,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
47,,,,,,,,,
48,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
49,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1448221.541837757,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.4
50,ec2_disk_write_bytes_c0d644.csv,2221873.0096175224,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999,0.4
51,ec2_request_latency_system_failure.csv,2221873.0096175224,KMeans,0.66666667,3,KMeans,0.38537271,0.4468761299999999,0.4
52,ec2_cpu_utilization_fe7f93.csv,2221873.0096175224,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999,0.4
53,grok_asg_anomaly.csv,2688884.0988551397,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.4
54,elb_request_count_8c0756.csv,3443172.9922207063,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.4
55,ec2_cpu_utilization_825cc2.csv,3443172.9922207063,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.4
56,ec2_cpu_utilization_53ea38.csv,3443172.9922207063,KMeans,0.04255319,8,KMeans,0.38537271,0.4468761299999999,0.4
57,rds_cpu_utilization_cc0c53.csv,3443172.9922207063,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999,0.4
58,ec2_cpu_utilization_5f5533.csv,3443172.9922207063,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999,0.4
59,,,,,,,,,
60,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
61,ec2_disk_write_bytes_c0d644.csv,1350476.8741761586,Linear,0.5,1,Linear,0.92639843,0.98790185,0.5
62,ec2_request_latency_system_failure.csv,1350476.8741761586,KMeans,0.66666667,2,KMeans,0.38537271,0.4468761299999999,0.5
63,ec2_cpu_utilization_fe7f93.csv,1350476.8741761586,Linear,0.5,3,Linear,0.92639843,0.98790185,0.5
64,grok_asg_anomaly.csv,1817487.9634182644,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999,0.5
65,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,2319617.6776010315,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.5
66,ec2_cpu_utilization_825cc2.csv,2571776.8567873947,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.5
67,ec2_cpu_utilization_53ea38.csv,2571776.8567873947,KMeans,0.04255319,7,KMeans,0.38537271,0.4468761299999999,0.5
68,rds_cpu_utilization_cc0c53.csv,2571776.8567873947,Gaussian,1.0,8,KMeans,0.38537271,0.4468761299999999,0.5
69,ec2_cpu_utilization_5f5533.csv,2571776.8567873947,KMeans,0.57142857,9,KMeans,0.38537271,0.4468761299999999,0.5
70,ec2_cpu_utilization_24ae8d.csv,2571776.8567873947,KMeans,1.0,10,KMeans,0.38537271,0.4468761299999999,0.5
71,,,,,,,,,
72,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
73,ec2_disk_write_bytes_c0d644.csv,218036.16943676537,Linear,0.5,1,Linear,0.92639843,0.98790185,0.6000000000000001
74,ec2_request_latency_system_failure.csv,218036.16943676537,KMeans,0.66666667,2,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
75,ec2_cpu_utilization_fe7f93.csv,218036.16943676537,Linear,0.5,3,Linear,0.92639843,0.98790185,0.6000000000000001
76,grok_asg_anomaly.csv,248974.91981819645,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
77,ec2_cpu_utilization_825cc2.csv,1003263.8131958093,KMeans,0.66666667,5,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
78,ec2_cpu_utilization_53ea38.csv,1003263.8131958093,KMeans,0.04255319,6,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
79,rds_cpu_utilization_cc0c53.csv,1003263.8131958093,Gaussian,1.0,7,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
80,ec2_cpu_utilization_5f5533.csv,1003263.8131958093,KMeans,0.57142857,8,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
81,ec2_cpu_utilization_24ae8d.csv,1003263.8131958093,KMeans,1.0,9,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
82,rds_cpu_utilization_e47b3b.csv,1003263.8131958093,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
83,,,,,,,,,
84,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
85,cpu_utilization_asg_misconfiguration.csv,27677.792690884322,KMeans,0.00775194,1,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
86,machine_temperature_system_failure.csv,349966.65591606125,Linear,0.4,2,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
87,ec2_cpu_utilization_c6585a.csv,517923.5219801264,Linear,0.0,3,Linear,0.92639843,0.98790185,0.7000000000000001
88,ec2_disk_write_bytes_1ef3de.csv,523150.7555288784,Linear,0.08695652,4,Linear,0.92639843,0.98790185,0.7000000000000001
89,ec2_cpu_utilization_77c1ca.csv,703376.4605571292,KMeans,0.03921569,5,Linear,0.92639843,0.98790185,0.7000000000000001
90,art_increase_spike_density.csv,703376.4605571292,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
91,art_load_balancer_spikes.csv,703376.4605571292,KMeans,0.25,7,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
92,ec2_network_in_257a54.csv,703376.4605571292,KMeans,0.5,8,KMeans,0.38537271,0.4468761299999999,0.7000000000000001
