,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,7.1718454,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,ec2_cpu_utilization_c6585a.csv,11.83129,Linear,0.0,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,13.308906,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,art_increase_spike_density.csv,13.939113,KMeans,0.15384615,4,KMeans,0.38537271,0.4468761299999999
5,nyc_taxi.csv,14.205856,Linear,0.25,5,KMeans,0.38537271,0.4468761299999999
6,art_daily_flatmiddle.csv,14.366061,KMeans,0.02,6,KMeans,0.38537271,0.4468761299999999
7,rogue_agent_key_updown.csv,14.494037,Gaussian,0.00083455,7,KMeans,0.38537271,0.4468761299999999
8,rogue_agent_key_hold.csv,14.620797,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999
9,rds_cpu_utilization_e47b3b.csv,14.842178,Linear,0.66666667,9,KMeans,0.38537271,0.4468761299999999
10,speed_7578.csv,14.845233,KMeans,0.75,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Statlog Shuttle,6.7392097,KMeans,0.96766744,1,KMeans,0.96766744,1.0
14,ec2_cpu_utilization_c6585a.csv,11.089207,Linear,0.0,2,KMeans,0.96766744,1.0
15,ambient_temperature_system_failure.csv,12.517608,KMeans,0.8,3,KMeans,0.96766744,1.0
16,art_increase_spike_density.csv,13.208697,KMeans,0.15384615,4,KMeans,0.96766744,1.0
17,nyc_taxi.csv,13.424021,Linear,0.25,5,KMeans,0.96766744,1.0
18,art_daily_flatmiddle.csv,13.611225,KMeans,0.02,6,KMeans,0.96766744,1.0
19,rogue_agent_key_updown.csv,13.746987,Gaussian,0.00083455,7,KMeans,0.96766744,1.0
20,rogue_agent_key_hold.csv,13.87468,Linear,0.003367,8,KMeans,0.96766744,1.0
21,rds_cpu_utilization_e47b3b.csv,14.091235,Linear,0.66666667,9,KMeans,0.96766744,1.0
22,speed_7578.csv,14.09744,KMeans,0.75,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,Statlog Shuttle,6.7436175,KMeans,0.96766744,1,KMeans,0.8,1.0
26,ec2_cpu_utilization_c6585a.csv,11.127154,Linear,0.0,2,KMeans,0.8,1.0
27,ambient_temperature_system_failure.csv,12.568928,KMeans,0.8,3,KMeans,0.8,1.0
28,art_increase_spike_density.csv,13.240305,KMeans,0.15384615,4,KMeans,0.8,1.0
29,nyc_taxi.csv,13.49097,Linear,0.25,5,KMeans,0.8,1.0
30,art_daily_flatmiddle.csv,13.658324,KMeans,0.02,6,KMeans,0.8,1.0
31,rogue_agent_key_updown.csv,13.79219,Gaussian,0.00083455,7,KMeans,0.8,1.0
32,rogue_agent_key_hold.csv,13.915804,Linear,0.003367,8,KMeans,0.8,1.0
33,rds_cpu_utilization_e47b3b.csv,14.131218,Linear,0.66666667,9,KMeans,0.8,1.0
34,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,14.140448,KMeans,0.5,10,KMeans,0.8,1.0
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,Statlog Shuttle,6.5220623,KMeans,0.96766744,1,KMeans,1.0,1.0
38,ec2_cpu_utilization_c6585a.csv,10.879248,Linear,0.0,2,KMeans,1.0,1.0
39,ambient_temperature_system_failure.csv,12.292748,KMeans,0.8,3,KMeans,1.0,1.0
40,art_increase_spike_density.csv,13.088472,KMeans,0.15384615,4,KMeans,1.0,1.0
41,nyc_taxi.csv,13.200644,Linear,0.25,5,KMeans,1.0,1.0
42,art_daily_flatmiddle.csv,13.385903,KMeans,0.02,6,KMeans,1.0,1.0
