,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,3652.969839327795,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,nyc_taxi.csv,5671.849453043078,Linear,0.25,2,KMeans,0.38537271,0.4468761299999999
3,TravelTime_451.csv,5676.872049986668,KMeans,0.4,3,KMeans,0.38537271,0.4468761299999999
4,exchange-2_cpc_results.csv,5679.512597233669,KMeans,0.33333333,4,KMeans,0.38537271,0.4468761299999999
5,ambient_temperature_system_failure.csv,5679.896618811069,KMeans,0.8,5,KMeans,0.38537271,0.4468761299999999
6,occupancy_6005.csv,5683.426913437901,Linear,1.0,6,KMeans,0.38537271,0.4468761299999999
7,exchange-2_cpm_results.csv,5685.99393829888,KMeans,0.8,7,KMeans,0.38537271,0.4468761299999999
8,exchange-3_cpm_results.csv,5688.0433174519285,Linear,1.0,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_c6585a.csv,5690.8567583727045,Linear,0.0,9,KMeans,0.38537271,0.4468761299999999
10,TravelTime_387.csv,5693.475307997962,KMeans,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,KDD-Cup99 HTTP,141.18010072404036,RPCA,0.93849658,1,RPCA,0.96658986,0.99892242
14,ec2_cpu_utilization_c6585a.csv,1483.5862242145427,Linear,0.0,2,Linear,0.96707106,0.9994036199999999
15,nyc_taxi.csv,1856.4819477458354,Linear,0.25,3,Linear,0.96707106,0.9994036199999999
16,Twitter_volume_GOOG.csv,1860.5447953086762,Linear,0.4,4,Linear,0.96707106,0.9994036199999999
17,exchange-2_cpc_results.csv,1861.8482182465257,KMeans,0.33333333,5,Linear,0.96707106,0.9994036199999999
18,occupancy_6005.csv,1862.3095497226825,Linear,1.0,6,Linear,0.96707106,0.9994036199999999
19,Twitter_volume_IBM.csv,1862.6322822371458,Linear,0.5,7,Linear,0.96707106,0.9994036199999999
20,exchange-2_cpm_results.csv,1863.0118913835001,KMeans,0.8,8,Linear,0.96707106,0.9994036199999999
21,Twitter_volume_AMZN.csv,1863.0581549200174,KMeans,0.66666667,9,Linear,0.96707106,0.9994036199999999
22,art_daily_flatmiddle.csv,1863.2397790047373,KMeans,0.02,10,Linear,0.96707106,0.9994036199999999
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,nyc_taxi.csv,191.69108130914003,Linear,0.25,1,Linear,0.14285714,0.34285714
26,ec2_cpu_utilization_c6585a.csv,230.2411254900489,Linear,0.0,2,Linear,0.14285714,0.34285714
27,exchange-4_cpc_results.csv,233.09041584955975,Linear,0.66666667,3,Linear,0.14285714,0.34285714
28,exchange-4_cpm_results.csv,235.2947327025458,KMeans,0.75,4,Linear,0.14285714,0.34285714
29,art_daily_nojump.csv,237.19041624971857,KMeans,0.00152207,5,Linear,0.14285714,0.34285714
30,art_daily_jumpsdown.csv,237.54879034655377,KMeans,0.03030303,6,KMeans,0.8,1.0
31,rogue_agent_key_updown.csv,238.77646546228465,Gaussian,0.00083455,7,KMeans,0.8,1.0
32,rogue_agent_key_hold.csv,239.04110954042363,Linear,0.003367,8,Linear,0.14285714,0.34285714
33,art_daily_jumpsup.csv,239.57667570304807,KMeans,0.22222222,9,KMeans,0.8,1.0
34,elb_request_count_8c0756.csv,240.0783299882848,Linear,0.66666667,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,TravelTime_387.csv,0.9769883694248485,KMeans,0.66666667,1,KMeans,1.0,1.0
38,rogue_agent_key_updown.csv,1.3357988545567068,Gaussian,0.00083455,2,Gaussian,0.08333333,0.08333332999999998
39,exchange-2_cpm_results.csv,4.679629384108914,KMeans,0.8,3,KMeans,1.0,1.0
40,art_increase_spike_density.csv,5.083772786422383,KMeans,0.15384615,4,KMeans,1.0,1.0
41,TravelTime_451.csv,6.9739913763886605,KMeans,0.4,5,KMeans,1.0,1.0
42,occupancy_t4013.csv,7.423843926656637,Linear,1.0,6,KMeans,1.0,1.0
43,art_daily_flatmiddle.csv,8.020213371052893,KMeans,0.02,7,KMeans,1.0,1.0
44,occupancy_6005.csv,8.66499757605231,Linear,1.0,8,KMeans,1.0,1.0
45,Twitter_volume_AAPL.csv,8.774684334920865,Linear,0.4,9,KMeans,1.0,1.0
46,Twitter_volume_GOOG.csv,9.279672284295026,Linear,0.4,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,Twitter_volume_UPS.csv,0.0950143855845973,Linear,0.28571429,1,Linear,0.4,1.0
50,art_increase_spike_density.csv,0.15676349994008631,KMeans,0.15384615,2,KMeans,0.4,1.0
51,exchange-3_cpc_results.csv,0.22057966826760822,Linear,0.57142857,3,Linear,0.4,1.0
52,exchange-2_cpc_results.csv,0.36467978668023715,KMeans,0.33333333,4,KMeans,0.4,1.0
53,Twitter_volume_CVS.csv,0.3938054440229617,Linear,0.66666667,5,Linear,0.4,1.0
54,ec2_disk_write_bytes_c0d644.csv,0.4050663327634536,Linear,0.5,6,Linear,0.4,1.0
55,art_daily_flatmiddle.csv,0.4645620714701475,KMeans,0.02,7,Linear,0.4,1.0
56,ec2_disk_write_bytes_1ef3de.csv,0.5528738173109708,Linear,0.08695652,8,Linear,0.4,1.0
57,Twitter_volume_KO.csv,0.5629034341157282,Linear,0.8,9,Linear,0.4,1.0
58,Twitter_volume_IBM.csv,0.6295124506984573,Linear,0.5,10,Linear,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,Twitter_volume_IBM.csv,0.011756288533353532,Linear,0.5,1,Linear,0.57142857,0.9047619
62,exchange-3_cpm_results.csv,0.07710446097934609,Linear,1.0,2,Linear,0.57142857,0.9047619
63,machine_temperature_system_failure.csv,0.07801988178195851,Linear,0.4,3,Linear,0.57142857,0.9047619
64,Twitter_volume_KO.csv,0.12013671806737003,Linear,0.8,4,Linear,0.57142857,0.9047619
65,speed_7578.csv,0.12663228848923747,KMeans,0.75,5,Linear,0.57142857,0.9047619
66,rogue_agent_key_updown.csv,0.1340150712634245,Gaussian,0.00083455,6,Linear,0.57142857,0.9047619
67,Twitter_volume_GOOG.csv,0.15065030990064754,Linear,0.4,7,Linear,0.57142857,0.9047619
68,rds_cpu_utilization_cc0c53.csv,0.15180659217776882,Gaussian,1.0,8,Linear,0.57142857,0.9047619
69,elb_request_count_8c0756.csv,0.1578673063623819,Linear,0.66666667,9,Linear,0.57142857,0.9047619
70,Twitter_volume_UPS.csv,0.16460704243354551,Linear,0.28571429,10,Linear,0.57142857,0.9047619
71,,,,,,,,
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
73,ambient_temperature_system_failure.csv,0.3294027700470452,KMeans,0.8,1,KMeans,0.75,1.0
74,ec2_network_in_5abac7.csv,0.34444462280339305,Linear,0.66666667,2,KMeans,0.75,1.0
75,ec2_cpu_utilization_77c1ca.csv,0.5494382100752886,KMeans,0.03921569,3,KMeans,0.75,1.0
76,Twitter_volume_AMZN.csv,0.5541665100087907,KMeans,0.66666667,4,KMeans,0.75,1.0
77,exchange-4_cpm_results.csv,0.7015837006333481,KMeans,0.75,5,KMeans,0.75,1.0
78,speed_t4013.csv,0.7388828933993437,Linear,1.0,6,KMeans,0.75,1.0
79,Twitter_volume_AAPL.csv,0.952740362552555,Linear,0.4,7,KMeans,0.75,1.0
80,exchange-4_cpc_results.csv,1.7300394710845475,Linear,0.66666667,8,KMeans,0.75,1.0
81,Twitter_volume_IBM.csv,1.796586517491319,Linear,0.5,9,Linear,0.4,0.65
82,Twitter_volume_GOOG.csv,1.9499142505278741,Linear,0.4,10,Linear,0.4,0.65
83,,,,,,,,
84,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
85,occupancy_6005.csv,0.010719586420382732,Linear,1.0,1,Linear,0.125,0.45833333
86,art_daily_jumpsup.csv,0.033195858731850936,KMeans,0.22222222,2,KMeans,0.66666667,1.0
87,art_daily_jumpsdown.csv,0.053520831452855466,KMeans,0.03030303,3,KMeans,0.66666667,1.0
88,ec2_request_latency_system_failure.csv,0.14916341346631784,KMeans,0.66666667,4,KMeans,0.66666667,1.0
89,art_daily_flatmiddle.csv,0.155093831351725,KMeans,0.02,5,KMeans,0.66666667,1.0
90,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.15671951418971936,KMeans,0.5,6,KMeans,0.66666667,1.0
91,art_daily_nojump.csv,0.1619613394333959,KMeans,0.00152207,7,KMeans,0.66666667,1.0
92,exchange-2_cpm_results.csv,0.16322864923817187,KMeans,0.8,8,KMeans,0.66666667,1.0
93,Twitter_volume_CVS.csv,0.1901674012408317,Linear,0.66666667,9,KMeans,0.66666667,1.0
94,exchange-4_cpc_results.csv,0.21574647645466657,Linear,0.66666667,10,KMeans,0.66666667,1.0
95,,,,,,,,
96,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
97,grok_asg_anomaly.csv,0.23598283036602807,KMeans,0.5,1,KMeans,0.5,1.0
98,Twitter_volume_CVS.csv,0.6098786734458732,Linear,0.66666667,2,KMeans,0.5,1.0
