,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,94.00032179814056,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,ec2_cpu_utilization_c6585a.csv,189.19034410420977,Linear,0.0,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,193.71683500345597,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,nyc_taxi.csv,206.5772416783127,Linear,0.25,4,KMeans,0.38537271,0.4468761299999999
5,art_increase_spike_density.csv,214.83266370677597,KMeans,0.15384615,5,KMeans,0.38537271,0.4468761299999999
6,rogue_agent_key_updown.csv,217.67787757327764,Gaussian,0.00083455,6,KMeans,0.38537271,0.4468761299999999
7,art_daily_flatmiddle.csv,220.03347877794565,KMeans,0.02,7,KMeans,0.38537271,0.4468761299999999
8,rogue_agent_key_hold.csv,221.56404831177474,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999
9,speed_7578.csv,223.6176796027795,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999
10,exchange-4_cpm_results.csv,227.32666481080494,KMeans,0.75,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Statlog Shuttle,94.00032179814056,KMeans,0.96766744,1,KMeans,0.96766744,1.0
14,ec2_cpu_utilization_c6585a.csv,189.19034410420977,Linear,0.0,2,KMeans,0.96766744,1.0
15,ambient_temperature_system_failure.csv,193.71683500345597,KMeans,0.8,3,KMeans,0.96766744,1.0
16,nyc_taxi.csv,206.5772416783127,Linear,0.25,4,KMeans,0.96766744,1.0
17,art_increase_spike_density.csv,214.83266370677597,KMeans,0.15384615,5,KMeans,0.96766744,1.0
18,rogue_agent_key_updown.csv,217.67787757327764,Gaussian,0.00083455,6,KMeans,0.96766744,1.0
19,art_daily_flatmiddle.csv,220.03347877794565,KMeans,0.02,7,KMeans,0.96766744,1.0
20,rogue_agent_key_hold.csv,221.56404831177474,Linear,0.003367,8,KMeans,0.96766744,1.0
21,speed_7578.csv,223.6176796027795,KMeans,0.75,9,KMeans,0.96766744,1.0
22,exchange-4_cpm_results.csv,227.32666481080494,KMeans,0.75,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,Statlog Shuttle,94.00032179814056,KMeans,0.96766744,1,KMeans,0.8,1.0
26,ec2_cpu_utilization_c6585a.csv,189.19034410420977,Linear,0.0,2,KMeans,0.8,1.0
