,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_cpu_utilization_c6585a.csv,13.497476,Linear,0.0,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,18.363415,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,speed_7578.csv,18.435783,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999
4,machine_temperature_system_failure.csv,18.554594,Linear,0.4,4,KMeans,0.38537271,0.4468761299999999
5,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,18.586077,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999
6,cpu_utilization_asg_misconfiguration.csv,18.720718,KMeans,0.00775194,6,KMeans,0.38537271,0.4468761299999999
7,art_increase_spike_density.csv,18.750902,KMeans,0.15384615,7,KMeans,0.38537271,0.4468761299999999
8,Twitter_volume_CRM.csv,18.776562,KMeans,0.54545455,8,KMeans,0.38537271,0.4468761299999999
9,Twitter_volume_AAPL.csv,18.776562,Linear,0.4,9,KMeans,0.38537271,0.4468761299999999
10,Twitter_volume_IBM.csv,18.77677,Linear,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,12.637791,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,speed_7578.csv,17.146595,KMeans,0.75,2,KMeans,0.96766744,1.0
15,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,17.371147,KMeans,0.5,3,KMeans,0.96766744,1.0
16,Statlog Shuttle,17.603647,KMeans,0.96766744,4,KMeans,0.96766744,1.0
17,exchange-3_cpm_results.csv,17.703575,Linear,1.0,5,KMeans,0.96766744,1.0
18,exchange-3_cpc_results.csv,17.703575,Linear,0.57142857,6,KMeans,0.96766744,1.0
19,machine_temperature_system_failure.csv,17.747892,Linear,0.4,7,Linear,0.96707106,0.9994036199999999
20,exchange-2_cpc_results.csv,17.762548,KMeans,0.33333333,8,KMeans,0.96766744,1.0
21,exchange-2_cpm_results.csv,17.762548,KMeans,0.8,9,KMeans,0.96766744,1.0
22,exchange-4_cpc_results.csv,17.77406,Linear,0.66666667,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,ec2_cpu_utilization_c6585a.csv,13.260588,Linear,0.0,1,Linear,0.14285714,0.34285714
26,speed_7578.csv,18.061766,KMeans,0.75,2,KMeans,0.8,1.0
27,Statlog Shuttle,18.15834,KMeans,0.96766744,3,KMeans,0.8,1.0
28,machine_temperature_system_failure.csv,18.186327,Linear,0.4,4,KMeans,0.8,1.0
29,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,18.235865,KMeans,0.5,5,KMeans,0.8,1.0
30,cpu_utilization_asg_misconfiguration.csv,18.402367,KMeans,0.00775194,6,KMeans,0.8,1.0
31,Twitter_volume_CRM.csv,18.47868,KMeans,0.54545455,7,KMeans,0.8,1.0
32,Twitter_volume_AAPL.csv,18.47868,Linear,0.4,8,KMeans,0.8,1.0
33,Twitter_volume_IBM.csv,18.478968,Linear,0.5,9,KMeans,0.8,1.0
34,Twitter_volume_UPS.csv,18.479836,Linear,0.28571429,10,KMeans,0.8,1.0
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,ec2_cpu_utilization_c6585a.csv,12.197467,Linear,0.0,1,Linear,1.0,1.0
38,speed_7578.csv,17.149313,KMeans,0.75,2,KMeans,1.0,1.0
39,Statlog Shuttle,17.205164,KMeans,0.96766744,3,KMeans,1.0,1.0
40,machine_temperature_system_failure.csv,17.278862,Linear,0.4,4,KMeans,1.0,1.0
41,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,17.303669,KMeans,0.5,5,KMeans,1.0,1.0
42,cpu_utilization_asg_misconfiguration.csv,17.441666,KMeans,0.00775194,6,KMeans,1.0,1.0
43,art_increase_spike_density.csv,17.46933,KMeans,0.15384615,7,KMeans,1.0,1.0
44,Twitter_volume_CRM.csv,17.496054,KMeans,0.54545455,8,KMeans,1.0,1.0
45,Twitter_volume_AAPL.csv,17.496054,Linear,0.4,9,KMeans,1.0,1.0
46,Twitter_volume_IBM.csv,17.496254,Linear,0.5,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,ec2_cpu_utilization_c6585a.csv,12.870956,Linear,0.0,1,Linear,0.4,1.0
50,speed_7578.csv,17.582233,KMeans,0.75,2,KMeans,0.4,1.0
51,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,17.767874,KMeans,0.5,3,KMeans,0.4,1.0
52,machine_temperature_system_failure.csv,17.798286,Linear,0.4,4,KMeans,0.4,1.0
53,Statlog Shuttle,17.82179,KMeans,0.96766744,5,KMeans,0.4,1.0
54,cpu_utilization_asg_misconfiguration.csv,18.014023,KMeans,0.00775194,6,KMeans,0.4,1.0
55,exchange-3_cpm_results.csv,18.035244,Linear,1.0,7,KMeans,0.4,1.0
56,exchange-3_cpc_results.csv,18.035244,Linear,0.57142857,8,KMeans,0.4,1.0
57,exchange-2_cpc_results.csv,18.081478,KMeans,0.33333333,9,KMeans,0.4,1.0
58,exchange-2_cpm_results.csv,18.081478,KMeans,0.8,10,KMeans,0.4,1.0
59,,,,,,,,
