,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,13.423072210141086,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,machine_temperature_system_failure.csv,14.840386795719972,Linear,0.4,2,KMeans,0.38537271,0.4468761299999999
3,cpu_utilization_asg_misconfiguration.csv,14.994559779372324,KMeans,0.00775194,3,KMeans,0.38537271,0.4468761299999999
4,art_increase_spike_density.csv,15.003129966501467,KMeans,0.15384615,4,KMeans,0.38537271,0.4468761299999999
5,Twitter_volume_AAPL.csv,15.074352164894371,Linear,0.4,5,KMeans,0.38537271,0.4468761299999999
6,Twitter_volume_CRM.csv,15.074352164894371,KMeans,0.54545455,6,KMeans,0.38537271,0.4468761299999999
7,Twitter_volume_IBM.csv,15.074697755088119,Linear,0.5,7,KMeans,0.38537271,0.4468761299999999
8,Twitter_volume_UPS.csv,15.075735391113357,Linear,0.28571429,8,KMeans,0.38537271,0.4468761299999999
9,Twitter_volume_PFE.csv,15.07604283533144,KMeans,0.42857143,9,KMeans,0.38537271,0.4468761299999999
10,Twitter_volume_CVS.csv,15.076235103314026,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,nyc_taxi.csv,2.704347166584086,Linear,0.25,1,Linear,0.96707106,0.9994036199999999
14,ambient_temperature_system_failure.csv,2.7488619200039115,KMeans,0.8,2,KMeans,0.96766744,1.0
15,Twitter_volume_AMZN.csv,2.7989916266999586,KMeans,0.66666667,3,KMeans,0.96766744,1.0
16,Twitter_volume_FB.csv,2.799060982340414,Linear,1.0,4,KMeans,0.96766744,1.0
17,Twitter_volume_GOOG.csv,2.7993769779643967,Linear,0.4,5,Linear,0.96707106,0.9994036199999999
18,Twitter_volume_KO.csv,2.7996934758212366,Linear,0.8,6,Linear,0.96707106,0.9994036199999999
19,Twitter_volume_CVS.csv,2.799764516214292,Linear,0.66666667,7,Linear,0.96707106,0.9994036199999999
20,Twitter_volume_PFE.csv,2.799940787536942,KMeans,0.42857143,8,Linear,0.96707106,0.9994036199999999
21,Twitter_volume_UPS.csv,2.800222568006517,Linear,0.28571429,9,Linear,0.96707106,0.9994036199999999
22,Twitter_volume_IBM.csv,2.8011790274798942,Linear,0.5,10,Linear,0.96707106,0.9994036199999999
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,rogue_agent_key_updown.csv,0.36108683717414186,Gaussian,0.00083455,1,Gaussian,0.25,0.44999999999999996
26,nyc_taxi.csv,0.457670915389149,Linear,0.25,2,Gaussian,0.25,0.44999999999999996
27,ec2_network_in_5abac7.csv,0.4972706477296519,Linear,0.66666667,3,Linear,0.14285714,0.34285714
28,ec2_disk_write_bytes_1ef3de.csv,0.4972706477296519,Linear,0.08695652,4,Linear,0.14285714,0.34285714
29,grok_asg_anomaly.csv,0.5251111502118095,KMeans,0.5,5,Linear,0.14285714,0.34285714
30,ec2_cpu_utilization_fe7f93.csv,0.6939398649193225,Linear,0.5,6,Linear,0.14285714,0.34285714
31,art_daily_nojump.csv,0.6939398649193225,KMeans,0.00152207,7,Linear,0.14285714,0.34285714
32,elb_request_count_8c0756.csv,0.6939398649193225,Linear,0.66666667,8,Linear,0.14285714,0.34285714
33,art_daily_jumpsdown.csv,0.6939398649193225,KMeans,0.03030303,9,Linear,0.14285714,0.34285714
34,ec2_cpu_utilization_ac20cd.csv,0.6939398649193225,KMeans,0.66666667,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,1.0,1.0
38,exchange-2_cpc_results.csv,0.16855727738028503,KMeans,0.33333333,2,KMeans,1.0,1.0
39,exchange-2_cpm_results.csv,0.16855727738028503,KMeans,0.8,3,KMeans,1.0,1.0
40,exchange-4_cpc_results.csv,0.2034256876059362,Linear,0.66666667,4,KMeans,1.0,1.0
41,exchange-4_cpm_results.csv,0.2034256876059362,KMeans,0.75,5,KMeans,1.0,1.0
42,rogue_agent_key_hold.csv,0.582296868537576,Linear,0.003367,6,KMeans,1.0,1.0
43,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.7547050505436506,KMeans,0.5,7,KMeans,1.0,1.0
44,TravelTime_451.csv,0.9203997625976903,KMeans,0.4,8,KMeans,1.0,1.0
45,occupancy_6005.csv,1.129184668262968,Linear,1.0,9,KMeans,1.0,1.0
46,speed_7578.csv,1.15940338473632,KMeans,0.75,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,cpu_utilization_asg_misconfiguration.csv,0.6296208854729809,KMeans,0.00775194,1,KMeans,0.4,1.0
50,Twitter_volume_AAPL.csv,0.9218061605075194,Linear,0.4,2,KMeans,0.4,1.0
51,Twitter_volume_CRM.csv,0.9218061605075194,KMeans,0.54545455,3,KMeans,0.4,1.0
52,Twitter_volume_IBM.csv,0.9230323585546257,Linear,0.5,4,KMeans,0.4,1.0
53,Twitter_volume_UPS.csv,0.9267134086492161,Linear,0.28571429,5,Linear,0.4,1.0
54,Twitter_volume_PFE.csv,0.9278028299769538,KMeans,0.42857143,6,KMeans,0.4,1.0
55,Twitter_volume_CVS.csv,0.9284843297104343,Linear,0.66666667,7,Linear,0.4,1.0
56,Twitter_volume_KO.csv,0.9287579070716104,Linear,0.8,8,Linear,0.4,1.0
57,Twitter_volume_GOOG.csv,0.9299841213244237,Linear,0.4,9,Linear,0.4,1.0
58,Twitter_volume_FB.csv,0.9312103381005867,Linear,1.0,10,Linear,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,1,Linear,0.57142857,0.9047619
62,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,2,Linear,0.57142857,0.9047619
63,art_daily_nojump.csv,0.0,KMeans,0.00152207,3,Linear,0.57142857,0.9047619
64,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,4,Linear,0.57142857,0.9047619
65,art_daily_flatmiddle.csv,0.0,KMeans,0.02,5,Linear,0.57142857,0.9047619
66,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,6,KMeans,0.66666667,1.0
67,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,7,KMeans,0.66666667,1.0
68,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,8,KMeans,0.66666667,1.0
69,art_load_balancer_spikes.csv,0.0,KMeans,0.25,9,KMeans,0.66666667,1.0
70,art_daily_jumpsup.csv,0.0,KMeans,0.22222222,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
73,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.404724496875041,KMeans,0.5,1,KMeans,0.75,1.0
74,exchange-3_cpc_results.csv,1.15940338473632,Linear,0.57142857,2,KMeans,0.75,1.0
75,exchange-3_cpm_results.csv,1.15940338473632,Linear,1.0,3,Linear,0.4,0.65
76,exchange-2_cpc_results.csv,1.3279280215256908,KMeans,0.33333333,4,KMeans,0.75,1.0
77,exchange-2_cpm_results.csv,1.3279280215256908,KMeans,0.8,5,KMeans,0.75,1.0
78,exchange-4_cpc_results.csv,1.3627876977044397,Linear,0.66666667,6,KMeans,0.75,1.0
79,exchange-4_cpm_results.csv,1.3627876977044397,KMeans,0.75,7,KMeans,0.75,1.0
80,rogue_agent_key_hold.csv,1.7415021867402385,Linear,0.003367,8,KMeans,0.75,1.0
81,TravelTime_451.csv,2.079311311374616,KMeans,0.4,9,KMeans,0.75,1.0
82,occupancy_6005.csv,2.287785548481502,Linear,1.0,10,KMeans,0.75,1.0
83,,,,,,,,
84,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
85,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,1,Linear,0.125,0.45833333
86,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,2,Linear,0.125,0.45833333
87,art_daily_nojump.csv,0.0,KMeans,0.00152207,3,Linear,0.125,0.45833333
