,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,,,,,,,,
3,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
4,ambient_temperature_system_failure.csv,0.0,KMeans,0.8,1,KMeans,0.96766744,1.0
5,,,,,,,,
6,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
7,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,0.14285714,0.34285714
8,,,,,,,,
9,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
10,machine_temperature_system_failure.csv,0.0,Linear,0.4,1,Linear,1.0,1.0
11,,,,,,,,
12,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
13,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,1,KMeans,0.4,1.0
14,,,,,,,,
15,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
16,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.66666667,1.0
17,,,,,,,,
18,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
19,ec2_cpu_utilization_825cc2.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0
20,,,,,,,,
21,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
22,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.66666667,1.0
23,,,,,,,,
24,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
25,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.5,1.0
26,,,,,,,,
27,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
28,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0
29,,,,,,,,
30,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
31,Twitter_volume_KO.csv,0.0,Linear,0.8,1,Linear,0.5,0.83333333
32,,,,,,,,
33,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
34,rogue_agent_key_updown.csv,0.0,Gaussian,0.00083455,1,Gaussian,nan,nan
35,,,,,,,,
36,rogue_agent_key_updown.csv,0,Gaussian,0.00083455,0,Gaussian,0.00083455,1
37,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,1,Gaussian,0.00083455,1.0
38,,,,,,,,
39,rds_cpu_utilization_cc0c53.csv,0,Gaussian,1.0,0,Gaussian,1.0,1
40,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,1.0,1.0
41,,,,,,,,
42,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
43,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,1,KMeans,0.25,1.0
44,,,,,,,,
45,ec2_cpu_utilization_5f5533.csv,0,KMeans,0.57142857,0,KMeans,0.57142857,1
46,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.57142857,1.0
47,,,,,,,,
48,art_daily_flatmiddle.csv,0,KMeans,0.02,0,KMeans,0.02,1
49,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.02,1.0
50,,,,,,,,
51,ec2_disk_write_bytes_c0d644.csv,0,Linear,0.5,0,Linear,0.5,1
52,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.5,1.0
53,,,,,,,,
54,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
55,Twitter_volume_AAPL.csv,0.0,Linear,0.4,1,Linear,0.18181818,0.7818181799999999
56,,,,,,,,
57,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
58,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,1,Linear,0.4,1.0
59,,,,,,,,
60,rds_cpu_utilization_e47b3b.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
61,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.66666667,1.0
62,,,,,,,,
63,ec2_network_in_5abac7.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
64,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0,KMeans,0.5,1,KMeans,0.66666667,1.0
65,,,,,,,,
66,ec2_cpu_utilization_ac20cd.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
67,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.66666667,1.0
68,,,,,,,,
69,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
70,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,1,KMeans,0.22222222,0.93650793
71,,,,,,,,
72,art_daily_jumpsdown.csv,0,KMeans,0.03030303,0,KMeans,0.03030303,1
73,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.03030303,1.0
74,,,,,,,,
75,exchange-2_cpm_results.csv,0,KMeans,0.8,0,KMeans,0.8,1
76,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.5,0.7
77,,,,,,,,
78,elb_request_count_8c0756.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
79,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.66666667,1.0
80,,,,,,,,
81,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
82,Twitter_volume_KO.csv,0.0,Linear,0.8,1,Linear,0.66666667,1.0
83,,,,,,,,
84,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
85,Twitter_volume_GOOG.csv,0.0,Linear,0.4,1,Linear,0.8,1.0
86,,,,,,,,
87,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
88,exchange-2_cpc_results.csv,0.0,KMeans,0.33333333,1,KMeans,0.4,1.0
89,,,,,,,,
90,exchange-2_cpc_results.csv,0,KMeans,0.33333333,0,KMeans,0.33333333,1
91,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,1,Linear,0.06666667,0.73333334
92,,,,,,,,
93,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
94,cpu_utilization_asg_misconfiguration.csv,0.0,KMeans,0.00775194,1,KMeans,0.66666667,1.0
95,,,,,,,,
96,cpu_utilization_asg_misconfiguration.csv,0,KMeans,0.00775194,0,KMeans,0.00775194,1
97,occupancy_t4013.csv,0.0,Linear,1.0,1,Linear,0.00110132,0.99334938
98,,,,,,,,
99,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
100,Twitter_volume_KO.csv,0.0,Linear,0.8,1,Linear,1.0,1.0
101,,,,,,,,
102,art_daily_jumpsup.csv,0,KMeans,0.22222222,0,KMeans,0.22222222,1
103,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.22222222,1.0
104,,,,,,,,
105,rogue_agent_key_hold.csv,0,Linear,0.003367,0,Linear,0.003367,1
106,art_load_balancer_spikes.csv,0.0,KMeans,0.25,1,KMeans,0.00212993,0.99876293
107,,,,,,,,
108,art_load_balancer_spikes.csv,0,KMeans,0.25,0,KMeans,0.25,1
109,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.25,1.0
110,,,,,,,,
111,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
112,art_increase_spike_density.csv,0.0,KMeans,0.15384615,1,KMeans,1.0,1.0
113,,,,,,,,
114,art_increase_spike_density.csv,0,KMeans,0.15384615,0,KMeans,0.15384615,1
115,occupancy_6005.csv,0.0,Linear,1.0,1,Linear,0.04,0.88615385
116,,,,,,,,
117,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
118,Twitter_volume_IBM.csv,0.0,Linear,0.5,1,Linear,1.0,1.0
119,,,,,,,,
120,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
121,ec2_cpu_utilization_24ae8d.csv,0.0,KMeans,1.0,1,KMeans,0.5,1.0
122,,,,,,,,
123,ec2_cpu_utilization_24ae8d.csv,0,KMeans,1.0,0,KMeans,1.0,1
124,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,1.0,1.0
125,,,,,,,,
126,ec2_disk_write_bytes_1ef3de.csv,0,Linear,0.08695652,0,Linear,0.08695652,1
127,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0,KMeans,0.5,1,KMeans,0.08695652,1.0
128,,,,,,,,
129,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0,KMeans,0.5,0,KMeans,0.5,1
