,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_cpu_utilization_c6585a.csv,3.0333284291956453,Linear,0.0,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,3.7371690766573202,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,art_increase_spike_density.csv,3.7922814365654522,KMeans,0.15384615,3,KMeans,0.38537271,0.4468761299999999
4,speed_7578.csv,3.826887871875666,KMeans,0.75,4,KMeans,0.38537271,0.4468761299999999
5,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,3.8312761853164963,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999
6,exchange-3_cpc_results.csv,3.8386887669724814,Linear,0.57142857,6,KMeans,0.38537271,0.4468761299999999
7,exchange-3_cpm_results.csv,3.8386887669724814,Linear,1.0,7,KMeans,0.38537271,0.4468761299999999
8,exchange-2_cpc_results.csv,3.84020907648733,KMeans,0.33333333,8,KMeans,0.38537271,0.4468761299999999
9,exchange-2_cpm_results.csv,3.8402090805353595,KMeans,0.8,9,KMeans,0.38537271,0.4468761299999999
10,exchange-4_cpc_results.csv,3.8405175034977077,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,art_increase_spike_density.csv,0.353871261798683,KMeans,0.15384615,1,KMeans,0.96766744,1.0
14,machine_temperature_system_failure.csv,0.4566457429815598,Linear,0.4,2,KMeans,0.96766744,1.0
15,cpu_utilization_asg_misconfiguration.csv,0.47444607185845467,KMeans,0.00775194,3,KMeans,0.96766744,1.0
16,Twitter_volume_AAPL.csv,0.48014111372732143,Linear,0.4,4,KMeans,0.96766744,1.0
17,Twitter_volume_CRM.csv,0.48014111372732143,KMeans,0.54545455,5,KMeans,0.96766744,1.0
18,Twitter_volume_IBM.csv,0.4801616533670425,Linear,0.5,6,KMeans,0.96766744,1.0
19,Twitter_volume_UPS.csv,0.4802229967159235,Linear,0.28571429,7,Linear,0.96707106,0.9994036199999999
20,Twitter_volume_PFE.csv,0.48024118327501947,KMeans,0.42857143,8,KMeans,0.96766744,1.0
21,Twitter_volume_CVS.csv,0.4802525110276292,Linear,0.66666667,9,Linear,0.96707106,0.9994036199999999
22,Twitter_volume_KO.csv,0.480256996277201,Linear,0.8,10,Linear,0.96707106,0.9994036199999999
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,occupancy_6005.csv,0.0044511203088859475,Linear,1.0,1,Linear,0.14285714,0.34285714
26,art_increase_spike_density.csv,0.015487977353796367,KMeans,0.15384615,2,KMeans,0.8,1.0
27,speed_t4013.csv,0.03581015562946277,Linear,1.0,3,Linear,0.14285714,0.34285714
28,speed_6005.csv,0.03738259422718215,Linear,0.66666667,4,Linear,0.14285714,0.34285714
29,occupancy_t4013.csv,0.03738259422718215,Linear,1.0,5,Linear,0.14285714,0.34285714
30,TravelTime_387.csv,0.03738259422718215,KMeans,0.66666667,6,Linear,0.14285714,0.34285714
31,TravelTime_451.csv,0.10689614847379403,KMeans,0.4,7,Linear,0.14285714,0.34285714
32,rogue_agent_key_updown.csv,0.14024294865728848,Gaussian,0.00083455,8,Linear,0.14285714,0.34285714
33,ec2_disk_write_bytes_1ef3de.csv,0.16979406822511933,Linear,0.08695652,9,Linear,0.14285714,0.34285714
34,ec2_network_in_5abac7.csv,0.16979406822511933,Linear,0.66666667,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,exchange-3_cpm_results.csv,1.8834289683411498e-10,Linear,1.0,1,Linear,1.0,1.0
38,exchange-4_cpm_results.csv,2.5290068305316993e-05,KMeans,0.75,2,KMeans,1.0,1.0
39,exchange-4_cpc_results.csv,2.5290068305316993e-05,Linear,0.66666667,3,Linear,1.0,1.0
40,rogue_agent_key_updown.csv,2.581185379324502e-05,Gaussian,0.00083455,4,Linear,1.0,1.0
41,exchange-2_cpc_results.csv,3.5416686729128344e-05,KMeans,0.33333333,5,KMeans,1.0,1.0
42,exchange-2_cpm_results.csv,3.54168134819588e-05,KMeans,0.8,6,KMeans,1.0,1.0
43,rogue_agent_key_hold.csv,0.0004034592790234104,Linear,0.003367,7,KMeans,1.0,1.0
44,ec2_network_in_5abac7.csv,0.00045606008768483974,Linear,0.66666667,8,Linear,1.0,1.0
45,ec2_disk_write_bytes_1ef3de.csv,0.00045606008768483974,Linear,0.08695652,9,Linear,1.0,1.0
46,grok_asg_anomaly.csv,0.0005695438919586238,KMeans,0.5,10,Linear,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,cpu_utilization_asg_misconfiguration.csv,5.191369027861704e-05,KMeans,0.00775194,1,KMeans,0.4,1.0
