,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,29.843165328841028,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,machine_temperature_system_failure.csv,31.98460306401526,Linear,0.4,2,KMeans,0.38537271,0.4468761299999999
3,cpu_utilization_asg_misconfiguration.csv,32.721073936964295,KMeans,0.00775194,3,KMeans,0.38537271,0.4468761299999999
4,Twitter_volume_AAPL.csv,33.07259861399009,Linear,0.4,4,KMeans,0.38537271,0.4468761299999999
5,Twitter_volume_CRM.csv,33.07259861399009,KMeans,0.54545455,5,KMeans,0.38537271,0.4468761299999999
6,Twitter_volume_IBM.csv,33.07408925212466,Linear,0.5,6,KMeans,0.38537271,0.4468761299999999
7,Twitter_volume_UPS.csv,33.07858558663064,Linear,0.28571429,7,Linear,0.92639843,0.98790185
8,Twitter_volume_PFE.csv,33.07990517161642,KMeans,0.42857143,8,KMeans,0.38537271,0.4468761299999999
9,Twitter_volume_CVS.csv,33.0807360172581,Linear,0.66666667,9,Linear,0.92639843,0.98790185
10,Twitter_volume_KO.csv,33.08107812355567,Linear,0.8,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,nyc_taxi.csv,4.214068906537845,Linear,0.25,1,Linear,0.96707106,0.9994036199999999
14,ambient_temperature_system_failure.csv,4.860568070176139,KMeans,0.8,2,KMeans,0.96766744,1.0
15,Twitter_volume_AMZN.csv,5.051052360003231,KMeans,0.66666667,3,KMeans,0.96766744,1.0
16,Twitter_volume_FB.csv,5.051321412315461,Linear,1.0,4,KMeans,0.96766744,1.0
17,Twitter_volume_GOOG.csv,5.052593197976137,Linear,0.4,5,Linear,0.96707106,0.9994036199999999
18,Twitter_volume_KO.csv,5.053864983636812,Linear,0.8,6,Linear,0.96707106,0.9994036199999999
19,Twitter_volume_CVS.csv,5.054158456051299,Linear,0.66666667,7,Linear,0.96707106,0.9994036199999999
20,Twitter_volume_PFE.csv,5.054867716985259,KMeans,0.42857143,8,Linear,0.96707106,0.9994036199999999
21,Twitter_volume_UPS.csv,5.055992766438691,Linear,0.28571429,9,Linear,0.96707106,0.9994036199999999
22,Twitter_volume_IBM.csv,5.059832543522976,Linear,0.5,10,Linear,0.96707106,0.9994036199999999
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,rogue_agent_key_updown.csv,0.5330416803456446,Gaussian,0.00083455,1,Gaussian,0.25,0.44999999999999996
26,nyc_taxi.csv,0.6464991636382951,Linear,0.25,2,Gaussian,0.25,0.44999999999999996
27,ec2_network_in_5abac7.csv,0.7324731684733503,Linear,0.66666667,3,Linear,0.14285714,0.34285714
28,ec2_disk_write_bytes_1ef3de.csv,0.7324731684733503,Linear,0.08695652,4,Linear,0.14285714,0.34285714
29,grok_asg_anomaly.csv,0.772827432598378,KMeans,0.5,5,Linear,0.14285714,0.34285714
30,ec2_cpu_utilization_fe7f93.csv,1.0135781834782174,Linear,0.5,6,Linear,0.14285714,0.34285714
31,art_daily_nojump.csv,1.0135781834782174,KMeans,0.00152207,7,Linear,0.14285714,0.34285714
32,elb_request_count_8c0756.csv,1.0135781834782174,Linear,0.66666667,8,Linear,0.14285714,0.34285714
33,art_daily_jumpsdown.csv,1.0135781834782174,KMeans,0.03030303,9,Linear,0.14285714,0.34285714
34,ec2_cpu_utilization_ac20cd.csv,1.0135781834782174,KMeans,0.66666667,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,1.0,1.0
38,exchange-2_cpc_results.csv,0.18076726614878635,KMeans,0.33333333,2,KMeans,1.0,1.0
39,exchange-2_cpm_results.csv,0.18076726614878635,KMeans,0.8,3,KMeans,1.0,1.0
40,exchange-4_cpc_results.csv,0.2183275196479621,Linear,0.66666667,4,KMeans,1.0,1.0
41,exchange-4_cpm_results.csv,0.2183275196479621,KMeans,0.75,5,KMeans,1.0,1.0
42,rogue_agent_key_hold.csv,0.6308831785719397,Linear,0.003367,6,KMeans,1.0,1.0
43,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.796909944606577,KMeans,0.5,7,KMeans,1.0,1.0
44,TravelTime_451.csv,1.0080342989744027,KMeans,0.4,8,KMeans,1.0,1.0
45,speed_7578.csv,1.2183406914954964,KMeans,0.75,9,KMeans,1.0,1.0
46,occupancy_6005.csv,1.246911829548246,Linear,1.0,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
