,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_cpu_utilization_c6585a.csv,25.39471619014273,Linear,0.0,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,28.449051661034122,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,speed_7578.csv,30.30883695600619,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999
4,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,30.722349468167188,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999
5,machine_temperature_system_failure.csv,30.84793219812047,Linear,0.4,5,KMeans,0.38537271,0.4468761299999999
6,art_increase_spike_density.csv,31.406171362782988,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999
7,exchange-3_cpm_results.csv,31.499122521186383,Linear,1.0,7,KMeans,0.38537271,0.4468761299999999
8,exchange-3_cpc_results.csv,31.499122521186386,Linear,0.57142857,8,KMeans,0.38537271,0.4468761299999999
9,cpu_utilization_asg_misconfiguration.csv,31.58440307102983,KMeans,0.00775194,9,KMeans,0.38537271,0.4468761299999999
10,exchange-2_cpc_results.csv,31.674019368472138,KMeans,0.33333333,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,25.39471619014273,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,Statlog Shuttle,28.449051661034122,KMeans,0.96766744,2,KMeans,0.96766744,1.0
15,speed_7578.csv,30.30883695600619,KMeans,0.75,3,KMeans,0.96766744,1.0
16,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,30.722349468167188,KMeans,0.5,4,KMeans,0.96766744,1.0
17,machine_temperature_system_failure.csv,30.84793219812047,Linear,0.4,5,KMeans,0.96766744,1.0
18,art_increase_spike_density.csv,31.406171362782988,KMeans,0.15384615,6,KMeans,0.96766744,1.0
19,exchange-3_cpm_results.csv,31.499122521186383,Linear,1.0,7,KMeans,0.96766744,1.0
20,exchange-3_cpc_results.csv,31.499122521186386,Linear,0.57142857,8,KMeans,0.96766744,1.0
21,cpu_utilization_asg_misconfiguration.csv,31.58440307102983,KMeans,0.00775194,9,KMeans,0.96766744,1.0
22,exchange-2_cpc_results.csv,31.674019368472138,KMeans,0.33333333,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,ec2_cpu_utilization_c6585a.csv,25.39471619014273,Linear,0.0,1,Linear,0.14285714,0.34285714
26,Statlog Shuttle,28.449051661034122,KMeans,0.96766744,2,KMeans,0.8,1.0
27,speed_7578.csv,30.30883695600619,KMeans,0.75,3,KMeans,0.8,1.0
28,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,30.722349468167188,KMeans,0.5,4,KMeans,0.8,1.0
29,machine_temperature_system_failure.csv,30.84793219812047,Linear,0.4,5,KMeans,0.8,1.0
30,art_increase_spike_density.csv,31.406171362782988,KMeans,0.15384615,6,KMeans,0.8,1.0
31,exchange-3_cpm_results.csv,31.499122521186383,Linear,1.0,7,KMeans,0.8,1.0
32,exchange-3_cpc_results.csv,31.499122521186386,Linear,0.57142857,8,KMeans,0.8,1.0
33,cpu_utilization_asg_misconfiguration.csv,31.58440307102983,KMeans,0.00775194,9,KMeans,0.8,1.0
34,exchange-2_cpc_results.csv,31.674019368472138,KMeans,0.33333333,10,KMeans,0.8,1.0
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,ec2_cpu_utilization_c6585a.csv,25.39471619014273,Linear,0.0,1,Linear,1.0,1.0
38,Statlog Shuttle,28.449051661034122,KMeans,0.96766744,2,KMeans,1.0,1.0
39,speed_7578.csv,30.30883695600619,KMeans,0.75,3,KMeans,1.0,1.0
40,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,30.722349468167188,KMeans,0.5,4,KMeans,1.0,1.0
41,machine_temperature_system_failure.csv,30.84793219812047,Linear,0.4,5,KMeans,1.0,1.0
42,art_increase_spike_density.csv,31.406171362782988,KMeans,0.15384615,6,KMeans,1.0,1.0
43,exchange-3_cpm_results.csv,31.499122521186383,Linear,1.0,7,KMeans,1.0,1.0
44,exchange-3_cpc_results.csv,31.499122521186386,Linear,0.57142857,8,KMeans,1.0,1.0
45,cpu_utilization_asg_misconfiguration.csv,31.58440307102983,KMeans,0.00775194,9,KMeans,1.0,1.0
46,exchange-2_cpc_results.csv,31.674019368472138,KMeans,0.33333333,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,ec2_cpu_utilization_c6585a.csv,25.39471619014273,Linear,0.0,1,Linear,0.4,1.0
50,Statlog Shuttle,28.449051661034122,KMeans,0.96766744,2,KMeans,0.4,1.0
51,speed_7578.csv,30.30883695600619,KMeans,0.75,3,KMeans,0.4,1.0
52,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,30.722349468167188,KMeans,0.5,4,KMeans,0.4,1.0
53,machine_temperature_system_failure.csv,30.84793219812047,Linear,0.4,5,KMeans,0.4,1.0
54,art_increase_spike_density.csv,31.406171362782988,KMeans,0.15384615,6,KMeans,0.4,1.0
55,exchange-3_cpm_results.csv,31.499122521186383,Linear,1.0,7,KMeans,0.4,1.0
56,exchange-3_cpc_results.csv,31.499122521186386,Linear,0.57142857,8,KMeans,0.4,1.0
57,cpu_utilization_asg_misconfiguration.csv,31.58440307102983,KMeans,0.00775194,9,KMeans,0.4,1.0
58,exchange-2_cpc_results.csv,31.674019368472138,KMeans,0.33333333,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_c6585a.csv,25.39471619014273,Linear,0.0,1,Linear,0.57142857,0.9047619
62,Statlog Shuttle,28.449051661034122,KMeans,0.96766744,2,KMeans,0.66666667,1.0
63,speed_7578.csv,30.30883695600619,KMeans,0.75,3,KMeans,0.66666667,1.0
64,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,30.722349468167188,KMeans,0.5,4,KMeans,0.66666667,1.0
65,machine_temperature_system_failure.csv,30.84793219812047,Linear,0.4,5,KMeans,0.66666667,1.0
66,art_increase_spike_density.csv,31.406171362782988,KMeans,0.15384615,6,KMeans,0.66666667,1.0
67,exchange-3_cpm_results.csv,31.499122521186383,Linear,1.0,7,KMeans,0.66666667,1.0
68,exchange-3_cpc_results.csv,31.499122521186386,Linear,0.57142857,8,KMeans,0.66666667,1.0
69,cpu_utilization_asg_misconfiguration.csv,31.58440307102983,KMeans,0.00775194,9,KMeans,0.66666667,1.0
70,exchange-2_cpc_results.csv,31.674019368472138,KMeans,0.33333333,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
73,ec2_cpu_utilization_c6585a.csv,25.39471619014273,Linear,0.0,1,Linear,0.4,0.65
74,Statlog Shuttle,28.449051661034122,KMeans,0.96766744,2,KMeans,0.75,1.0
75,speed_7578.csv,30.30883695600619,KMeans,0.75,3,KMeans,0.75,1.0
76,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,30.722349468167188,KMeans,0.5,4,KMeans,0.75,1.0
77,machine_temperature_system_failure.csv,30.84793219812047,Linear,0.4,5,KMeans,0.75,1.0
78,art_increase_spike_density.csv,31.406171362782988,KMeans,0.15384615,6,KMeans,0.75,1.0
79,exchange-3_cpm_results.csv,31.499122521186383,Linear,1.0,7,KMeans,0.75,1.0
80,exchange-3_cpc_results.csv,31.499122521186386,Linear,0.57142857,8,KMeans,0.75,1.0
81,cpu_utilization_asg_misconfiguration.csv,31.58440307102983,KMeans,0.00775194,9,KMeans,0.75,1.0
82,exchange-2_cpc_results.csv,31.674019368472138,KMeans,0.33333333,10,KMeans,0.75,1.0
83,,,,,,,,
84,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
85,ec2_cpu_utilization_c6585a.csv,25.39471619014273,Linear,0.0,1,Linear,0.125,0.45833333
86,Statlog Shuttle,28.449051661034122,KMeans,0.96766744,2,KMeans,0.66666667,1.0
87,speed_7578.csv,30.30883695600619,KMeans,0.75,3,KMeans,0.66666667,1.0
88,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,30.722349468167188,KMeans,0.5,4,KMeans,0.66666667,1.0
89,machine_temperature_system_failure.csv,30.84793219812047,Linear,0.4,5,KMeans,0.66666667,1.0
90,art_increase_spike_density.csv,31.406171362782988,KMeans,0.15384615,6,KMeans,0.66666667,1.0
91,exchange-3_cpm_results.csv,31.499122521186383,Linear,1.0,7,KMeans,0.66666667,1.0
92,exchange-3_cpc_results.csv,31.499122521186386,Linear,0.57142857,8,KMeans,0.66666667,1.0
93,cpu_utilization_asg_misconfiguration.csv,31.58440307102983,KMeans,0.00775194,9,KMeans,0.66666667,1.0
94,exchange-2_cpc_results.csv,31.674019368472138,KMeans,0.33333333,10,KMeans,0.66666667,1.0
95,,,,,,,,
96,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
