,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,8.805381,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,ec2_cpu_utilization_c6585a.csv,12.809095,Linear,0.0,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,14.637612,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,art_increase_spike_density.csv,15.62869,KMeans,0.15384615,4,KMeans,0.38537271,0.4468761299999999
5,nyc_taxi.csv,15.813593,Linear,0.25,5,KMeans,0.38537271,0.4468761299999999
6,art_daily_flatmiddle.csv,15.90934,KMeans,0.02,6,KMeans,0.38537271,0.4468761299999999
7,rogue_agent_key_updown.csv,16.468124,Gaussian,0.00083455,7,KMeans,0.38537271,0.4468761299999999
8,rds_cpu_utilization_e47b3b.csv,16.50783,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,16.516882,KMeans,0.5,9,KMeans,0.38537271,0.4468761299999999
10,grok_asg_anomaly.csv,16.572594,KMeans,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Statlog Shuttle,9.07134,KMeans,0.96766744,1,KMeans,0.96766744,1.0
14,ec2_cpu_utilization_c6585a.csv,13.071599,Linear,0.0,2,KMeans,0.96766744,1.0
15,ambient_temperature_system_failure.csv,14.947117,KMeans,0.8,3,KMeans,0.96766744,1.0
16,art_increase_spike_density.csv,15.671176,KMeans,0.15384615,4,KMeans,0.96766744,1.0
17,nyc_taxi.csv,16.11209,Linear,0.25,5,KMeans,0.96766744,1.0
18,art_daily_flatmiddle.csv,16.203632,KMeans,0.02,6,KMeans,0.96766744,1.0
19,rogue_agent_key_updown.csv,16.712585,Gaussian,0.00083455,7,KMeans,0.96766744,1.0
20,rds_cpu_utilization_e47b3b.csv,16.80101,Linear,0.66666667,8,KMeans,0.96766744,1.0
21,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,16.806715,KMeans,0.5,9,KMeans,0.96766744,1.0
22,grok_asg_anomaly.csv,16.861998,KMeans,0.5,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,Statlog Shuttle,9.155825,KMeans,0.96766744,1,KMeans,0.8,1.0
26,ec2_cpu_utilization_c6585a.csv,13.255504,Linear,0.0,2,KMeans,0.8,1.0
27,ambient_temperature_system_failure.csv,15.046222,KMeans,0.8,3,KMeans,0.8,1.0
