,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,183.5347466331089,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,art_daily_flatmiddle.csv,263.04734601218587,KMeans,0.02,2,KMeans,0.38537271,0.4468761299999999
3,rogue_agent_key_updown.csv,266.25536086355555,Gaussian,0.00083455,3,KMeans,0.38537271,0.4468761299999999
4,ec2_disk_write_bytes_c0d644.csv,269.7210650499198,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
5,art_increase_spike_density.csv,270.8702369671628,KMeans,0.15384615,5,KMeans,0.38537271,0.4468761299999999
6,rogue_agent_key_hold.csv,270.9135047755934,Linear,0.003367,6,KMeans,0.38537271,0.4468761299999999
7,art_load_balancer_spikes.csv,271.0000924014083,KMeans,0.25,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_24ae8d.csv,271.5604301239955,KMeans,1.0,8,KMeans,0.38537271,0.4468761299999999
9,Twitter_volume_CVS.csv,273.1116127377331,Linear,0.66666667,9,KMeans,0.38537271,0.4468761299999999
10,ec2_disk_write_bytes_1ef3de.csv,273.3599864512988,Linear,0.08695652,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,art_daily_flatmiddle.csv,140.6557305141367,KMeans,0.02,1,KMeans,0.96766744,1.0
14,speed_7578.csv,153.81399146232445,KMeans,0.75,2,KMeans,0.96766744,1.0
15,ec2_cpu_utilization_24ae8d.csv,155.38161946878924,KMeans,1.0,3,KMeans,0.96766744,1.0
16,ec2_cpu_utilization_77c1ca.csv,155.97996200835604,KMeans,0.03921569,4,KMeans,0.96766744,1.0
17,speed_t4013.csv,156.16355787055068,Linear,1.0,5,KMeans,0.96766744,1.0
18,ec2_cpu_utilization_825cc2.csv,156.42392453994972,KMeans,0.66666667,6,KMeans,0.96766744,1.0
19,ec2_network_in_5abac7.csv,156.95469422714365,Linear,0.66666667,7,KMeans,0.96766744,1.0
20,occupancy_t4013.csv,157.19135968263416,Linear,1.0,8,KMeans,0.96766744,1.0
21,ec2_cpu_utilization_fe7f93.csv,157.7190689496806,Linear,0.5,9,KMeans,0.96766744,1.0
22,rogue_agent_key_hold.csv,158.01888297915883,Linear,0.003367,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,nyc_taxi.csv,17.94859536496312,Linear,0.25,1,Linear,0.14285714,0.34285714
26,cpu_utilization_asg_misconfiguration.csv,47.91718185082178,KMeans,0.00775194,2,KMeans,0.8,1.0
27,machine_temperature_system_failure.csv,48.182741465033004,Linear,0.4,3,Linear,0.14285714,0.34285714
28,TravelTime_387.csv,50.00593588578544,KMeans,0.66666667,4,KMeans,0.8,1.0
29,TravelTime_451.csv,50.054063122054316,KMeans,0.4,5,KMeans,0.8,1.0
30,exchange-2_cpc_results.csv,50.212667480806516,KMeans,0.33333333,6,KMeans,0.8,1.0
31,exchange-2_cpm_results.csv,53.30108819504211,KMeans,0.8,7,KMeans,0.8,1.0
32,exchange-3_cpm_results.csv,53.41547367340796,Linear,1.0,8,KMeans,0.8,1.0
33,Twitter_volume_AAPL.csv,53.505705004576186,Linear,0.4,9,KMeans,0.8,1.0
34,Twitter_volume_GOOG.csv,53.56302936459398,Linear,0.4,10,KMeans,0.8,1.0
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,exchange-2_cpc_results.csv,4.557511537934163,KMeans,0.33333333,1,KMeans,1.0,1.0
38,exchange-3_cpc_results.csv,4.9885584034724975,Linear,0.57142857,2,KMeans,1.0,1.0
39,exchange-2_cpm_results.csv,8.154988119549492,KMeans,0.8,3,KMeans,1.0,1.0
40,exchange-4_cpc_results.csv,8.58299016328202,Linear,0.66666667,4,KMeans,1.0,1.0
41,TravelTime_451.csv,9.996336696558256,KMeans,0.4,5,KMeans,1.0,1.0
42,TravelTime_387.csv,11.359785953143994,KMeans,0.66666667,6,KMeans,1.0,1.0
43,exchange-4_cpm_results.csv,11.640916223029834,KMeans,0.75,7,KMeans,1.0,1.0
44,occupancy_t4013.csv,15.753291364208398,Linear,1.0,8,KMeans,1.0,1.0
45,speed_t4013.csv,16.52873825750615,Linear,1.0,9,KMeans,1.0,1.0
46,Twitter_volume_AMZN.csv,16.943725534329914,KMeans,0.66666667,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,cpu_utilization_asg_misconfiguration.csv,8.567127406220731,KMeans,0.00775194,1,KMeans,0.4,1.0
50,Twitter_volume_GOOG.csv,9.520667202008164,Linear,0.4,2,KMeans,0.4,1.0
51,Twitter_volume_AMZN.csv,12.983236166909771,KMeans,0.66666667,3,KMeans,0.4,1.0
52,Twitter_volume_IBM.csv,15.125951632774488,Linear,0.5,4,KMeans,0.4,1.0
53,Twitter_volume_AAPL.csv,15.538035623567845,Linear,0.4,5,Linear,0.4,1.0
54,exchange-2_cpm_results.csv,15.76701978907707,KMeans,0.8,6,KMeans,0.4,1.0
55,Twitter_volume_UPS.csv,16.2519275095054,Linear,0.28571429,7,Linear,0.4,1.0
56,Twitter_volume_FB.csv,16.438520515866188,Linear,1.0,8,Linear,0.4,1.0
57,TravelTime_387.csv,16.76993233604361,KMeans,0.66666667,9,Linear,0.4,1.0
58,Twitter_volume_CRM.csv,17.19793107529246,KMeans,0.54545455,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_fe7f93.csv,1.7515447512840907,Linear,0.5,1,Linear,0.57142857,0.9047619
62,elb_request_count_8c0756.csv,1.864082083354081,Linear,0.66666667,2,Linear,0.57142857,0.9047619
63,ec2_cpu_utilization_53ea38.csv,2.0249194173110796,KMeans,0.04255319,3,Linear,0.57142857,0.9047619
64,art_daily_jumpsup.csv,2.175669173428063,KMeans,0.22222222,4,KMeans,0.66666667,1.0
65,art_daily_jumpsdown.csv,2.7008166981292234,KMeans,0.03030303,5,KMeans,0.66666667,1.0
66,art_daily_nojump.csv,2.791177840231429,KMeans,0.00152207,6,KMeans,0.66666667,1.0
67,ec2_cpu_utilization_825cc2.csv,3.4593204390503978,KMeans,0.66666667,7,KMeans,0.66666667,1.0
68,occupancy_6005.csv,4.154119731584297,Linear,1.0,8,KMeans,0.66666667,1.0
69,occupancy_t4013.csv,5.155622171840254,Linear,1.0,9,KMeans,0.66666667,1.0
70,speed_6005.csv,5.177300314374788,Linear,0.66666667,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
73,speed_t4013.csv,11.12497591443368,Linear,1.0,1,Linear,0.4,0.65
74,occupancy_t4013.csv,11.602638269151985,Linear,1.0,2,Linear,0.4,0.65
75,occupancy_6005.csv,12.956740300413093,Linear,1.0,3,Linear,0.4,0.65
76,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,13.002787746904502,KMeans,0.5,4,Linear,0.4,0.65
77,speed_6005.csv,13.611838673128165,Linear,0.66666667,5,Linear,0.4,0.65
78,elb_request_count_8c0756.csv,14.95229355267334,Linear,0.66666667,6,Linear,0.4,0.65
79,ec2_request_latency_system_failure.csv,15.204165637223731,KMeans,0.66666667,7,Linear,0.4,0.65
80,ec2_cpu_utilization_825cc2.csv,15.254976265586084,KMeans,0.66666667,8,Linear,0.4,0.65
81,art_daily_jumpsup.csv,15.354318140874568,KMeans,0.22222222,9,Linear,0.4,0.65
82,ec2_cpu_utilization_53ea38.csv,15.399086560387135,KMeans,0.04255319,10,KMeans,0.75,1.0
83,,,,,,,,
84,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
85,art_daily_jumpsup.csv,2.7572748628095356,KMeans,0.22222222,1,KMeans,0.66666667,1.0
86,ec2_cpu_utilization_fe7f93.csv,2.809295514790051,Linear,0.5,2,KMeans,0.66666667,1.0
87,art_daily_jumpsdown.csv,3.2249623968229977,KMeans,0.03030303,3,KMeans,0.66666667,1.0
88,art_daily_nojump.csv,3.324497385429261,KMeans,0.00152207,4,KMeans,0.66666667,1.0
89,ec2_request_latency_system_failure.csv,3.4593204390503978,KMeans,0.66666667,5,KMeans,0.66666667,1.0
90,elb_request_count_8c0756.csv,3.7748230789794652,Linear,0.66666667,6,KMeans,0.66666667,1.0
91,ec2_cpu_utilization_53ea38.csv,3.942663797352197,KMeans,0.04255319,7,KMeans,0.66666667,1.0
92,occupancy_6005.csv,4.8787082448005545,Linear,1.0,8,KMeans,0.66666667,1.0
93,speed_6005.csv,5.811701679829863,Linear,0.66666667,9,KMeans,0.66666667,1.0
94,occupancy_t4013.csv,6.610740764839068,Linear,1.0,10,KMeans,0.66666667,1.0
95,,,,,,,,
96,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
97,ec2_cpu_utilization_825cc2.csv,7.563108296902033,KMeans,0.66666667,1,KMeans,0.5,1.0
98,art_daily_jumpsup.csv,7.9246385035179525,KMeans,0.22222222,2,KMeans,0.5,1.0
99,art_daily_jumpsdown.csv,8.670108931983702,KMeans,0.03030303,3,KMeans,0.5,1.0
100,art_daily_nojump.csv,8.704036004810455,KMeans,0.00152207,4,KMeans,0.5,1.0
101,ec2_cpu_utilization_fe7f93.csv,8.974303268607894,Linear,0.5,5,KMeans,0.5,1.0
102,ec2_request_latency_system_failure.csv,9.683919137016202,KMeans,0.66666667,6,KMeans,0.5,1.0
103,ec2_cpu_utilization_53ea38.csv,9.810771019703216,KMeans,0.04255319,7,KMeans,0.5,1.0
104,elb_request_count_8c0756.csv,9.852264670905775,Linear,0.66666667,8,KMeans,0.5,1.0
105,ec2_network_in_5abac7.csv,10.815569467675813,Linear,0.66666667,9,KMeans,0.5,1.0
106,occupancy_6005.csv,11.220583942127965,Linear,1.0,10,KMeans,0.5,1.0
107,,,,,,,,
108,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
109,exchange-4_cpc_results.csv,3.920766467788093,Linear,0.66666667,1,Linear,0.66666667,0.91666667
110,exchange-3_cpc_results.csv,7.065213582901107,Linear,0.57142857,2,Linear,0.66666667,0.91666667
