,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_cpu_utilization_c6585a.csv,37.776772536667764,Linear,0.0,1,Linear,0.92639843,0.98790185
2,ambient_temperature_system_failure.csv,57.00711003210473,KMeans,0.8,2,KMeans,0.38537271,0.4468761299999999
3,nyc_taxi.csv,58.17539310977193,Linear,0.25,3,Linear,0.92639843,0.98790185
4,cpu_utilization_asg_misconfiguration.csv,64.04767618079684,KMeans,0.00775194,4,KMeans,0.38537271,0.4468761299999999
5,machine_temperature_system_failure.csv,64.48632186562986,Linear,0.4,5,Linear,0.92639843,0.98790185
6,art_daily_flatmiddle.csv,64.89955468890088,KMeans,0.02,6,KMeans,0.38537271,0.4468761299999999
7,rogue_agent_key_updown.csv,65.341319039985,Gaussian,0.00083455,7,KMeans,0.38537271,0.4468761299999999
8,Twitter_volume_AAPL.csv,65.54983343059608,Linear,0.4,8,Linear,0.92639843,0.98790185
9,Twitter_volume_KO.csv,65.55584005512848,Linear,0.8,9,Linear,0.92639843,0.98790185
10,TravelTime_451.csv,65.61815990714307,KMeans,0.4,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,1352.0173842534878,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,art_increase_spike_density.csv,1460.7112038182806,KMeans,0.15384615,2,KMeans,0.96766744,1.0
15,speed_7578.csv,1488.5178991731707,KMeans,0.75,3,KMeans,0.96766744,1.0
16,exchange-2_cpm_results.csv,1497.83991830675,KMeans,0.8,4,KMeans,0.96766744,1.0
17,exchange-2_cpc_results.csv,1500.4894455009542,KMeans,0.33333333,5,KMeans,0.96766744,1.0
18,occupancy_6005.csv,1500.9842691581994,Linear,1.0,6,KMeans,0.96766744,1.0
19,art_daily_nojump.csv,1501.3726574692748,KMeans,0.00152207,7,KMeans,0.96766744,1.0
