,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_cpu_utilization_c6585a.csv,12.297231,Linear,0.0,1,Linear,0.92639843,0.98790185
2,Statlog Shuttle,13.215672,KMeans,0.96766744,2,KMeans,0.38537271,0.4468761299999999
3,nyc_taxi.csv,18.103941,Linear,0.25,3,Linear,0.92639843,0.98790185
4,ambient_temperature_system_failure.csv,18.104336,KMeans,0.8,4,KMeans,0.38537271,0.4468761299999999
5,grok_asg_anomaly.csv,18.819391,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999
6,ec2_cpu_utilization_5f5533.csv,18.81976,KMeans,0.57142857,6,KMeans,0.38537271,0.4468761299999999
7,rds_cpu_utilization_e47b3b.csv,18.851755,Linear,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_ac20cd.csv,18.85624,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,rds_cpu_utilization_cc0c53.csv,18.861835,Gaussian,1.0,9,KMeans,0.38537271,0.4468761299999999
10,exchange-4_cpm_results.csv,19.19425,KMeans,0.75,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,12.426757,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,Statlog Shuttle,13.32904,KMeans,0.96766744,2,KMeans,0.96766744,1.0
15,nyc_taxi.csv,18.107132,Linear,0.25,3,Linear,0.96707106,0.9994036199999999
16,ambient_temperature_system_failure.csv,18.107414,KMeans,0.8,4,KMeans,0.96766744,1.0
17,grok_asg_anomaly.csv,19.017843,KMeans,0.5,5,KMeans,0.96766744,1.0
18,ec2_cpu_utilization_5f5533.csv,19.01788,KMeans,0.57142857,6,KMeans,0.96766744,1.0
19,rds_cpu_utilization_e47b3b.csv,19.040123,Linear,0.66666667,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_ac20cd.csv,19.04917,KMeans,0.66666667,8,KMeans,0.96766744,1.0
21,rds_cpu_utilization_cc0c53.csv,19.05297,Gaussian,1.0,9,KMeans,0.96766744,1.0
22,exchange-4_cpm_results.csv,19.280499,KMeans,0.75,10,KMeans,0.96766744,1.0
23,,,,,,,,
