,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,14.797640085065556,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,exchange-4_cpm_results.csv,15.110955794084877,KMeans,0.75,2,KMeans,0.38537271,0.4468761299999999
3,Twitter_volume_KO.csv,15.297655486610033,Linear,0.8,3,KMeans,0.38537271,0.4468761299999999
4,exchange-4_cpc_results.csv,15.329943214805786,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999
5,Twitter_volume_FB.csv,15.42424065836939,Linear,1.0,5,Linear,0.92639843,0.98790185
6,Twitter_volume_CVS.csv,15.77910719305819,Linear,0.66666667,6,Linear,0.92639843,0.98790185
7,exchange-3_cpc_results.csv,15.9591459024117,Linear,0.57142857,7,Linear,0.92639843,0.98790185
8,Twitter_volume_AMZN.csv,15.960514228698678,KMeans,0.66666667,8,Linear,0.92639843,0.98790185
9,exchange-3_cpm_results.csv,15.965949627256071,Linear,1.0,9,Linear,0.92639843,0.98790185
10,speed_7578.csv,16.031074176745758,KMeans,0.75,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,exchange-4_cpm_results.csv,8.332030901160895,KMeans,0.75,1,KMeans,0.96766744,1.0
14,Twitter_volume_KO.csv,8.507364571154895,Linear,0.8,2,KMeans,0.96766744,1.0
15,exchange-4_cpc_results.csv,8.522019896797692,Linear,0.66666667,3,Linear,0.96707106,0.9994036199999999
16,Twitter_volume_FB.csv,8.613723343101457,Linear,1.0,4,Linear,0.96707106,0.9994036199999999
17,Twitter_volume_CVS.csv,8.992389569078277,Linear,0.66666667,5,Linear,0.96707106,0.9994036199999999
18,Twitter_volume_AMZN.csv,9.194675680108823,KMeans,0.66666667,6,Linear,0.96707106,0.9994036199999999
19,exchange-3_cpc_results.csv,9.201022068486555,Linear,0.57142857,7,Linear,0.96707106,0.9994036199999999
20,exchange-3_cpm_results.csv,9.230183949403177,Linear,1.0,8,Linear,0.96707106,0.9994036199999999
21,speed_7578.csv,9.274487758158529,KMeans,0.75,9,Linear,0.96707106,0.9994036199999999
22,ec2_cpu_utilization_24ae8d.csv,9.279108014034247,KMeans,1.0,10,Linear,0.96707106,0.9994036199999999
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,nyc_taxi.csv,0.0029601031084227625,Linear,0.25,1,Linear,0.14285714,0.34285714
26,cpu_utilization_asg_misconfiguration.csv,2.7035606939963017,KMeans,0.00775194,2,KMeans,0.8,1.0
27,exchange-2_cpc_results.csv,3.4275635140698903,KMeans,0.33333333,3,KMeans,0.8,1.0
28,TravelTime_451.csv,3.935529408311835,KMeans,0.4,4,KMeans,0.8,1.0
29,exchange-3_cpm_results.csv,3.960117296710516,Linear,1.0,5,KMeans,0.8,1.0
30,Twitter_volume_UPS.csv,4.052531050347257,Linear,0.28571429,6,KMeans,0.8,1.0
31,Twitter_volume_PFE.csv,4.1838842167876065,KMeans,0.42857143,7,KMeans,0.8,1.0
32,Twitter_volume_IBM.csv,4.191946712557181,Linear,0.5,8,KMeans,0.8,1.0
33,Twitter_volume_AAPL.csv,4.254883509944495,Linear,0.4,9,Linear,0.14285714,0.34285714
34,exchange-3_cpc_results.csv,4.496321488732147,Linear,0.57142857,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,Twitter_volume_AAPL.csv,0.437740572673475,Linear,0.4,1,Linear,1.0,1.0
38,exchange-3_cpc_results.csv,0.5701517838342982,Linear,0.57142857,2,Linear,1.0,1.0
39,Twitter_volume_IBM.csv,0.772645727677027,Linear,0.5,3,Linear,1.0,1.0
40,Twitter_volume_CRM.csv,0.8129043925828977,KMeans,0.54545455,4,Linear,1.0,1.0
41,ec2_cpu_utilization_24ae8d.csv,0.8582864625550614,KMeans,1.0,5,Linear,1.0,1.0
42,TravelTime_451.csv,0.8716593227205758,KMeans,0.4,6,KMeans,1.0,1.0
43,Twitter_volume_CVS.csv,0.8855830326928397,Linear,0.66666667,7,Linear,1.0,1.0
44,Twitter_volume_PFE.csv,0.8891920636906573,KMeans,0.42857143,8,KMeans,1.0,1.0
45,speed_t4013.csv,0.9101184255577073,Linear,1.0,9,Linear,1.0,1.0
46,Twitter_volume_UPS.csv,0.9446084697765778,Linear,0.28571429,10,Linear,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
