,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,3.728928277269006e-11,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,ec2_cpu_utilization_c6585a.csv,3.728928277269006e-11,Linear,0.0,2,KMeans,0.38537271,0.4468761299999999
3,exchange-4_cpm_results.csv,182556677.4193941,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999
4,ambient_temperature_system_failure.csv,71063103004.98088,KMeans,0.8,4,KMeans,0.38537271,0.4468761299999999
5,nyc_taxi.csv,71071360292.73068,Linear,0.25,5,KMeans,0.38537271,0.4468761299999999
6,art_daily_flatmiddle.csv,483795065977.8581,KMeans,0.02,6,KMeans,0.38537271,0.4468761299999999
7,art_daily_nojump.csv,483878263903.81696,KMeans,0.00152207,7,KMeans,0.38537271,0.4468761299999999
8,art_daily_jumpsdown.csv,483881456663.9025,KMeans,0.03030303,8,KMeans,0.38537271,0.4468761299999999
9,Twitter_volume_KO.csv,10464344291702.912,Linear,0.8,9,KMeans,0.38537271,0.4468761299999999
10,rds_cpu_utilization_e47b3b.csv,15567720889216.29,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,0.0,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,KDD-Cup99 HTTP,3.728928277269006e-11,RPCA,0.93849658,2,Linear,0.96707106,0.9994036199999999
15,exchange-4_cpm_results.csv,182556677.4193941,KMeans,0.75,3,KMeans,0.96766744,1.0
16,ambient_temperature_system_failure.csv,71063103004.98088,KMeans,0.8,4,KMeans,0.96766744,1.0
17,nyc_taxi.csv,71071360292.73068,Linear,0.25,5,KMeans,0.96766744,1.0
18,art_daily_flatmiddle.csv,483795065977.8581,KMeans,0.02,6,KMeans,0.96766744,1.0
19,art_daily_nojump.csv,483878263903.81696,KMeans,0.00152207,7,KMeans,0.96766744,1.0
20,art_daily_jumpsdown.csv,483881456663.9025,KMeans,0.03030303,8,KMeans,0.96766744,1.0
21,Twitter_volume_KO.csv,10464344291702.912,Linear,0.8,9,KMeans,0.96766744,1.0
22,rds_cpu_utilization_e47b3b.csv,15567720889216.29,Linear,0.66666667,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,nyc_taxi.csv,8257287.749801636,Linear,0.25,1,Linear,0.14285714,0.34285714
26,exchange-4_cpm_results.csv,70880546327.56148,KMeans,0.75,2,KMeans,0.8,1.0
27,KDD-Cup99 HTTP,71063103004.98088,RPCA,0.93849658,3,KMeans,0.8,1.0
28,Statlog Shuttle,71063103004.98088,KMeans,0.96766744,4,KMeans,0.8,1.0
29,ec2_cpu_utilization_c6585a.csv,71063103004.98088,Linear,0.0,5,KMeans,0.8,1.0
30,art_daily_flatmiddle.csv,412731962972.87726,KMeans,0.02,6,KMeans,0.8,1.0
31,art_daily_nojump.csv,412815160898.8361,KMeans,0.00152207,7,KMeans,0.8,1.0
32,art_daily_jumpsdown.csv,412818353658.9217,KMeans,0.03030303,8,KMeans,0.8,1.0
33,Twitter_volume_KO.csv,10393281188697.932,Linear,0.8,9,KMeans,0.8,1.0
34,rds_cpu_utilization_e47b3b.csv,15496657786211.309,Linear,0.66666667,10,KMeans,0.8,1.0
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,Twitter_volume_CVS.csv,69050267783044.44,Linear,0.66666667,1,Linear,1.0,1.0
38,Twitter_volume_FB.csv,95020557980768.66,Linear,1.0,2,Linear,1.0,1.0
39,exchange-4_cpc_results.csv,125313869330759.5,Linear,0.66666667,3,Linear,1.0,1.0
40,exchange-3_cpc_results.csv,135918899781305.06,Linear,0.57142857,4,Linear,1.0,1.0
41,rds_cpu_utilization_cc0c53.csv,136211228527914.14,Gaussian,1.0,5,Linear,1.0,1.0
42,ec2_cpu_utilization_5f5533.csv,136572520045553.55,KMeans,0.57142857,6,Linear,1.0,1.0
43,grok_asg_anomaly.csv,136755334457866.9,KMeans,0.5,7,Linear,1.0,1.0
44,ec2_cpu_utilization_ac20cd.csv,136775991389311.44,KMeans,0.66666667,8,Linear,1.0,1.0
45,rds_cpu_utilization_e47b3b.csv,139159930096299.23,Linear,0.66666667,9,Linear,1.0,1.0
46,Twitter_volume_KO.csv,144263306693812.62,Linear,0.8,10,Linear,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,speed_t4013.csv,5026127407152.5,Linear,1.0,1,Linear,0.4,1.0
50,ec2_cpu_utilization_825cc2.csv,21579371243244.25,KMeans,0.66666667,2,KMeans,0.4,1.0
51,art_daily_jumpsup.csv,51253628493872.0,KMeans,0.22222222,3,KMeans,0.4,1.0
52,ec2_network_in_257a54.csv,84074424410065.75,KMeans,0.5,4,KMeans,0.4,1.0
53,art_increase_spike_density.csv,128221802774407.75,KMeans,0.15384615,5,KMeans,0.4,1.0
54,exchange-2_cpm_results.csv,145499008009391.25,KMeans,0.8,6,KMeans,0.4,1.0
55,art_load_balancer_spikes.csv,157755067468831.75,KMeans,0.25,7,KMeans,0.4,1.0
56,Twitter_volume_CRM.csv,163529296468347.25,KMeans,0.54545455,8,KMeans,0.4,1.0
57,ec2_cpu_utilization_53ea38.csv,178829725529663.75,KMeans,0.04255319,9,KMeans,0.4,1.0
58,exchange-2_cpc_results.csv,186188544209038.88,KMeans,0.33333333,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,elb_request_count_8c0756.csv,85810056818659.0,Linear,0.66666667,1,Linear,0.57142857,0.9047619
62,ec2_cpu_utilization_fe7f93.csv,97077432350385.75,Linear,0.5,2,Linear,0.57142857,0.9047619
63,Twitter_volume_CRM.csv,120829260232100.75,KMeans,0.54545455,3,Linear,0.57142857,0.9047619
64,art_load_balancer_spikes.csv,126603489231616.25,KMeans,0.25,4,KMeans,0.66666667,1.0
65,art_increase_spike_density.csv,156136753926040.25,KMeans,0.15384615,5,KMeans,0.66666667,1.0
66,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,194890463974688.25,KMeans,0.5,6,KMeans,0.66666667,1.0
67,ec2_disk_write_bytes_1ef3de.csv,213935933873723.75,Linear,0.08695652,7,KMeans,0.66666667,1.0
68,occupancy_6005.csv,215022408470364.75,Linear,1.0,8,KMeans,0.66666667,1.0
69,art_daily_jumpsup.csv,233104928206576.0,KMeans,0.22222222,9,KMeans,0.66666667,1.0
70,ec2_cpu_utilization_825cc2.csv,262779185457203.75,KMeans,0.66666667,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
73,ec2_cpu_utilization_24ae8d.csv,15449262448690.875,KMeans,1.0,1,KMeans,0.75,1.0
74,Twitter_volume_AAPL.csv,38158561902884.125,Linear,0.4,2,KMeans,0.75,1.0
75,cpu_utilization_asg_misconfiguration.csv,249897074042515.8,KMeans,0.00775194,3,KMeans,0.75,1.0
76,Twitter_volume_AMZN.csv,273667314377682.38,KMeans,0.66666667,4,KMeans,0.75,1.0
77,exchange-3_cpc_results.csv,329098447137076.75,Linear,0.57142857,5,KMeans,0.75,1.0
78,rogue_agent_key_updown.csv,397243289070600.0,Gaussian,0.00083455,6,KMeans,0.75,1.0
79,ec2_cpu_utilization_77c1ca.csv,406707898401637.5,KMeans,0.03921569,7,KMeans,0.75,1.0
80,rogue_agent_key_hold.csv,408282660506056.5,Linear,0.003367,8,KMeans,0.75,1.0
81,exchange-2_cpc_results.csv,451010190158238.75,KMeans,0.33333333,9,KMeans,0.75,1.0
82,ec2_cpu_utilization_53ea38.csv,458369008837613.9,KMeans,0.04255319,10,KMeans,0.75,1.0
83,,,,,,,,
84,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
85,machine_temperature_system_failure.csv,21579371243244.25,Linear,0.4,1,Linear,0.125,0.45833333
86,speed_t4013.csv,26605498650396.75,Linear,1.0,2,Linear,0.125,0.45833333
87,art_daily_jumpsup.csv,29674257250627.75,KMeans,0.22222222,3,Linear,0.125,0.45833333
88,ec2_network_in_257a54.csv,105653795653310.0,KMeans,0.5,4,KMeans,0.66666667,1.0
89,art_increase_spike_density.csv,106642431531163.5,KMeans,0.15384615,5,KMeans,0.66666667,1.0
90,art_load_balancer_spikes.csv,136175696225587.5,KMeans,0.25,6,KMeans,0.66666667,1.0
91,Twitter_volume_CRM.csv,141949925225103.0,KMeans,0.54545455,7,KMeans,0.66666667,1.0
92,ec2_cpu_utilization_fe7f93.csv,165701753106818.0,Linear,0.5,8,KMeans,0.66666667,1.0
93,exchange-2_cpm_results.csv,167078379252635.5,KMeans,0.8,9,KMeans,0.66666667,1.0
94,ec2_cpu_utilization_53ea38.csv,200409096772908.0,KMeans,0.04255319,10,KMeans,0.66666667,1.0
95,,,,,,,,
96,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
97,exchange-2_cpm_results.csv,61424583599325.5,KMeans,0.8,1,KMeans,0.5,1.0
98,speed_t4013.csv,79048297002913.25,Linear,1.0,2,KMeans,0.5,1.0
99,machine_temperature_system_failure.csv,84074424410065.75,Linear,0.4,3,Linear,0.4,0.9
100,ec2_cpu_utilization_53ea38.csv,94755301119598.0,KMeans,0.04255319,4,KMeans,0.5,1.0
101,exchange-2_cpc_results.csv,102114119798973.12,KMeans,0.33333333,5,KMeans,0.5,1.0
102,ec2_cpu_utilization_825cc2.csv,105653795653310.0,KMeans,0.66666667,6,KMeans,0.5,1.0
103,art_daily_jumpsup.csv,135328052903937.75,KMeans,0.22222222,7,KMeans,0.5,1.0
104,rogue_agent_key_hold.csv,144841649451155.38,Linear,0.003367,8,KMeans,0.5,1.0
105,ec2_cpu_utilization_77c1ca.csv,146416411555574.38,KMeans,0.03921569,9,KMeans,0.5,1.0
106,rogue_agent_key_updown.csv,155881020886611.88,Gaussian,0.00083455,10,KMeans,0.5,1.0
107,,,,,,,,
108,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
109,KDD-Cup99 HTTP,182556677.4193941,RPCA,0.93849658,1,RPCA,0.66666667,0.91666667
110,Statlog Shuttle,182556677.4193941,KMeans,0.96766744,2,KMeans,0.75,1.0
111,ec2_cpu_utilization_c6585a.csv,182556677.4193941,Linear,0.0,3,KMeans,0.75,1.0
112,ambient_temperature_system_failure.csv,70880546327.56148,KMeans,0.8,4,KMeans,0.75,1.0
113,nyc_taxi.csv,70888803615.31128,Linear,0.25,5,KMeans,0.75,1.0
114,art_daily_flatmiddle.csv,483612509300.4387,KMeans,0.02,6,KMeans,0.75,1.0
115,art_daily_nojump.csv,483695707226.3976,KMeans,0.00152207,7,KMeans,0.75,1.0
116,art_daily_jumpsdown.csv,483698899986.48315,KMeans,0.03030303,8,KMeans,0.75,1.0
117,Twitter_volume_KO.csv,10464161735025.492,Linear,0.8,9,KMeans,0.75,1.0
118,rds_cpu_utilization_e47b3b.csv,15567538332538.87,Linear,0.66666667,10,KMeans,0.75,1.0
119,,,,,,,,
120,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
121,Twitter_volume_PFE.csv,7725228844997.25,KMeans,0.42857143,1,KMeans,0.66666667,1.0
122,Twitter_volume_GOOG.csv,15338425815079.5,Linear,0.4,2,KMeans,0.66666667,1.0
123,Twitter_volume_IBM.csv,69073430318678.25,Linear,0.5,3,Linear,0.5,0.83333333
124,speed_6005.csv,196406924390376.0,Linear,0.66666667,4,Linear,0.5,0.83333333
125,occupancy_t4013.csv,206769104426433.5,Linear,1.0,5,Linear,0.5,0.83333333
