,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,82.7942175146413,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,ec2_cpu_utilization_c6585a.csv,107.86253196329082,Linear,0.0,2,KMeans,0.38537271,0.4468761299999999
3,ambient_temperature_system_failure.csv,115.42300244352433,KMeans,0.8,3,KMeans,0.38537271,0.4468761299999999
4,nyc_taxi.csv,115.42436490054625,Linear,0.25,4,KMeans,0.38537271,0.4468761299999999
5,exchange-4_cpm_results.csv,115.5093566589052,KMeans,0.75,5,KMeans,0.38537271,0.4468761299999999
6,exchange-4_cpc_results.csv,115.69467959542268,Linear,0.66666667,6,KMeans,0.38537271,0.4468761299999999
7,Twitter_volume_KO.csv,115.78243513370084,Linear,0.8,7,Linear,0.92639843,0.98790185
8,Twitter_volume_FB.csv,115.79858414521229,Linear,1.0,8,Linear,0.92639843,0.98790185
9,cpu_utilization_asg_misconfiguration.csv,115.97190205514735,KMeans,0.00775194,9,Linear,0.92639843,0.98790185
10,exchange-2_cpc_results.csv,116.0674999478397,KMeans,0.33333333,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ambient_temperature_system_failure.csv,27.829262281948385,KMeans,0.8,1,KMeans,0.96766744,1.0
14,nyc_taxi.csv,27.83076570651181,Linear,0.25,2,KMeans,0.96766744,1.0
15,rds_cpu_utilization_e47b3b.csv,27.86197911459255,Linear,0.66666667,3,Linear,0.96707106,0.9994036199999999
16,ec2_cpu_utilization_c6585a.csv,27.88489765571622,Linear,0.0,4,Linear,0.96707106,0.9994036199999999
17,ec2_cpu_utilization_5f5533.csv,27.98133247304823,KMeans,0.57142857,5,Linear,0.96707106,0.9994036199999999
18,grok_asg_anomaly.csv,27.99378127693224,KMeans,0.5,6,KMeans,0.96766744,1.0
19,rds_cpu_utilization_cc0c53.csv,28.11810730433129,Gaussian,1.0,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_ac20cd.csv,28.195131204791362,KMeans,0.66666667,8,KMeans,0.96766744,1.0
21,exchange-4_cpm_results.csv,28.587931883009766,KMeans,0.75,9,KMeans,0.96766744,1.0
22,exchange-4_cpc_results.csv,28.774168999573085,Linear,0.66666667,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,nyc_taxi.csv,0.00012777117014139971,Linear,0.25,1,Linear,0.14285714,0.34285714
26,Statlog Shuttle,0.09054793693774726,KMeans,0.96766744,2,KMeans,0.8,1.0
