,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,34.94924206968105,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,exchange-4_cpm_results.csv,35.64272777024801,KMeans,0.75,2,KMeans,0.38537271,0.4468761299999999
3,exchange-4_cpc_results.csv,36.153126734198935,Linear,0.66666667,3,KMeans,0.38537271,0.4468761299999999
4,Twitter_volume_FB.csv,36.54324280156503,Linear,1.0,4,KMeans,0.38537271,0.4468761299999999
5,Twitter_volume_KO.csv,36.65207850376351,Linear,0.8,5,Linear,0.92639843,0.98790185
6,Twitter_volume_CVS.csv,38.23379766262589,Linear,0.66666667,6,Linear,0.92639843,0.98790185
7,Twitter_volume_AMZN.csv,38.736857480637546,KMeans,0.66666667,7,Linear,0.92639843,0.98790185
8,speed_7578.csv,38.775990334732356,KMeans,0.75,8,KMeans,0.38537271,0.4468761299999999
9,exchange-3_cpc_results.csv,39.090141446401205,Linear,0.57142857,9,Linear,0.92639843,0.98790185
10,ec2_cpu_utilization_24ae8d.csv,39.115776505779834,KMeans,1.0,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,exchange-4_cpm_results.csv,16.012547601670086,KMeans,0.75,1,KMeans,0.96766744,1.0
14,exchange-4_cpc_results.csv,16.52294656562102,Linear,0.66666667,2,KMeans,0.96766744,1.0
15,Twitter_volume_FB.csv,16.91306263298711,Linear,1.0,3,Linear,0.96707106,0.9994036199999999
16,Twitter_volume_KO.csv,17.021898335185593,Linear,0.8,4,Linear,0.96707106,0.9994036199999999
17,Twitter_volume_CVS.csv,18.603617494047974,Linear,0.66666667,5,Linear,0.96707106,0.9994036199999999
18,Twitter_volume_AMZN.csv,19.106677312059624,KMeans,0.66666667,6,Linear,0.96707106,0.9994036199999999
