,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,rogue_agent_key_hold.csv,0.7591859,Linear,0.003367,1,Linear,0.92639843,0.98790185
2,art_increase_spike_density.csv,1.0233693,KMeans,0.15384615,2,KMeans,0.38537271,0.4468761299999999
3,speed_7578.csv,1.0388947,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999
4,ec2_disk_write_bytes_c0d644.csv,1.1559356,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
5,rogue_agent_key_updown.csv,1.2217368,Gaussian,0.00083455,5,KMeans,0.38537271,0.4468761299999999
6,ec2_cpu_utilization_825cc2.csv,1.2401172,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999
7,Twitter_volume_CVS.csv,1.2749143,Linear,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_24ae8d.csv,1.2848966,KMeans,1.0,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_1ef3de.csv,1.2915722,Linear,0.08695652,9,KMeans,0.38537271,0.4468761299999999
10,Twitter_volume_IBM.csv,1.2965947,Linear,0.5,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,rogue_agent_key_updown.csv,9.752292,Gaussian,0.00083455,1,Gaussian,0.81503172,0.84736428
14,ec2_cpu_utilization_c6585a.csv,10.364312,Linear,0.0,2,Gaussian,0.81503172,0.84736428
15,KDD-Cup99 HTTP,10.90086,RPCA,0.93849658,3,Gaussian,0.81503172,0.84736428
16,rogue_agent_key_hold.csv,11.661027,Linear,0.003367,4,Linear,0.96707106,0.9994036199999999
17,art_increase_spike_density.csv,11.87451,KMeans,0.15384615,5,Linear,0.96707106,0.9994036199999999
18,speed_7578.csv,11.940436,KMeans,0.75,6,KMeans,0.96766744,1.0
19,ec2_disk_write_bytes_c0d644.csv,12.050511,Linear,0.5,7,Linear,0.96707106,0.9994036199999999
20,ec2_cpu_utilization_825cc2.csv,12.090858,KMeans,0.66666667,8,KMeans,0.96766744,1.0
21,Twitter_volume_CVS.csv,12.126515,Linear,0.66666667,9,Linear,0.96707106,0.9994036199999999
22,ec2_cpu_utilization_24ae8d.csv,12.135626,KMeans,1.0,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,exchange-4_cpc_results.csv,8.6419284e-05,Linear,0.66666667,1,Linear,0.14285714,0.34285714
26,Twitter_volume_GOOG.csv,0.0050482713,Linear,0.4,2,Linear,0.14285714,0.34285714
27,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.006407615,KMeans,0.5,3,Linear,0.14285714,0.34285714
28,rds_cpu_utilization_cc0c53.csv,0.008452233,Gaussian,1.0,4,Linear,0.14285714,0.34285714
29,art_daily_flatmiddle.csv,0.011196956,KMeans,0.02,5,KMeans,0.8,1.0
30,Twitter_volume_UPS.csv,0.012164112,Linear,0.28571429,6,Linear,0.14285714,0.34285714
31,nyc_taxi.csv,0.013040986,Linear,0.25,7,Linear,0.14285714,0.34285714
32,occupancy_t4013.csv,0.013286296,Linear,1.0,8,Linear,0.14285714,0.34285714
33,exchange-3_cpc_results.csv,0.0134814605,Linear,0.57142857,9,Linear,0.14285714,0.34285714
34,ec2_network_in_5abac7.csv,0.016907904,Linear,0.66666667,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,cpu_utilization_asg_misconfiguration.csv,0.00059158355,KMeans,0.00775194,1,KMeans,1.0,1.0
38,nyc_taxi.csv,0.0024858713,Linear,0.25,2,KMeans,1.0,1.0
39,exchange-2_cpc_results.csv,0.00358136,KMeans,0.33333333,3,KMeans,1.0,1.0
40,Twitter_volume_AMZN.csv,0.0042711943,KMeans,0.66666667,4,KMeans,1.0,1.0
41,Twitter_volume_AAPL.csv,0.0072259903,Linear,0.4,5,KMeans,1.0,1.0
42,TravelTime_451.csv,0.007786855,KMeans,0.4,6,KMeans,1.0,1.0
43,exchange-3_cpc_results.csv,0.008245096,Linear,0.57142857,7,KMeans,1.0,1.0
44,machine_temperature_system_failure.csv,0.009306774,Linear,0.4,8,KMeans,1.0,1.0
45,ec2_network_in_5abac7.csv,0.015798382,Linear,0.66666667,9,Linear,1.0,1.0
46,Twitter_volume_GOOG.csv,0.017458849,Linear,0.4,10,Linear,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,ec2_network_in_5abac7.csv,0.0028938502,Linear,0.66666667,1,Linear,0.4,1.0
50,Twitter_volume_UPS.csv,0.004070703,Linear,0.28571429,2,Linear,0.4,1.0
51,rds_cpu_utilization_cc0c53.csv,0.005166609,Gaussian,1.0,3,Linear,0.4,1.0
52,exchange-3_cpc_results.csv,0.005404461,Linear,0.57142857,4,Linear,0.4,1.0
