,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,rogue_agent_key_hold.csv,0.74019298554389,Linear,0.003367,1,Linear,0.92639843,0.98790185
2,rogue_agent_key_updown.csv,1.0366451984980893,Gaussian,0.00083455,2,Gaussian,0.17305478,0.23455819999999994
3,ec2_disk_write_bytes_c0d644.csv,1.3539578402697026,Linear,0.5,3,Linear,0.92639843,0.98790185
4,grok_asg_anomaly.csv,1.7444526003082774,KMeans,0.5,4,Linear,0.92639843,0.98790185
5,nyc_taxi.csv,2.0133268603992187,Linear,0.25,5,Linear,0.92639843,0.98790185
6,TravelTime_387.csv,2.401730742028616,KMeans,0.66666667,6,Linear,0.92639843,0.98790185
7,exchange-2_cpm_results.csv,2.4244863154618983,KMeans,0.8,7,KMeans,0.38537271,0.4468761299999999
8,ec2_request_latency_system_failure.csv,2.5075888515222475,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_fe7f93.csv,2.508960374048259,Linear,0.5,9,KMeans,0.38537271,0.4468761299999999
10,ec2_cpu_utilization_5f5533.csv,2.702222525256986,KMeans,0.57142857,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,speed_7578.csv,5.606529673984727,KMeans,0.75,1,KMeans,0.96766744,1.0
14,exchange-4_cpm_results.csv,6.171464785598096,KMeans,0.75,2,KMeans,0.96766744,1.0
15,exchange-3_cpc_results.csv,6.372461471745346,Linear,0.57142857,3,KMeans,0.96766744,1.0
16,exchange-4_cpc_results.csv,6.43908085034579,Linear,0.66666667,4,KMeans,0.96766744,1.0
17,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,6.527822377913086,KMeans,0.5,5,KMeans,0.96766744,1.0
18,exchange-2_cpm_results.csv,6.83811851116329,KMeans,0.8,6,KMeans,0.96766744,1.0
19,TravelTime_387.csv,6.859949448949438,KMeans,0.66666667,7,KMeans,0.96766744,1.0
20,occupancy_t4013.csv,6.942747493910586,Linear,1.0,8,KMeans,0.96766744,1.0
21,speed_t4013.csv,6.951743620348816,Linear,1.0,9,KMeans,0.96766744,1.0
22,exchange-3_cpm_results.csv,7.012425576027879,Linear,1.0,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,machine_temperature_system_failure.csv,0.07266583506747393,Linear,0.4,1,Linear,0.14285714,0.34285714
26,cpu_utilization_asg_misconfiguration.csv,0.14019660910290266,KMeans,0.00775194,2,KMeans,0.8,1.0
27,Twitter_volume_GOOG.csv,0.14771425976062214,Linear,0.4,3,Linear,0.14285714,0.34285714
28,rds_cpu_utilization_e47b3b.csv,0.18672329995393905,Linear,0.66666667,4,Linear,0.14285714,0.34285714
29,ec2_cpu_utilization_53ea38.csv,0.20458647143393766,KMeans,0.04255319,5,Linear,0.14285714,0.34285714
30,elb_request_count_8c0756.csv,0.20686707498388843,Linear,0.66666667,6,Linear,0.14285714,0.34285714
31,ec2_cpu_utilization_5f5533.csv,0.2124477475263702,KMeans,0.57142857,7,Linear,0.14285714,0.34285714
32,art_daily_flatmiddle.csv,0.2321537296737163,KMeans,0.02,8,KMeans,0.8,1.0
33,Twitter_volume_UPS.csv,0.3433231027957747,Linear,0.28571429,9,Linear,0.14285714,0.34285714
34,Twitter_volume_AAPL.csv,0.3800901712390349,Linear,0.4,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,exchange-2_cpc_results.csv,0.02731746761016503,KMeans,0.33333333,1,KMeans,1.0,1.0
38,TravelTime_451.csv,0.11244613502805906,KMeans,0.4,2,KMeans,1.0,1.0
39,speed_6005.csv,0.15009935259577084,Linear,0.66666667,3,KMeans,1.0,1.0
40,occupancy_6005.csv,0.15010442043601405,Linear,1.0,4,KMeans,1.0,1.0
41,rds_cpu_utilization_cc0c53.csv,0.1669555932937835,Gaussian,1.0,5,KMeans,1.0,1.0
42,ec2_network_in_5abac7.csv,0.18919153543393327,Linear,0.66666667,6,Linear,1.0,1.0
43,occupancy_t4013.csv,0.19168036700300803,Linear,1.0,7,Linear,1.0,1.0
44,ec2_cpu_utilization_24ae8d.csv,0.19502657701719686,KMeans,1.0,8,Linear,1.0,1.0
45,Twitter_volume_PFE.csv,0.24444211297711235,KMeans,0.42857143,9,KMeans,1.0,1.0
46,ec2_cpu_utilization_ac20cd.csv,0.24756181675002698,KMeans,0.66666667,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,ambient_temperature_system_failure.csv,0.07266583506747393,KMeans,0.8,1,KMeans,0.4,1.0
50,cpu_utilization_asg_misconfiguration.csv,0.12380737090575296,KMeans,0.00775194,2,KMeans,0.4,1.0
51,Twitter_volume_GOOG.csv,0.12715441235928626,Linear,0.4,3,KMeans,0.4,1.0
52,rds_cpu_utilization_e47b3b.csv,0.2249937681694693,Linear,0.66666667,4,KMeans,0.4,1.0
53,ec2_cpu_utilization_53ea38.csv,0.23679707792095087,KMeans,0.04255319,5,KMeans,0.4,1.0
54,elb_request_count_8c0756.csv,0.23837691899242044,Linear,0.66666667,6,KMeans,0.4,1.0
55,ec2_cpu_utilization_5f5533.csv,0.24230446817609222,KMeans,0.57142857,7,KMeans,0.4,1.0
56,art_daily_flatmiddle.csv,0.2663919933424637,KMeans,0.02,8,KMeans,0.4,1.0
57,Twitter_volume_UPS.csv,0.38398805818550413,Linear,0.28571429,9,KMeans,0.4,1.0
58,Twitter_volume_AAPL.csv,0.41339626987175443,Linear,0.4,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_fe7f93.csv,0.0014005821309070747,Linear,0.5,1,Linear,0.57142857,0.9047619
62,ec2_cpu_utilization_5f5533.csv,0.2209449368592973,KMeans,0.57142857,2,KMeans,0.66666667,1.0
63,elb_request_count_8c0756.csv,0.22657660897762338,Linear,0.66666667,3,Linear,0.57142857,0.9047619
64,ec2_cpu_utilization_53ea38.csv,0.228942122492123,KMeans,0.04255319,4,KMeans,0.66666667,1.0
65,rds_cpu_utilization_e47b3b.csv,0.24894359114189332,Linear,0.66666667,5,Linear,0.57142857,0.9047619
66,TravelTime_387.csv,0.2598816476574733,KMeans,0.66666667,6,KMeans,0.66666667,1.0
67,exchange-2_cpm_results.csv,0.2711292375370841,KMeans,0.8,7,KMeans,0.66666667,1.0
68,Twitter_volume_GOOG.csv,0.34869689154322786,Linear,0.4,8,KMeans,0.66666667,1.0
69,ambient_temperature_system_failure.csv,0.43338431922916754,KMeans,0.8,9,KMeans,0.66666667,1.0
70,machine_temperature_system_failure.csv,0.4586831072334369,Linear,0.4,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
73,exchange-4_cpm_results.csv,0.6265251400314193,KMeans,0.75,1,KMeans,0.75,1.0
74,exchange-3_cpc_results.csv,0.7687383853863959,Linear,0.57142857,2,KMeans,0.75,1.0
75,exchange-4_cpc_results.csv,0.837420995585634,Linear,0.66666667,3,Linear,0.4,0.65
76,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.9227211260099258,KMeans,0.5,4,KMeans,0.75,1.0
77,exchange-2_cpm_results.csv,1.337349558637288,KMeans,0.8,5,KMeans,0.75,1.0
78,speed_t4013.csv,1.3516689587186468,Linear,1.0,6,KMeans,0.75,1.0
79,occupancy_t4013.csv,1.3528266174319308,Linear,1.0,7,Linear,0.4,0.65
80,TravelTime_387.csv,1.3649533043929467,KMeans,0.66666667,8,KMeans,0.75,1.0
81,exchange-3_cpm_results.csv,1.454488102172111,Linear,1.0,9,Linear,0.4,0.65
82,exchange-2_cpc_results.csv,1.4717121580344728,KMeans,0.33333333,10,KMeans,0.75,1.0
83,,,,,,,,
84,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
85,ec2_cpu_utilization_24ae8d.csv,0.10245481056399311,KMeans,1.0,1,KMeans,0.66666667,1.0
86,Twitter_volume_CVS.csv,0.2170825212711906,Linear,0.66666667,2,KMeans,0.66666667,1.0
87,occupancy_6005.csv,0.21943651051795468,Linear,1.0,3,Linear,0.125,0.45833333
88,speed_6005.csv,0.27379683458977777,Linear,0.66666667,4,Linear,0.125,0.45833333
89,ec2_disk_write_bytes_1ef3de.csv,0.2862189733168094,Linear,0.08695652,5,Linear,0.125,0.45833333
90,ec2_cpu_utilization_77c1ca.csv,0.2864791530670663,KMeans,0.03921569,6,Linear,0.125,0.45833333
91,art_load_balancer_spikes.csv,0.28673172013387005,KMeans,0.25,7,Linear,0.125,0.45833333
92,art_daily_nojump.csv,0.28790952238482087,KMeans,0.00152207,8,KMeans,0.66666667,1.0
93,exchange-3_cpm_results.csv,0.2895751486824185,Linear,1.0,9,Linear,0.125,0.45833333
94,art_daily_jumpsup.csv,0.28976926439275996,KMeans,0.22222222,10,KMeans,0.66666667,1.0
95,,,,,,,,
96,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
97,art_daily_jumpsdown.csv,0.0022103552510943274,KMeans,0.03030303,1,KMeans,0.5,1.0
98,art_daily_jumpsup.csv,0.0022103552510943274,KMeans,0.22222222,2,KMeans,0.5,1.0
99,art_daily_nojump.csv,0.0044176596898714724,KMeans,0.00152207,3,KMeans,0.5,1.0
100,art_load_balancer_spikes.csv,0.0059046248306699415,KMeans,0.25,4,KMeans,0.5,1.0
101,ec2_cpu_utilization_77c1ca.csv,0.006135540268959828,KMeans,0.03921569,5,KMeans,0.5,1.0
102,ec2_cpu_utilization_ac20cd.csv,0.008790085703150874,KMeans,0.66666667,6,KMeans,0.5,1.0
103,Twitter_volume_PFE.csv,0.014166519584214485,KMeans,0.42857143,7,KMeans,0.5,1.0
104,ec2_disk_write_bytes_1ef3de.csv,0.0341941964099888,Linear,0.08695652,8,KMeans,0.5,1.0
105,Twitter_volume_CRM.csv,0.0897009689057587,KMeans,0.54545455,9,KMeans,0.5,1.0
106,Twitter_volume_CVS.csv,0.09246779515809415,Linear,0.66666667,10,KMeans,0.5,1.0
107,,,,,,,,
108,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
109,exchange-3_cpc_results.csv,0.29796365318969553,Linear,0.57142857,1,Linear,0.66666667,0.91666667
110,exchange-4_cpc_results.csv,0.3315436229690943,Linear,0.66666667,2,Linear,0.66666667,0.91666667
111,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.4967873898591993,KMeans,0.5,3,Linear,0.66666667,0.91666667
112,speed_7578.csv,0.6265251400314193,KMeans,0.75,4,KMeans,0.75,1.0
113,exchange-2_cpm_results.csv,0.7112270417511461,KMeans,0.8,5,KMeans,0.75,1.0
114,TravelTime_387.csv,0.7386128361348452,KMeans,0.66666667,6,KMeans,0.75,1.0
115,speed_t4013.csv,0.8957964846006519,Linear,1.0,7,KMeans,0.75,1.0
116,ec2_cpu_utilization_fe7f93.csv,0.9318847877732862,Linear,0.5,8,KMeans,0.75,1.0
117,occupancy_t4013.csv,0.9319231712507008,Linear,1.0,9,Linear,0.66666667,0.91666667
118,ec2_request_latency_system_failure.csv,0.9323872227861156,KMeans,0.66666667,10,KMeans,0.75,1.0
119,,,,,,,,
120,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
121,exchange-2_cpm_results.csv,0.0297856367544881,KMeans,0.8,1,KMeans,0.66666667,1.0
122,ec2_request_latency_system_failure.csv,0.2598816476574733,KMeans,0.66666667,2,KMeans,0.66666667,1.0
123,ec2_cpu_utilization_fe7f93.csv,0.26024964467054434,Linear,0.5,3,KMeans,0.66666667,1.0
124,ec2_cpu_utilization_5f5533.csv,0.46019891420125847,KMeans,0.57142857,4,KMeans,0.66666667,1.0
125,elb_request_count_8c0756.csv,0.46400972494573933,Linear,0.66666667,5,KMeans,0.66666667,1.0
126,ec2_cpu_utilization_53ea38.csv,0.46561574281129364,KMeans,0.04255319,6,KMeans,0.66666667,1.0
127,rds_cpu_utilization_e47b3b.csv,0.4793401479120792,Linear,0.66666667,7,KMeans,0.66666667,1.0
128,Twitter_volume_GOOG.csv,0.6026182601831817,Linear,0.4,8,KMeans,0.66666667,1.0
129,nyc_taxi.csv,0.6314802850856409,Linear,0.25,9,Linear,0.5,0.83333333
130,exchange-4_cpc_results.csv,0.6379793185253478,Linear,0.66666667,10,Linear,0.5,0.83333333
131,,,,,,,,
132,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
133,art_increase_spike_density.csv,7.9337500295652585,KMeans,0.15384615,1,KMeans,0.0,1.0
134,ec2_cpu_utilization_825cc2.csv,8.051870333236781,KMeans,0.66666667,2,KMeans,0.0,1.0
135,ec2_cpu_utilization_24ae8d.csv,8.089740546283297,KMeans,1.0,3,KMeans,0.0,1.0
136,Twitter_volume_CVS.csv,8.105179655044763,Linear,0.66666667,4,KMeans,0.0,1.0
137,ec2_disk_write_bytes_1ef3de.csv,8.130993323688179,Linear,0.08695652,5,KMeans,0.0,1.0
138,occupancy_6005.csv,8.131346422658845,Linear,1.0,6,KMeans,0.0,1.0
139,art_load_balancer_spikes.csv,8.13842988938634,KMeans,0.25,7,KMeans,0.0,1.0
140,ec2_cpu_utilization_77c1ca.csv,8.138817659861594,KMeans,0.03921569,8,KMeans,0.0,1.0
141,art_daily_nojump.csv,8.139914239532732,KMeans,0.00152207,9,KMeans,0.0,1.0
142,art_daily_jumpsdown.csv,8.140781994475484,KMeans,0.03030303,10,KMeans,0.0,1.0
143,,,,,,,,
144,rogue_agent_key_updown.csv,0,Gaussian,0.00083455,0,Gaussian,0.00083455,1
145,KDD-Cup99 HTTP,1.0366451984980893,RPCA,0.93849658,1,RPCA,0.0,0.99916545
146,rogue_agent_key_hold.csv,1.4557832820945626,Linear,0.003367,2,Linear,0.00075245,0.9999179
147,ec2_disk_write_bytes_c0d644.csv,2.005849047111519,Linear,0.5,3,Linear,0.00075245,0.9999179
148,grok_asg_anomaly.csv,2.3957164936368414,KMeans,0.5,4,Linear,0.00075245,0.9999179
149,nyc_taxi.csv,2.6416815614055507,Linear,0.25,5,Linear,0.00075245,0.9999179
150,TravelTime_387.csv,3.1619376244106134,KMeans,0.66666667,6,Linear,0.00075245,0.9999179
151,exchange-2_cpm_results.csv,3.1887987118656236,KMeans,0.8,7,KMeans,0.00075287,0.99991832
152,ec2_request_latency_system_failure.csv,3.2019731019267517,KMeans,0.66666667,8,KMeans,0.00075287,0.99991832
153,ec2_cpu_utilization_fe7f93.csv,3.203370413755787,Linear,0.5,9,KMeans,0.00075287,0.99991832
154,ec2_cpu_utilization_5f5533.csv,3.3617549736282712,KMeans,0.57142857,10,KMeans,0.00075287,0.99991832
155,,,,,,,,
156,rds_cpu_utilization_cc0c53.csv,0,Gaussian,1.0,0,Gaussian,1.0,1
157,ec2_network_in_5abac7.csv,0.04531827820794615,Linear,0.66666667,1,Linear,0.66666667,0.66666667
158,TravelTime_451.csv,0.12700667181090347,KMeans,0.4,2,KMeans,1.0,1.0
159,exchange-2_cpc_results.csv,0.14063800597521328,KMeans,0.33333333,3,KMeans,1.0,1.0
160,Twitter_volume_UPS.csv,0.15235412942268353,Linear,0.28571429,4,KMeans,1.0,1.0
161,speed_6005.csv,0.15849482284328195,Linear,0.66666667,5,Linear,0.66666667,0.66666667
162,Twitter_volume_AMZN.csv,0.1590328402873609,KMeans,0.66666667,6,KMeans,1.0,1.0
163,Twitter_volume_AAPL.csv,0.1667868995289003,Linear,0.4,7,Linear,0.66666667,0.66666667
164,exchange-3_cpm_results.csv,0.1669555932937835,Linear,1.0,8,Linear,0.66666667,0.66666667
165,occupancy_t4013.csv,0.17985086692026064,Linear,1.0,9,Linear,0.66666667,0.66666667
166,Twitter_volume_KO.csv,0.19820776823547692,Linear,0.8,10,Linear,0.66666667,0.66666667
167,,,,,,,,
168,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
169,grok_asg_anomaly.csv,0.2690868147356466,KMeans,0.5,1,KMeans,0.25,1.0
170,ec2_request_latency_system_failure.csv,0.574201896523975,KMeans,0.66666667,2,KMeans,0.25,1.0
171,ec2_cpu_utilization_fe7f93.csv,0.5755524650758871,Linear,0.5,3,KMeans,0.25,1.0
172,TravelTime_387.csv,0.6314802850856409,KMeans,0.66666667,4,KMeans,0.25,1.0
173,exchange-2_cpm_results.csv,0.6611388895855081,KMeans,0.8,5,KMeans,0.25,1.0
174,ec2_disk_write_bytes_c0d644.csv,0.664632639846754,Linear,0.5,6,KMeans,0.25,1.0
175,ec2_cpu_utilization_5f5533.csv,0.7201415198428948,KMeans,0.57142857,7,KMeans,0.25,1.0
176,elb_request_count_8c0756.csv,0.7275467581268815,Linear,0.66666667,8,KMeans,0.25,1.0
177,ec2_cpu_utilization_53ea38.csv,0.730618354518771,KMeans,0.04255319,9,KMeans,0.25,1.0
178,Twitter_volume_GOOG.csv,0.7491378628546372,Linear,0.4,10,KMeans,0.25,1.0
179,,,,,,,,
180,ec2_cpu_utilization_5f5533.csv,0,KMeans,0.57142857,0,KMeans,0.57142857,1
181,elb_request_count_8c0756.csv,0.007405581498010411,Linear,0.66666667,1,Linear,0.5,0.92857143
182,ec2_cpu_utilization_53ea38.csv,0.010477349118206204,KMeans,0.04255319,2,KMeans,0.57142857,1.0
183,rds_cpu_utilization_e47b3b.csv,0.03569153991464428,Linear,0.66666667,3,Linear,0.5,0.92857143
184,Twitter_volume_GOOG.csv,0.15335215907540195,Linear,0.4,4,Linear,0.5,0.92857143
185,ambient_temperature_system_failure.csv,0.2124477475263702,KMeans,0.8,5,Linear,0.5,0.92857143
186,ec2_cpu_utilization_fe7f93.csv,0.21989167156742692,Linear,0.5,6,Linear,0.5,0.92857143
187,ec2_request_latency_system_failure.csv,0.2209449368592973,KMeans,0.66666667,7,Linear,0.5,0.92857143
188,machine_temperature_system_failure.csv,0.24230446817609222,Linear,0.4,8,Linear,0.5,0.92857143
189,cpu_utilization_asg_misconfiguration.csv,0.35060742342234247,KMeans,0.00775194,9,Linear,0.5,0.92857143
190,art_daily_flatmiddle.csv,0.4228304258770168,KMeans,0.02,10,KMeans,0.57142857,1.0
191,,,,,,,,
192,art_daily_flatmiddle.csv,0,KMeans,0.02,0,KMeans,0.02,1
193,Twitter_volume_UPS.csv,0.11911412146813458,Linear,0.28571429,1,Linear,0.0,0.98
194,Twitter_volume_AAPL.csv,0.14832224130598792,Linear,0.4,2,Linear,0.0,0.98
195,Twitter_volume_AMZN.csv,0.16908541109177555,KMeans,0.66666667,3,Linear,0.0,0.98
196,cpu_utilization_asg_misconfiguration.csv,0.1746188050252088,KMeans,0.00775194,4,KMeans,0.02,1.0
197,ambient_temperature_system_failure.csv,0.2321537296737163,KMeans,0.8,5,KMeans,0.02,1.0
198,ec2_network_in_5abac7.csv,0.24838049171690996,Linear,0.66666667,6,KMeans,0.02,1.0
199,Twitter_volume_KO.csv,0.2535161693694047,Linear,0.8,7,Linear,0.0,0.98
200,rds_cpu_utilization_cc0c53.csv,0.2646465888631868,Gaussian,1.0,8,Linear,0.0,0.98
201,machine_temperature_system_failure.csv,0.2663919933424637,Linear,0.4,9,Linear,0.0,0.98
202,Twitter_volume_CRM.csv,0.30422101835831866,KMeans,0.54545455,10,Linear,0.0,0.98
203,,,,,,,,
204,ec2_disk_write_bytes_c0d644.csv,0,Linear,0.5,0,Linear,0.5,1
205,grok_asg_anomaly.csv,0.39995230066762927,KMeans,0.5,1,KMeans,0.5,1.0
206,rogue_agent_key_hold.csv,0.618841819949656,Linear,0.003367,2,KMeans,0.5,1.0
207,nyc_taxi.csv,0.664632639846754,Linear,0.25,3,Linear,0.5,1.0
208,TravelTime_387.csv,1.1604299039382604,KMeans,0.66666667,4,KMeans,0.5,1.0
209,exchange-2_cpm_results.csv,1.1881420201148354,KMeans,0.8,5,KMeans,0.5,1.0
210,ec2_request_latency_system_failure.csv,1.2006063405851939,KMeans,0.66666667,6,KMeans,0.5,1.0
211,ec2_cpu_utilization_fe7f93.csv,1.2020069225979542,Linear,0.5,7,KMeans,0.5,1.0
212,KDD-Cup99 HTTP,1.3539578402697026,RPCA,0.93849658,8,KMeans,0.5,1.0
213,ec2_cpu_utilization_5f5533.csv,1.3747641987031956,KMeans,0.57142857,9,KMeans,0.5,1.0
214,elb_request_count_8c0756.csv,1.3821285281845768,Linear,0.66666667,10,KMeans,0.5,1.0
215,,,,,,,,
216,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
217,speed_6005.csv,0.044185157269744854,Linear,0.66666667,1,Linear,0.18181818,0.7818181799999999
218,occupancy_6005.csv,0.07914296819064003,Linear,1.0,2,Linear,0.18181818,0.7818181799999999
219,exchange-2_cpc_results.csv,0.09150785167868711,KMeans,0.33333333,3,Linear,0.18181818,0.7818181799999999
220,exchange-3_cpm_results.csv,0.11244613502805906,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
221,ec2_network_in_5abac7.csv,0.1197526428537376,Linear,0.66666667,5,Linear,0.18181818,0.7818181799999999
222,rds_cpu_utilization_cc0c53.csv,0.12700667181090347,Gaussian,1.0,6,Linear,0.18181818,0.7818181799999999
223,Twitter_volume_PFE.csv,0.1355898325003128,KMeans,0.42857143,7,Linear,0.18181818,0.7818181799999999
224,ec2_cpu_utilization_ac20cd.csv,0.13945390817949654,KMeans,0.66666667,8,Linear,0.18181818,0.7818181799999999
225,ec2_network_in_257a54.csv,0.14184229211686206,KMeans,0.5,9,KMeans,0.4,1.0
226,art_daily_jumpsup.csv,0.14252190154815778,KMeans,0.22222222,10,KMeans,0.4,1.0
227,,,,,,,,
228,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
229,Twitter_volume_AMZN.csv,0.020766984967843485,KMeans,0.66666667,1,KMeans,0.4,1.0
230,Twitter_volume_UPS.csv,0.05565033686688974,Linear,0.28571429,2,KMeans,0.4,1.0
231,Twitter_volume_KO.csv,0.11028970183553657,Linear,0.8,3,Linear,0.4,1.0
232,ec2_network_in_5abac7.csv,0.13142638431104364,Linear,0.66666667,4,Linear,0.4,1.0
233,art_daily_flatmiddle.csv,0.14832224130598792,KMeans,0.02,5,Linear,0.4,1.0
234,Twitter_volume_CRM.csv,0.15896429105613308,KMeans,0.54545455,6,KMeans,0.4,1.0
235,rds_cpu_utilization_cc0c53.csv,0.1667868995289003,Gaussian,1.0,7,KMeans,0.4,1.0
236,Twitter_volume_FB.csv,0.19340776668112145,Linear,1.0,8,Linear,0.4,1.0
237,Twitter_volume_IBM.csv,0.2019796938528496,Linear,0.5,9,Linear,0.4,1.0
238,Twitter_volume_PFE.csv,0.21988823620988945,KMeans,0.42857143,10,Linear,0.4,1.0
239,,,,,,,,
240,rds_cpu_utilization_e47b3b.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
241,ec2_cpu_utilization_53ea38.csv,0.02521424831205521,KMeans,0.04255319,1,KMeans,0.66666667,1.0
242,elb_request_count_8c0756.csv,0.02828595842394712,Linear,0.66666667,2,KMeans,0.66666667,1.0
243,ec2_cpu_utilization_5f5533.csv,0.03569153991464428,KMeans,0.57142857,3,KMeans,0.66666667,1.0
244,Twitter_volume_GOOG.csv,0.15407566876852605,Linear,0.4,4,KMeans,0.66666667,1.0
245,ambient_temperature_system_failure.csv,0.18672329995393905,KMeans,0.8,5,KMeans,0.66666667,1.0
246,machine_temperature_system_failure.csv,0.2249937681694693,Linear,0.4,6,KMeans,0.66666667,1.0
247,ec2_cpu_utilization_fe7f93.csv,0.24780761854467437,Linear,0.5,7,Linear,0.66666667,1.0
248,ec2_request_latency_system_failure.csv,0.24894359114189332,KMeans,0.66666667,8,KMeans,0.66666667,1.0
249,cpu_utilization_asg_misconfiguration.csv,0.3265440204961727,KMeans,0.00775194,9,KMeans,0.66666667,1.0
250,art_daily_flatmiddle.csv,0.38986401296403256,KMeans,0.02,10,KMeans,0.66666667,1.0
251,,,,,,,,
252,ec2_network_in_5abac7.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
