,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,rogue_agent_key_updown.csv,0.0002190453671293486,Gaussian,0.00083455,1,Gaussian,0.17305478,0.23455819999999994
2,Statlog Shuttle,0.00023132110485068222,KMeans,0.96766744,2,Gaussian,0.17305478,0.23455819999999994
3,ec2_cpu_utilization_c6585a.csv,0.0002313211071999283,Linear,0.0,3,Gaussian,0.17305478,0.23455819999999994
4,rogue_agent_key_hold.csv,0.0024156511141574574,Linear,0.003367,4,Linear,0.92639843,0.98790185
5,ec2_disk_write_bytes_c0d644.csv,0.012337467595861039,Linear,0.5,5,Linear,0.92639843,0.98790185
6,grok_asg_anomaly.csv,0.026499413523955087,KMeans,0.5,6,Linear,0.92639843,0.98790185
7,speed_7578.csv,0.028781955858511597,KMeans,0.75,7,KMeans,0.38537271,0.4468761299999999
8,art_increase_spike_density.csv,0.02997506588371784,KMeans,0.15384615,8,KMeans,0.38537271,0.4468761299999999
9,nyc_taxi.csv,0.03809925216814444,Linear,0.25,9,KMeans,0.38537271,0.4468761299999999
10,ec2_cpu_utilization_825cc2.csv,0.047647328929106184,KMeans,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,2.3492460946640284e-12,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,rogue_agent_key_updown.csv,1.2275737721333632e-05,Gaussian,0.00083455,2,Gaussian,0.81503172,0.84736428
15,KDD-Cup99 HTTP,0.00023132110485068222,RPCA,0.93849658,3,Gaussian,0.81503172,0.84736428
16,rogue_agent_key_hold.csv,0.00264697221900814,Linear,0.003367,4,Linear,0.96707106,0.9994036199999999
17,ec2_disk_write_bytes_c0d644.csv,0.01256878870071172,Linear,0.5,5,Linear,0.96707106,0.9994036199999999
18,grok_asg_anomaly.csv,0.02673073462880577,KMeans,0.5,6,Linear,0.96707106,0.9994036199999999
19,speed_7578.csv,0.02901327696336228,KMeans,0.75,7,Linear,0.96707106,0.9994036199999999
20,art_increase_spike_density.csv,0.030206386988568524,KMeans,0.15384615,8,KMeans,0.96766744,1.0
21,nyc_taxi.csv,0.038330573272995126,Linear,0.25,9,Linear,0.96707106,0.9994036199999999
22,ec2_cpu_utilization_825cc2.csv,0.04787865003395687,KMeans,0.66666667,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,ec2_cpu_utilization_5f5533.csv,1.8432610184027087e-05,KMeans,0.57142857,1,KMeans,0.8,1.0
26,elb_request_count_8c0756.csv,0.0001462419532641812,Linear,0.66666667,2,KMeans,0.8,1.0
27,ec2_cpu_utilization_53ea38.csv,0.00021316882025990136,KMeans,0.04255319,3,KMeans,0.8,1.0
28,occupancy_t4013.csv,0.0005899014725209983,Linear,1.0,4,KMeans,0.8,1.0
29,rds_cpu_utilization_e47b3b.csv,0.0007321565509338795,Linear,0.66666667,5,Linear,0.14285714,0.34285714
30,art_daily_flatmiddle.csv,0.0012725256281599234,KMeans,0.02,6,KMeans,0.8,1.0
31,speed_t4013.csv,0.0016578744008167168,Linear,1.0,7,Linear,0.14285714,0.34285714
32,machine_temperature_system_failure.csv,0.0018549096358189965,Linear,0.4,8,Linear,0.14285714,0.34285714
33,Twitter_volume_GOOG.csv,0.0022920917497498833,Linear,0.4,9,Linear,0.14285714,0.34285714
34,Twitter_volume_UPS.csv,0.002341085863085679,Linear,0.28571429,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,exchange-3_cpc_results.csv,0.00046173529465919766,Linear,0.57142857,1,Linear,1.0,1.0
38,exchange-2_cpc_results.csv,0.0005509989380396221,KMeans,0.33333333,2,KMeans,1.0,1.0
39,exchange-2_cpm_results.csv,0.0006732197409528851,KMeans,0.8,3,KMeans,1.0,1.0
40,TravelTime_451.csv,0.0007867055723005528,KMeans,0.4,4,KMeans,1.0,1.0
41,Twitter_volume_KO.csv,0.001207118973810102,Linear,0.8,5,KMeans,1.0,1.0
42,TravelTime_387.csv,0.0013952535734548452,KMeans,0.66666667,6,KMeans,1.0,1.0
43,exchange-4_cpc_results.csv,0.0018027436121593118,Linear,0.66666667,7,KMeans,1.0,1.0
44,speed_6005.csv,0.0022992774275864825,Linear,0.66666667,8,KMeans,1.0,1.0
45,Twitter_volume_AMZN.csv,0.0023390250294018436,KMeans,0.66666667,9,KMeans,1.0,1.0
46,Twitter_volume_AAPL.csv,0.002881245435376968,Linear,0.4,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,Twitter_volume_GOOG.csv,0.0004371821139308868,Linear,0.4,1,Linear,0.4,1.0
50,Twitter_volume_UPS.csv,0.0004861762272666825,Linear,0.28571429,2,Linear,0.4,1.0
51,art_daily_flatmiddle.csv,0.0005823840076590731,KMeans,0.02,3,Linear,0.4,1.0
52,cpu_utilization_asg_misconfiguration.csv,0.0008743745509641326,KMeans,0.00775194,4,KMeans,0.4,1.0
53,occupancy_t4013.csv,0.0012650081632979981,Linear,1.0,5,Linear,0.4,1.0
54,rds_cpu_utilization_cc0c53.csv,0.0012712287448010673,Gaussian,1.0,6,Linear,0.4,1.0
55,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.001332625190825068,KMeans,0.5,7,KMeans,0.4,1.0
56,ec2_cpu_utilization_5f5533.csv,0.0018364770256349694,KMeans,0.57142857,8,KMeans,0.4,1.0
57,ambient_temperature_system_failure.csv,0.0018549096358189965,KMeans,0.8,9,KMeans,0.4,1.0
58,elb_request_count_8c0756.csv,0.0020011515890831777,Linear,0.66666667,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_network_in_5abac7.csv,3.239416146258445e-05,Linear,0.66666667,1,Linear,0.57142857,0.9047619
