,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,rogue_agent_key_hold.csv,0.9937462899229139,Linear,0.003367,1,Linear,0.92639843,0.98790185
2,rogue_agent_key_updown.csv,1.4679522496064903,Gaussian,0.00083455,2,Gaussian,0.17305478,0.23455819999999994
3,ec2_disk_write_bytes_c0d644.csv,1.7638506516386019,Linear,0.5,3,Linear,0.92639843,0.98790185
4,grok_asg_anomaly.csv,2.215249865430423,KMeans,0.5,4,Linear,0.92639843,0.98790185
5,nyc_taxi.csv,2.5643009172688083,Linear,0.25,5,Linear,0.92639843,0.98790185
6,TravelTime_387.csv,2.6456880707959,KMeans,0.66666667,6,Linear,0.92639843,0.98790185
7,exchange-2_cpm_results.csv,2.653468721265549,KMeans,0.8,7,KMeans,0.38537271,0.4468761299999999
8,ec2_request_latency_system_failure.csv,2.964679571624665,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_fe7f93.csv,2.966079837780074,Linear,0.5,9,KMeans,0.38537271,0.4468761299999999
10,exchange-4_cpc_results.csv,3.00354875838211,Linear,0.66666667,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,speed_7578.csv,6.329318711598548,KMeans,0.75,1,KMeans,0.96766744,1.0
14,exchange-4_cpm_results.csv,7.20184350044225,KMeans,0.75,2,KMeans,0.96766744,1.0
15,exchange-3_cpc_results.csv,7.253317706576777,Linear,0.57142857,3,KMeans,0.96766744,1.0
16,art_increase_spike_density.csv,7.2793687267948926,KMeans,0.15384615,4,KMeans,0.96766744,1.0
17,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,7.322138612787061,KMeans,0.5,5,KMeans,0.96766744,1.0
18,exchange-4_cpc_results.csv,7.350887411429688,Linear,0.66666667,6,KMeans,0.96766744,1.0
19,ec2_cpu_utilization_825cc2.csv,7.364799153537585,KMeans,0.66666667,7,KMeans,0.96766744,1.0
20,ec2_cpu_utilization_24ae8d.csv,7.466990760864024,KMeans,1.0,8,KMeans,0.96766744,1.0
21,exchange-3_cpm_results.csv,7.548118812749676,Linear,1.0,9,KMeans,0.96766744,1.0
22,exchange-2_cpc_results.csv,7.5867694067404,KMeans,0.33333333,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,machine_temperature_system_failure.csv,0.0984375573949732,Linear,0.4,1,Linear,0.14285714,0.34285714
26,Twitter_volume_GOOG.csv,0.16244107582780196,Linear,0.4,2,Linear,0.14285714,0.34285714
27,cpu_utilization_asg_misconfiguration.csv,0.2004065670771081,KMeans,0.00775194,3,Linear,0.14285714,0.34285714
28,art_daily_flatmiddle.csv,0.24942516474182633,KMeans,0.02,4,KMeans,0.8,1.0
29,rds_cpu_utilization_e47b3b.csv,0.2650485670088965,Linear,0.66666667,5,Linear,0.14285714,0.34285714
30,ec2_cpu_utilization_53ea38.csv,0.29027986156405716,KMeans,0.04255319,6,KMeans,0.8,1.0
31,elb_request_count_8c0756.csv,0.29332121071295947,Linear,0.66666667,7,Linear,0.14285714,0.34285714
32,ec2_cpu_utilization_5f5533.csv,0.30072293638668024,KMeans,0.57142857,8,KMeans,0.8,1.0
33,Twitter_volume_UPS.csv,0.3688916745378169,Linear,0.28571429,9,Linear,0.14285714,0.34285714
34,Twitter_volume_AAPL.csv,0.39542696237544683,Linear,0.4,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,exchange-2_cpc_results.csv,0.038650593990722806,KMeans,0.33333333,1,KMeans,1.0,1.0
38,TravelTime_451.csv,0.1263392600521708,KMeans,0.4,2,KMeans,1.0,1.0
39,speed_6005.csv,0.15789152699501935,Linear,0.66666667,3,KMeans,1.0,1.0
40,occupancy_6005.csv,0.19826888236470971,Linear,1.0,4,KMeans,1.0,1.0
41,rds_cpu_utilization_cc0c53.csv,0.23150446422362567,Gaussian,1.0,5,KMeans,1.0,1.0
42,occupancy_t4013.csv,0.2572791052475003,Linear,1.0,6,Linear,1.0,1.0
43,Twitter_volume_PFE.csv,0.25934539546852764,KMeans,0.42857143,7,KMeans,1.0,1.0
44,ec2_cpu_utilization_24ae8d.csv,0.2636241009527114,KMeans,1.0,8,KMeans,1.0,1.0
45,ec2_cpu_utilization_ac20cd.csv,0.26767392934379586,KMeans,0.66666667,9,KMeans,1.0,1.0
46,ec2_network_in_5abac7.csv,0.2679676727194519,Linear,0.66666667,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,ambient_temperature_system_failure.csv,0.0984375573949732,KMeans,0.8,1,KMeans,0.4,1.0
50,cpu_utilization_asg_misconfiguration.csv,0.16302344320676285,KMeans,0.00775194,2,KMeans,0.4,1.0
51,Twitter_volume_GOOG.csv,0.1688733573276497,Linear,0.4,3,KMeans,0.4,1.0
52,rds_cpu_utilization_e47b3b.csv,0.3024316908792417,Linear,0.66666667,4,KMeans,0.4,1.0
53,art_daily_flatmiddle.csv,0.3122996126044739,KMeans,0.02,5,KMeans,0.4,1.0
54,ec2_cpu_utilization_53ea38.csv,0.3276629854344024,KMeans,0.04255319,6,KMeans,0.4,1.0
55,elb_request_count_8c0756.csv,0.33070433458330467,Linear,0.66666667,7,KMeans,0.4,1.0
56,ec2_cpu_utilization_5f5533.csv,0.3381060602570255,KMeans,0.57142857,8,KMeans,0.4,1.0
57,Twitter_volume_AAPL.csv,0.46256138303022565,Linear,0.4,9,KMeans,0.4,1.0
58,Twitter_volume_UPS.csv,0.4673292319327901,Linear,0.28571429,10,KMeans,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,ec2_cpu_utilization_fe7f93.csv,0.0014008980351365719,Linear,0.5,1,Linear,0.57142857,0.9047619
62,exchange-2_cpm_results.csv,0.3112108503591162,KMeans,0.8,2,KMeans,0.66666667,1.0
63,ec2_cpu_utilization_5f5533.csv,0.31218492128965675,KMeans,0.57142857,3,KMeans,0.66666667,1.0
64,TravelTime_387.csv,0.3189915008287651,KMeans,0.66666667,4,KMeans,0.66666667,1.0
65,elb_request_count_8c0756.csv,0.3195866469633776,Linear,0.66666667,5,KMeans,0.66666667,1.0
66,ec2_cpu_utilization_53ea38.csv,0.3226279961122799,KMeans,0.04255319,6,KMeans,0.66666667,1.0
67,rds_cpu_utilization_e47b3b.csv,0.34785929066744053,Linear,0.66666667,7,KMeans,0.66666667,1.0
68,Twitter_volume_GOOG.csv,0.48141762421903256,Linear,0.4,8,KMeans,0.66666667,1.0
69,ambient_temperature_system_failure.csv,0.612907857676337,KMeans,0.8,9,KMeans,0.66666667,1.0
70,machine_temperature_system_failure.csv,0.6502909815466822,Linear,0.4,10,KMeans,0.66666667,1.0
71,,,,,,,,
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
