,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,rogue_agent_key_hold.csv,0.34442739375144904,Linear,0.003367,1,Linear,0.92639843,0.98790185
2,ec2_disk_write_bytes_c0d644.csv,0.6515151167039719,Linear,0.5,2,Linear,0.92639843,0.98790185
3,grok_asg_anomaly.csv,0.8392107666663566,KMeans,0.5,3,Linear,0.92639843,0.98790185
4,nyc_taxi.csv,0.9192476314920941,Linear,0.25,4,Linear,0.92639843,0.98790185
5,speed_7578.csv,0.9962088287551618,KMeans,0.75,5,Linear,0.92639843,0.98790185
6,art_increase_spike_density.csv,1.0985514729794164,KMeans,0.15384615,6,KMeans,0.38537271,0.4468761299999999
7,Twitter_volume_GOOG.csv,1.1123849174948635,Linear,0.4,7,Linear,0.92639843,0.98790185
8,ec2_request_latency_system_failure.csv,1.1168318532793309,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_fe7f93.csv,1.117103929734668,Linear,0.5,9,Linear,0.92639843,0.98790185
10,machine_temperature_system_failure.csv,1.1281927296977103,Linear,0.4,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,rogue_agent_key_updown.csv,0.9519874016719896,Gaussian,0.00083455,1,Gaussian,0.81503172,0.84736428
14,KDD-Cup99 HTTP,1.607281300245465,RPCA,0.93849658,2,Gaussian,0.81503172,0.84736428
15,rogue_agent_key_hold.csv,1.8199359575555756,Linear,0.003367,3,Gaussian,0.81503172,0.84736428
16,ec2_disk_write_bytes_c0d644.csv,1.9893915742453743,Linear,0.5,4,Linear,0.96707106,0.9994036199999999
17,grok_asg_anomaly.csv,2.0836952433586733,KMeans,0.5,5,Linear,0.96707106,0.9994036199999999
18,speed_7578.csv,2.0922350077937275,KMeans,0.75,6,KMeans,0.96766744,1.0
19,art_increase_spike_density.csv,2.1053798186755777,KMeans,0.15384615,7,KMeans,0.96766744,1.0
20,nyc_taxi.csv,2.124131355919543,Linear,0.25,8,KMeans,0.96766744,1.0
21,ec2_cpu_utilization_825cc2.csv,2.148035769731719,KMeans,0.66666667,9,KMeans,0.96766744,1.0
22,ec2_cpu_utilization_24ae8d.csv,2.1628847150992696,KMeans,1.0,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
