,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,rogue_agent_key_updown.csv,0.7037019667695752,Gaussian,0.00083455,1,Gaussian,0.17305478,0.23455819999999994
2,rogue_agent_key_hold.csv,0.9664180032687173,Linear,0.003367,2,Gaussian,0.17305478,0.23455819999999994
3,ec2_disk_write_bytes_c0d644.csv,1.4905845937938587,Linear,0.5,3,Linear,0.92639843,0.98790185
4,speed_7578.csv,1.680832890054769,KMeans,0.75,4,Linear,0.92639843,0.98790185
5,grok_asg_anomaly.csv,1.8512580133691996,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999
6,nyc_taxi.csv,2.0037173729985387,Linear,0.25,6,Linear,0.92639843,0.98790185
7,exchange-4_cpm_results.csv,2.4288071326089233,KMeans,0.75,7,KMeans,0.38537271,0.4468761299999999
8,art_increase_spike_density.csv,2.4445380985028606,KMeans,0.15384615,8,KMeans,0.38537271,0.4468761299999999
9,exchange-3_cpc_results.csv,2.5887756070893593,Linear,0.57142857,9,KMeans,0.38537271,0.4468761299999999
10,Twitter_volume_GOOG.csv,2.5915977075846284,Linear,0.4,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,ec2_cpu_utilization_c6585a.csv,3.3160493929822694,Linear,0.0,1,Linear,0.96707106,0.9994036199999999
14,rogue_agent_key_updown.csv,3.944442302955915,Gaussian,0.00083455,2,Gaussian,0.81503172,0.84736428
15,KDD-Cup99 HTTP,4.64814426972549,RPCA,0.93849658,3,Gaussian,0.81503172,0.84736428
16,rogue_agent_key_hold.csv,5.614562272994208,Linear,0.003367,4,Linear,0.96707106,0.9994036199999999
17,ec2_disk_write_bytes_c0d644.csv,6.138728863519349,Linear,0.5,5,Linear,0.96707106,0.9994036199999999
18,speed_7578.csv,6.328977159780259,KMeans,0.75,6,Linear,0.96707106,0.9994036199999999
19,grok_asg_anomaly.csv,6.49940228309469,KMeans,0.5,7,Linear,0.96707106,0.9994036199999999
20,nyc_taxi.csv,6.651861642724029,Linear,0.25,8,Linear,0.96707106,0.9994036199999999
21,exchange-4_cpm_results.csv,7.076951402334414,KMeans,0.75,9,Linear,0.96707106,0.9994036199999999
22,art_increase_spike_density.csv,7.092682368228351,KMeans,0.15384615,10,KMeans,0.96766744,1.0
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,ec2_cpu_utilization_53ea38.csv,0.012158278416413704,KMeans,0.04255319,1,KMeans,0.8,1.0
26,rds_cpu_utilization_e47b3b.csv,0.013038912120522772,Linear,0.66666667,2,KMeans,0.8,1.0
27,elb_request_count_8c0756.csv,0.015260354758773742,Linear,0.66666667,3,Linear,0.14285714,0.34285714
28,ec2_cpu_utilization_5f5533.csv,0.022669790074526852,KMeans,0.57142857,4,KMeans,0.8,1.0
29,ec2_cpu_utilization_825cc2.csv,0.02402080653716232,KMeans,0.66666667,5,KMeans,0.8,1.0
30,cpu_utilization_asg_misconfiguration.csv,0.03156386814044709,KMeans,0.00775194,6,KMeans,0.8,1.0
31,ec2_cpu_utilization_fe7f93.csv,0.0616695716705703,Linear,0.5,7,KMeans,0.8,1.0
32,ec2_request_latency_system_failure.csv,0.06307046970570673,KMeans,0.66666667,8,KMeans,0.8,1.0
33,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0808281658822031,KMeans,0.5,9,KMeans,0.8,1.0
34,exchange-4_cpc_results.csv,0.08692340571674595,Linear,0.66666667,10,KMeans,0.8,1.0
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,Twitter_volume_CVS.csv,0.012057201239282778,Linear,0.66666667,1,Linear,1.0,1.0
38,ec2_cpu_utilization_24ae8d.csv,0.034497095341739226,KMeans,1.0,2,KMeans,1.0,1.0
39,exchange-2_cpc_results.csv,0.04883177895690216,KMeans,0.33333333,3,KMeans,1.0,1.0
40,ec2_disk_write_bytes_1ef3de.csv,0.053090897028163164,Linear,0.08695652,4,KMeans,1.0,1.0
41,art_daily_flatmiddle.csv,0.053375093516143224,KMeans,0.02,5,KMeans,1.0,1.0
42,occupancy_t4013.csv,0.06855849882186082,Linear,1.0,6,KMeans,1.0,1.0
43,Twitter_volume_IBM.csv,0.07958062683474254,Linear,0.5,7,Linear,1.0,1.0
44,Twitter_volume_FB.csv,0.09136222661665228,Linear,1.0,8,Linear,1.0,1.0
45,art_load_balancer_spikes.csv,0.09484911875551039,KMeans,0.25,9,Linear,1.0,1.0
46,ec2_cpu_utilization_77c1ca.csv,0.09645777724704274,KMeans,0.03921569,10,KMeans,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,exchange-2_cpm_results.csv,0.0028359213839103115,KMeans,0.8,1,KMeans,0.4,1.0
50,TravelTime_387.csv,0.010753667100879771,KMeans,0.66666667,2,KMeans,0.4,1.0
