,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Statlog Shuttle,4.7683015,KMeans,0.96766744,1,KMeans,0.38537271,0.4468761299999999
2,speed_7578.csv,6.418088,KMeans,0.75,2,KMeans,0.38537271,0.4468761299999999
3,Twitter_volume_IBM.csv,6.5002375,Linear,0.5,3,KMeans,0.38537271,0.4468761299999999
4,Twitter_volume_FB.csv,6.5002537,Linear,1.0,4,KMeans,0.38537271,0.4468761299999999
5,Twitter_volume_CRM.csv,6.5023227,KMeans,0.54545455,5,KMeans,0.38537271,0.4468761299999999
6,Twitter_volume_KO.csv,6.5023417,Linear,0.8,6,KMeans,0.38537271,0.4468761299999999
7,Twitter_volume_AAPL.csv,6.5042543,Linear,0.4,7,Linear,0.92639843,0.98790185
8,Twitter_volume_PFE.csv,6.5042753,KMeans,0.42857143,8,KMeans,0.38537271,0.4468761299999999
9,Twitter_volume_CVS.csv,6.504277,Linear,0.66666667,9,Linear,0.92639843,0.98790185
10,Twitter_volume_GOOG.csv,6.5042825,Linear,0.4,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1
13,Statlog Shuttle,4.945592,KMeans,0.96766744,1,KMeans,0.96766744,1.0
14,speed_7578.csv,6.3780985,KMeans,0.75,2,KMeans,0.96766744,1.0
15,Twitter_volume_IBM.csv,6.467046,Linear,0.5,3,KMeans,0.96766744,1.0
16,Twitter_volume_FB.csv,6.467062,Linear,1.0,4,KMeans,0.96766744,1.0
17,Twitter_volume_CRM.csv,6.4690633,KMeans,0.54545455,5,KMeans,0.96766744,1.0
18,Twitter_volume_KO.csv,6.469082,Linear,0.8,6,KMeans,0.96766744,1.0
19,Twitter_volume_AAPL.csv,6.4709454,Linear,0.4,7,Linear,0.96707106,0.9994036199999999
20,Twitter_volume_PFE.csv,6.4709654,KMeans,0.42857143,8,KMeans,0.96766744,1.0
21,Twitter_volume_CVS.csv,6.470968,Linear,0.66666667,9,Linear,0.96707106,0.9994036199999999
22,Twitter_volume_GOOG.csv,6.470973,Linear,0.4,10,Linear,0.96707106,0.9994036199999999
23,,,,,,,,
24,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
25,Statlog Shuttle,4.654893,KMeans,0.96766744,1,KMeans,0.8,1.0
26,speed_7578.csv,6.472144,KMeans,0.75,2,KMeans,0.8,1.0
27,Twitter_volume_IBM.csv,6.5416074,Linear,0.5,3,KMeans,0.8,1.0
28,Twitter_volume_FB.csv,6.541625,Linear,1.0,4,KMeans,0.8,1.0
29,Twitter_volume_CRM.csv,6.543859,KMeans,0.54545455,5,KMeans,0.8,1.0
30,Twitter_volume_KO.csv,6.5438795,Linear,0.8,6,KMeans,0.8,1.0
31,Twitter_volume_AAPL.csv,6.545979,Linear,0.4,7,Linear,0.14285714,0.34285714
32,Twitter_volume_PFE.csv,6.546002,KMeans,0.42857143,8,KMeans,0.8,1.0
33,Twitter_volume_CVS.csv,6.5460043,Linear,0.66666667,9,Linear,0.14285714,0.34285714
34,Twitter_volume_GOOG.csv,6.54601,Linear,0.4,10,Linear,0.14285714,0.34285714
35,,,,,,,,
36,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
37,Statlog Shuttle,4.802302,KMeans,0.96766744,1,KMeans,1.0,1.0
38,speed_7578.csv,6.3493776,KMeans,0.75,2,KMeans,1.0,1.0
39,Twitter_volume_IBM.csv,6.4292574,Linear,0.5,3,KMeans,1.0,1.0
40,Twitter_volume_FB.csv,6.429274,Linear,1.0,4,KMeans,1.0,1.0
41,Twitter_volume_CRM.csv,6.4314146,KMeans,0.54545455,5,KMeans,1.0,1.0
42,Twitter_volume_KO.csv,6.4314346,Linear,0.8,6,KMeans,1.0,1.0
43,Twitter_volume_AAPL.csv,6.4334297,Linear,0.4,7,Linear,1.0,1.0
44,Twitter_volume_PFE.csv,6.433451,KMeans,0.42857143,8,KMeans,1.0,1.0
45,Twitter_volume_CVS.csv,6.4334536,Linear,0.66666667,9,Linear,1.0,1.0
46,Twitter_volume_GOOG.csv,6.433459,Linear,0.4,10,Linear,1.0,1.0
47,,,,,,,,
48,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
49,Statlog Shuttle,4.7462044,KMeans,0.96766744,1,KMeans,0.4,1.0
50,speed_7578.csv,6.5577636,KMeans,0.75,2,KMeans,0.4,1.0
51,Twitter_volume_IBM.csv,6.6536326,Linear,0.5,3,KMeans,0.4,1.0
52,Twitter_volume_FB.csv,6.653648,Linear,1.0,4,KMeans,0.4,1.0
53,Twitter_volume_CRM.csv,6.6555443,KMeans,0.54545455,5,KMeans,0.4,1.0
54,Twitter_volume_KO.csv,6.6555614,Linear,0.8,6,KMeans,0.4,1.0
55,Twitter_volume_AAPL.csv,6.65732,Linear,0.4,7,Linear,0.4,1.0
56,Twitter_volume_PFE.csv,6.657339,KMeans,0.42857143,8,KMeans,0.4,1.0
57,Twitter_volume_CVS.csv,6.657341,Linear,0.66666667,9,Linear,0.4,1.0
58,Twitter_volume_GOOG.csv,6.657346,Linear,0.4,10,Linear,0.4,1.0
59,,,,,,,,
60,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
61,Statlog Shuttle,4.785088,KMeans,0.96766744,1,KMeans,0.66666667,1.0
62,speed_7578.csv,6.5735826,KMeans,0.75,2,KMeans,0.66666667,1.0
63,Twitter_volume_IBM.csv,6.6727095,Linear,0.5,3,KMeans,0.66666667,1.0
64,Twitter_volume_FB.csv,6.6727242,Linear,1.0,4,KMeans,0.66666667,1.0
65,Twitter_volume_CRM.csv,6.674576,KMeans,0.54545455,5,KMeans,0.66666667,1.0
66,Twitter_volume_KO.csv,6.674593,Linear,0.8,6,KMeans,0.66666667,1.0
67,Twitter_volume_AAPL.csv,6.676304,Linear,0.4,7,Linear,0.57142857,0.9047619
68,Twitter_volume_PFE.csv,6.676322,KMeans,0.42857143,8,KMeans,0.66666667,1.0
69,Twitter_volume_CVS.csv,6.6763244,Linear,0.66666667,9,Linear,0.57142857,0.9047619
70,Twitter_volume_GOOG.csv,6.6763287,Linear,0.4,10,Linear,0.57142857,0.9047619
71,,,,,,,,
72,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
73,Statlog Shuttle,4.4614525,KMeans,0.96766744,1,KMeans,0.75,1.0
74,speed_7578.csv,6.4848604,KMeans,0.75,2,KMeans,0.75,1.0
