,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,9.477736715736103,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.0
2,exchange-4_cpc_results.csv,9.477812157189614,Linear,0.66666667,2,KMeans,0.38537271,0.4468761299999999,0.0
3,exchange-3_cpc_results.csv,9.47820877375842,Linear,0.57142857,3,Linear,0.92639843,0.98790185,0.0
4,exchange-2_cpm_results.csv,9.479466778174379,KMeans,0.8,4,KMeans,0.38537271,0.4468761299999999,0.0
5,TravelTime_387.csv,9.47971824147951,KMeans,0.66666667,5,KMeans,0.38537271,0.4468761299999999,0.0
6,rogue_agent_key_hold.csv,9.481005431257248,Linear,0.003367,6,KMeans,0.38537271,0.4468761299999999,0.0
7,exchange-4_cpm_results.csv,9.482191481289739,KMeans,0.75,7,KMeans,0.38537271,0.4468761299999999,0.0
8,speed_t4013.csv,9.484315219212922,Linear,1.0,8,KMeans,0.38537271,0.4468761299999999,0.0
9,occupancy_t4013.csv,9.484338982495016,Linear,1.0,9,Linear,0.92639843,0.98790185,0.0
10,ec2_disk_write_bytes_c0d644.csv,9.485196610193064,Linear,0.5,10,Linear,0.92639843,0.98790185,0.0
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,speed_t4013.csv,9.500179650613873,Linear,1.0,1,Linear,0.92639843,0.98790185,0.1
14,speed_6005.csv,9.507461080168264,Linear,0.66666667,2,Linear,0.92639843,0.98790185,0.1
15,Twitter_volume_UPS.csv,9.50934032000381,Linear,0.28571429,3,Linear,0.92639843,0.98790185,0.1
16,Twitter_volume_AMZN.csv,9.51079958469883,KMeans,0.66666667,4,Linear,0.92639843,0.98790185,0.1
17,Twitter_volume_GOOG.csv,9.510803882309393,Linear,0.4,5,Linear,0.92639843,0.98790185,0.1
18,Twitter_volume_CVS.csv,9.51080794165395,Linear,0.66666667,6,Linear,0.92639843,0.98790185,0.1
19,Twitter_volume_PFE.csv,9.510809852098493,KMeans,0.42857143,7,Linear,0.92639843,0.98790185,0.1
20,Twitter_volume_AAPL.csv,9.510826572985964,Linear,0.4,8,Linear,0.92639843,0.98790185,0.1
21,Twitter_volume_KO.csv,9.512346560089815,Linear,0.8,9,Linear,0.92639843,0.98790185,0.1
22,Twitter_volume_CRM.csv,9.512361514197767,KMeans,0.54545455,10,Linear,0.92639843,0.98790185,0.1
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,speed_t4013.csv,9.547121012483307,Linear,1.0,1,Linear,0.92639843,0.98790185,0.2
26,speed_6005.csv,9.554366667863269,Linear,0.66666667,2,Linear,0.92639843,0.98790185,0.2
27,Twitter_volume_UPS.csv,9.556236683690525,Linear,0.28571429,3,Linear,0.92639843,0.98790185,0.2
28,Twitter_volume_AMZN.csv,9.557688788267265,KMeans,0.66666667,4,Linear,0.92639843,0.98790185,0.2
29,Twitter_volume_GOOG.csv,9.557693064794126,Linear,0.4,5,Linear,0.92639843,0.98790185,0.2
30,Twitter_volume_CVS.csv,9.557697104223912,Linear,0.66666667,6,Linear,0.92639843,0.98790185,0.2
31,Twitter_volume_PFE.csv,9.557699005295996,KMeans,0.42857143,7,Linear,0.92639843,0.98790185,0.2
32,Twitter_volume_AAPL.csv,9.557715644152545,Linear,0.4,8,Linear,0.92639843,0.98790185,0.2
33,Twitter_volume_KO.csv,9.559228175554493,Linear,0.8,9,Linear,0.92639843,0.98790185,0.2
34,Twitter_volume_CRM.csv,9.55924305632267,KMeans,0.54545455,10,Linear,0.92639843,0.98790185,0.2
35,,,,,,,,,
36,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
37,speed_t4013.csv,9.672595690886599,Linear,1.0,1,Linear,0.92639843,0.98790185,0.30000000000000004
38,speed_6005.csv,9.679747424201437,Linear,0.66666667,2,Linear,0.92639843,0.98790185,0.30000000000000004
39,Twitter_volume_UPS.csv,9.681593222557444,Linear,0.28571429,3,Linear,0.92639843,0.98790185,0.30000000000000004
40,Twitter_volume_AMZN.csv,9.683026528194969,KMeans,0.66666667,4,Linear,0.92639843,0.98790185,0.30000000000000004
41,Twitter_volume_GOOG.csv,9.683030749366205,Linear,0.4,5,Linear,0.92639843,0.98790185,0.30000000000000004
42,Twitter_volume_CVS.csv,9.683034736509411,Linear,0.66666667,6,Linear,0.92639843,0.98790185,0.30000000000000004
43,Twitter_volume_PFE.csv,9.683036612973938,KMeans,0.42857143,7,Linear,0.92639843,0.98790185,0.30000000000000004
44,Twitter_volume_AAPL.csv,9.683053036456839,Linear,0.4,8,Linear,0.92639843,0.98790185,0.30000000000000004
