,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,ec2_disk_write_bytes_1ef3de.csv,658156.7539215088,Linear,0.08695652,1,Linear,0.92639843,0.98790185,0.0
2,Twitter_volume_KO.csv,18914262.209644318,Linear,0.8,2,Linear,0.92639843,0.98790185,0.0
3,Twitter_volume_CRM.csv,19459597.916793823,KMeans,0.54545455,3,Linear,0.92639843,0.98790185,0.0
4,machine_temperature_system_failure.csv,31116115.4752388,Linear,0.4,4,Linear,0.92639843,0.98790185,0.0
5,art_daily_jumpsdown.csv,32162505.235515594,KMeans,0.03030303,5,Linear,0.92639843,0.98790185,0.0
6,ec2_cpu_utilization_ac20cd.csv,32162505.235515594,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.0
7,art_daily_jumpsup.csv,32162505.235515594,KMeans,0.22222222,7,KMeans,0.38537271,0.4468761299999999,0.0
8,art_daily_flatmiddle.csv,32162505.235515594,KMeans,0.02,8,KMeans,0.38537271,0.4468761299999999,0.0
9,art_load_balancer_spikes.csv,32162505.235515594,KMeans,0.25,9,KMeans,0.38537271,0.4468761299999999,0.0
10,art_increase_spike_density.csv,32162505.235515594,KMeans,0.15384615,10,KMeans,0.38537271,0.4468761299999999,0.0
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,Twitter_volume_FB.csv,1029905.7391643524,Linear,1.0,1,Linear,0.92639843,0.98790185,0.1
14,Twitter_volume_IBM.csv,1072603.1421833038,Linear,0.5,2,Linear,0.92639843,0.98790185,0.1
15,cpu_utilization_asg_misconfiguration.csv,2424098.608789444,KMeans,0.00775194,3,Linear,0.92639843,0.98790185,0.1
16,machine_temperature_system_failure.csv,3275857.8382701874,Linear,0.4,4,Linear,0.92639843,0.98790185,0.1
17,Twitter_volume_CRM.csv,4305506.252576113,KMeans,0.54545455,5,Linear,0.92639843,0.98790185,0.1
18,Twitter_volume_KO.csv,4354826.203813553,Linear,0.8,6,Linear,0.92639843,0.98790185,0.1
19,exchange-4_cpc_results.csv,5212304.61091876,Linear,0.66666667,7,Linear,0.92639843,0.98790185,0.1
20,ec2_disk_write_bytes_1ef3de.csv,6148466.494476318,Linear,0.08695652,8,Linear,0.92639843,0.98790185,0.1
21,art_daily_jumpsdown.csv,8996611.757814407,KMeans,0.03030303,9,Linear,0.92639843,0.98790185,0.1
22,ec2_cpu_utilization_ac20cd.csv,8996611.757814407,KMeans,0.66666667,10,Linear,0.92639843,0.98790185,0.1
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,exchange-3_cpc_results.csv,43395117.36528015,Linear,0.57142857,1,Linear,0.92639843,0.98790185,0.2
26,ec2_cpu_utilization_c6585a.csv,73320651.27516174,Linear,0.0,2,Linear,0.92639843,0.98790185,0.2
27,exchange-4_cpc_results.csv,275512772.6986084,Linear,0.66666667,3,Linear,0.92639843,0.98790185,0.2
28,cpu_utilization_asg_misconfiguration.csv,345613382.0355644,KMeans,0.00775194,4,Linear,0.92639843,0.98790185,0.2
29,Twitter_volume_IBM.csv,379436271.1639404,Linear,0.5,5,Linear,0.92639843,0.98790185,0.2
30,Twitter_volume_FB.csv,380523266.904068,Linear,1.0,6,Linear,0.92639843,0.98790185,0.2
31,machine_temperature_system_failure.csv,490674007.6760254,Linear,0.4,7,Linear,0.92639843,0.98790185,0.2
32,Twitter_volume_CRM.csv,516349880.3730011,KMeans,0.54545455,8,Linear,0.92639843,0.98790185,0.2
33,Twitter_volume_KO.csv,517605443.5417595,Linear,0.8,9,Linear,0.92639843,0.98790185,0.2
