,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,171.09332847186474,KMeans,0.5,1,KMeans,0.38537271,0.4468761299999999,0.0
2,exchange-4_cpc_results.csv,245.8168296941943,Linear,0.66666667,2,KMeans,0.38537271,0.4468761299999999,0.0
3,exchange-3_cpc_results.csv,468.0265544646034,Linear,0.57142857,3,Linear,0.92639843,0.98790185,0.0
4,exchange-2_cpm_results.csv,843.9613447267521,KMeans,0.8,4,KMeans,0.38537271,0.4468761299999999,0.0
5,TravelTime_387.csv,900.164398007765,KMeans,0.66666667,5,KMeans,0.38537271,0.4468761299999999,0.0
6,rogue_agent_key_hold.csv,1144.9052548261288,Linear,0.003367,6,KMeans,0.38537271,0.4468761299999999,0.0
7,exchange-4_cpm_results.csv,1330.7336184336643,KMeans,0.75,7,KMeans,0.38537271,0.4468761299999999,0.0
8,speed_t4013.csv,1610.3228638230325,Linear,1.0,8,KMeans,0.38537271,0.4468761299999999,0.0
9,occupancy_t4013.csv,1613.174905854419,Linear,1.0,9,Linear,0.92639843,0.98790185,0.0
10,ec2_disk_write_bytes_c0d644.csv,1712.9072506394698,Linear,0.5,10,Linear,0.92639843,0.98790185,0.0
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,exchange-4_cpc_results.csv,113.34942707382727,Linear,0.66666667,1,Linear,0.92639843,0.98790185,0.1
14,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,303.5607310922317,KMeans,0.5,2,KMeans,0.38537271,0.4468761299999999,0.1
15,exchange-3_cpc_results.csv,335.5591518442364,Linear,0.57142857,3,Linear,0.92639843,0.98790185,0.1
16,exchange-2_cpm_results.csv,976.4287473471192,KMeans,0.8,4,KMeans,0.38537271,0.4468761299999999,0.1
17,TravelTime_387.csv,1032.631800628132,KMeans,0.66666667,5,KMeans,0.38537271,0.4468761299999999,0.1
18,exchange-4_cpm_results.csv,1198.2662158132973,KMeans,0.75,6,KMeans,0.38537271,0.4468761299999999,0.1
19,rogue_agent_key_hold.csv,1277.3726574464959,Linear,0.003367,7,KMeans,0.38537271,0.4468761299999999,0.1
20,speed_t4013.csv,1742.7902664433996,Linear,1.0,8,KMeans,0.38537271,0.4468761299999999,0.1
21,occupancy_t4013.csv,1745.642308474786,Linear,1.0,9,Linear,0.92639843,0.98790185,0.1
22,ec2_disk_write_bytes_c0d644.csv,1845.3746532598368,Linear,0.5,10,Linear,0.92639843,0.98790185,0.1
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,exchange-3_cpc_results.csv,44.13086607942894,Linear,0.57142857,1,Linear,0.92639843,0.98790185,0.2
26,exchange-4_cpc_results.csv,208.32341845179835,Linear,0.66666667,2,Linear,0.92639843,0.98790185,0.2
27,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,594.9890168570392,KMeans,0.5,3,Linear,0.92639843,0.98790185,0.2
28,exchange-4_cpm_results.csv,906.83793004849,KMeans,0.75,4,KMeans,0.38537271,0.4468761299999999,0.2
29,exchange-2_cpm_results.csv,1267.8570331119265,KMeans,0.8,5,KMeans,0.38537271,0.4468761299999999,0.2
30,TravelTime_387.csv,1324.0600863929394,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.2
31,rogue_agent_key_hold.csv,1568.8009432113033,Linear,0.003367,7,KMeans,0.38537271,0.4468761299999999,0.2
32,speed_t4013.csv,2034.218552208207,Linear,1.0,8,KMeans,0.38537271,0.4468761299999999,0.2
33,occupancy_t4013.csv,2037.0705942395934,Linear,1.0,9,Linear,0.92639843,0.98790185,0.2
34,ec2_disk_write_bytes_c0d644.csv,2136.8029390246447,Linear,0.5,10,Linear,0.92639843,0.98790185,0.2
35,,,,,,,,,
36,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
37,exchange-4_cpm_results.csv,382.26701567183665,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
38,exchange-3_cpc_results.csv,510.68460805804244,Linear,0.57142857,2,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
39,exchange-4_cpc_results.csv,732.8943328284516,Linear,0.66666667,3,Linear,0.92639843,0.98790185,0.30000000000000004
40,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1119.5599312336924,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
41,exchange-2_cpm_results.csv,1792.4279474885798,KMeans,0.8,5,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
42,TravelTime_387.csv,1848.6310007695927,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
43,rogue_agent_key_hold.csv,2093.3718575879566,Linear,0.003367,7,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
44,speed_7578.csv,2369.2133978881084,KMeans,0.75,8,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
45,speed_t4013.csv,2558.7894665848607,Linear,1.0,9,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
46,occupancy_t4013.csv,2561.641508616247,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
47,,,,,,,,,
48,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
49,exchange-4_cpm_results.csv,557.2337956751807,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999,0.4
50,exchange-3_cpc_results.csv,1419.9408596442415,Linear,0.57142857,2,KMeans,0.38537271,0.4468761299999999,0.4
51,speed_7578.csv,1459.957146301909,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999,0.4
52,exchange-4_cpc_results.csv,1642.1505844146507,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.4
53,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,2028.8161828198915,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.4
54,exchange-2_cpm_results.csv,2701.6841990747794,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.4
55,TravelTime_387.csv,2757.887252355792,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.4
56,rogue_agent_key_hold.csv,3002.6281091741557,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.4
57,speed_t4013.csv,3468.04571817106,Linear,1.0,9,KMeans,0.38537271,0.4468761299999999,0.4
58,occupancy_t4013.csv,3470.897760202446,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.4
59,,,,,,,,,
60,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
61,speed_7578.csv,161.48585373475802,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999,0.5
62,exchange-4_cpm_results.csv,2148.4322359510297,KMeans,0.75,2,KMeans,0.38537271,0.4468761299999999,0.5
63,exchange-3_cpc_results.csv,3011.1392999200907,Linear,0.57142857,3,KMeans,0.38537271,0.4468761299999999,0.5
64,exchange-4_cpc_results.csv,3233.3490246905,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.5
65,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,3620.0146230957407,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.5
66,exchange-2_cpm_results.csv,4292.882639350627,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.5
67,TravelTime_387.csv,4349.08569263164,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.5
68,rogue_agent_key_hold.csv,4593.826549450004,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.5
69,speed_t4013.csv,5059.244158446908,Linear,1.0,9,KMeans,0.38537271,0.4468761299999999,0.5
70,occupancy_t4013.csv,5062.096200478294,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.5
71,,,,,,,,,
72,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
73,speed_7578.csv,3025.6430462312865,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
74,exchange-4_cpm_results.csv,5012.589428447557,KMeans,0.75,2,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
75,exchange-3_cpc_results.csv,5875.296492416618,Linear,0.57142857,3,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
76,exchange-4_cpc_results.csv,6097.506217187027,Linear,0.66666667,4,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
77,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,6484.171815592268,KMeans,0.5,5,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
78,exchange-2_cpm_results.csv,7157.039831847155,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
79,TravelTime_387.csv,7213.242885128168,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
80,rogue_agent_key_hold.csv,7457.983741946532,Linear,0.003367,8,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
81,speed_t4013.csv,7923.401350943436,Linear,1.0,9,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
82,occupancy_t4013.csv,7926.253392974822,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999,0.6000000000000001
83,,,,,,,,,
84,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
