,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
1,ec2_disk_write_bytes_1ef3de.csv,9601.49996463582,Linear,0.08695652,1,Linear,0.92639843,0.98790185,0.0
2,Twitter_volume_KO.csv,167951.83403941058,Linear,0.8,2,Linear,0.92639843,0.98790185,0.0
3,Twitter_volume_CRM.csv,172759.2351260949,KMeans,0.54545455,3,Linear,0.92639843,0.98790185,0.0
4,machine_temperature_system_failure.csv,272192.3270669021,Linear,0.4,4,Linear,0.92639843,0.98790185,0.0
5,art_daily_jumpsdown.csv,302852.9662532471,KMeans,0.03030303,5,Linear,0.92639843,0.98790185,0.0
6,ec2_cpu_utilization_ac20cd.csv,302852.9662532471,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999,0.0
7,art_daily_jumpsup.csv,302852.9662532471,KMeans,0.22222222,7,KMeans,0.38537271,0.4468761299999999,0.0
8,art_daily_flatmiddle.csv,302852.9662532471,KMeans,0.02,8,KMeans,0.38537271,0.4468761299999999,0.0
9,art_load_balancer_spikes.csv,302852.9662532471,KMeans,0.25,9,KMeans,0.38537271,0.4468761299999999,0.0
10,art_increase_spike_density.csv,302852.9662532471,KMeans,0.15384615,10,KMeans,0.38537271,0.4468761299999999,0.0
11,,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
13,Twitter_volume_FB.csv,76816.18346341792,Linear,1.0,1,Linear,0.92639843,0.98790185,0.1
14,Twitter_volume_IBM.csv,80662.1043327637,Linear,0.5,2,Linear,0.92639843,0.98790185,0.1
15,cpu_utilization_asg_misconfiguration.csv,201167.63770120125,KMeans,0.00775194,3,Linear,0.92639843,0.98790185,0.1
16,machine_temperature_system_failure.csv,323239.69750452787,Linear,0.4,4,Linear,0.92639843,0.98790185,0.1
17,Twitter_volume_CRM.csv,422672.78944324516,KMeans,0.54545455,5,Linear,0.92639843,0.98790185,0.1
18,Twitter_volume_KO.csv,427480.19052993227,Linear,0.8,6,Linear,0.92639843,0.98790185,0.1
19,exchange-4_cpc_results.csv,441524.5894047655,Linear,0.66666667,7,Linear,0.92639843,0.98790185,0.1
20,ec2_disk_write_bytes_1ef3de.csv,605033.5245361496,Linear,0.08695652,8,Linear,0.92639843,0.98790185,0.1
21,art_daily_jumpsdown.csv,898284.9908248344,KMeans,0.03030303,9,Linear,0.92639843,0.98790185,0.1
22,ec2_cpu_utilization_ac20cd.csv,898284.9908248344,KMeans,0.66666667,10,Linear,0.92639843,0.98790185,0.1
23,,,,,,,,,
24,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
25,exchange-3_cpc_results.csv,130391.83444461133,Linear,0.57142857,1,Linear,0.92639843,0.98790185,0.2
26,ec2_cpu_utilization_c6585a.csv,221016.08235668205,Linear,0.0,2,Linear,0.92639843,0.98790185,0.2
27,exchange-4_cpc_results.csv,868425.8646621611,Linear,0.66666667,3,Linear,0.92639843,0.98790185,0.2
28,cpu_utilization_asg_misconfiguration.csv,1108782.8163622832,KMeans,0.00775194,4,Linear,0.92639843,0.98790185,0.2
29,Twitter_volume_IBM.csv,1229288.349725403,Linear,0.5,5,Linear,0.92639843,0.98790185,0.2
30,Twitter_volume_FB.csv,1233134.2705947505,Linear,1.0,6,Linear,0.92639843,0.98790185,0.2
31,machine_temperature_system_failure.csv,1633190.1515682293,Linear,0.4,7,Linear,0.92639843,0.98790185,0.2
32,Twitter_volume_CRM.csv,1732623.243501612,KMeans,0.54545455,8,Linear,0.92639843,0.98790185,0.2
33,Twitter_volume_KO.csv,1737430.644588299,Linear,0.8,9,Linear,0.92639843,0.98790185,0.2
34,ec2_disk_write_bytes_1ef3de.csv,1914983.9785999497,Linear,0.08695652,10,Linear,0.92639843,0.98790185,0.2
35,,,,,,,,,
36,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
37,exchange-4_cpm_results.csv,1650290.9802846145,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
38,exchange-3_cpc_results.csv,2227518.982903204,Linear,0.57142857,2,KMeans,0.38537271,0.4468761299999999,0.30000000000000004
39,ec2_cpu_utilization_c6585a.csv,2578926.899696663,Linear,0.0,3,Linear,0.92639843,0.98790185,0.30000000000000004
40,exchange-4_cpc_results.csv,3226336.682010428,Linear,0.66666667,4,Linear,0.92639843,0.98790185,0.30000000000000004
