,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
1,Speech Accent Data,0.34312624,Linear,0.11764706,1,Linear,0.22222222,0.77676767
2,,,,,,,,
3,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
4,Speech Accent Data,0.40132537,Linear,0.11764706,1,Linear,0.11764706,1.0
5,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.5,0.888383835
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
