,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
1,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.0
2,,,,,,,,,
3,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
4,Speech Accent Data,1.9244902e+20,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.1
5,,,,,,,,,
6,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
7,Speech Accent Data,6.8035324e+20,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.2
8,,,,,,,,,
9,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
10,Speech Accent Data,1.7821295e+21,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.30000000000000004
11,,,,,,,,,
12,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
13,Speech Accent Data,4.372741e+21,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.4
14,,,,,,,,,
15,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
16,Speech Accent Data,1.0984198e+22,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.5
17,,,,,,,,,
18,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
19,Speech Accent Data,2.9549166e+22,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.6000000000000001
20,,,,,,,,,
21,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
22,Speech Accent Data,8.712913e+22,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.7000000000000001
23,,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
25,Speech Accent Data,2.843512e+23,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.8
26,,,,,,,,,
27,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
28,Speech Accent Data,1.0288997e+24,Linear,0.11764706,1,Linear,0.22222222,0.77676767,0.9
29,,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1,
31,Speech Accent Data,4.1183483e+24,Linear,0.11764706,1,Linear,0.22222222,0.77676767,1.0
32,,,,,,,,,
33,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
34,Speech Accent Data,4.1183483e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.0
35,,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
37,Speech Accent Data,4.1181558e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.1
38,,,,,,,,,
39,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
40,Speech Accent Data,4.1176678e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.2
41,,,,,,,,,
42,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
43,Speech Accent Data,4.1165662e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.30000000000000004
44,,,,,,,,,
45,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
46,Speech Accent Data,4.1139756e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.4
47,,,,,,,,,
48,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
49,Speech Accent Data,4.1073639e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.5
50,,,,,,,,,
51,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
52,Speech Accent Data,4.088799e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.6000000000000001
53,,,,,,,,,
54,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
55,Speech Accent Data,4.0312192e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.7000000000000001
56,,,,,,,,,
57,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
58,Speech Accent Data,3.833997e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.8
59,,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
61,Speech Accent Data,3.0894486e+24,Linear,0.11764706,1,Linear,0.11764706,1.0,0.9
62,,,,,,,,,
63,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
64,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.11764706,1.0,1.0
65,,,,,,,,,
0,,,,,K,,Method match,Accuracy,
0,,,,,1.0,,5.5,9.772222185,
0,,,,,2.0,,0.0,0.0,
0,,,,,3.0,,0.0,0.0,
0,,,,,4.0,,0.0,0.0,
0,,,,,5.0,,0.0,0.0,
0,,,,,6.0,,0.0,0.0,
0,,,,,7.0,,0.0,0.0,
0,,,,,8.0,,0.0,0.0,
0,,,,,9.0,,0.0,0.0,
0,,,,,10.0,,0.0,0.0,
