,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,nyc_taxi.csv,0.11707115,Linear,0.25,1,Linear,0.4,0.65
2,speed_t4013.csv,0.46766195,Linear,1.0,2,Linear,0.4,0.65
3,TravelTime_451.csv,0.6305823,KMeans,0.4,3,Linear,0.4,0.65
4,speed_6005.csv,0.6521338,Linear,0.66666667,4,Linear,0.4,0.65
5,TravelTime_387.csv,0.67951393,KMeans,0.66666667,5,Linear,0.4,0.65
6,occupancy_6005.csv,0.70879996,Linear,1.0,6,Linear,0.4,0.65
7,occupancy_t4013.csv,0.77267957,Linear,1.0,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,nyc_taxi.csv,0.19785374,Linear,0.25,1,Linear,0.5,0.83333333
11,speed_t4013.csv,0.446323,Linear,1.0,2,Linear,0.5,0.83333333
12,TravelTime_451.csv,0.62723553,KMeans,0.4,3,Linear,0.5,0.83333333
13,speed_6005.csv,0.6553861,Linear,0.66666667,4,Linear,0.5,0.83333333
14,TravelTime_387.csv,0.67801714,KMeans,0.66666667,5,Linear,0.5,0.83333333
15,occupancy_6005.csv,0.7093749,Linear,1.0,6,Linear,0.5,0.83333333
16,occupancy_t4013.csv,0.7692511,Linear,1.0,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,nyc_taxi.csv,0.20658201,Linear,0.25,1,Linear,0.25,1.0
20,speed_t4013.csv,0.44742027,Linear,1.0,2,Linear,0.25,1.0
21,TravelTime_451.csv,0.6533857,KMeans,0.4,3,Linear,0.25,1.0
22,speed_6005.csv,0.6694114,Linear,0.66666667,4,Linear,0.25,1.0
23,TravelTime_387.csv,0.69829905,KMeans,0.66666667,5,Linear,0.25,1.0
24,occupancy_6005.csv,0.72818065,Linear,1.0,6,Linear,0.25,1.0
25,occupancy_t4013.csv,0.7897356,Linear,1.0,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,nyc_taxi.csv,0.057361484,Linear,0.25,1,Linear,0.18181818,0.7818181799999999
29,speed_t4013.csv,0.437959,Linear,1.0,2,Linear,0.18181818,0.7818181799999999
30,TravelTime_451.csv,0.61298645,KMeans,0.4,3,Linear,0.18181818,0.7818181799999999
31,speed_6005.csv,0.63358045,Linear,0.66666667,4,Linear,0.18181818,0.7818181799999999
32,TravelTime_387.csv,0.66389287,KMeans,0.66666667,5,Linear,0.18181818,0.7818181799999999
33,occupancy_6005.csv,0.6888484,Linear,1.0,6,Linear,0.18181818,0.7818181799999999
34,occupancy_t4013.csv,0.7519891,Linear,1.0,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,nyc_taxi.csv,0.12362397,Linear,0.25,1,Linear,0.66666667,1.0
38,speed_t4013.csv,0.45487127,Linear,1.0,2,Linear,0.66666667,1.0
39,TravelTime_451.csv,0.62574196,KMeans,0.4,3,Linear,0.66666667,1.0
40,speed_6005.csv,0.6522807,Linear,0.66666667,4,Linear,0.66666667,1.0
41,TravelTime_387.csv,0.67637646,KMeans,0.66666667,5,Linear,0.66666667,1.0
42,occupancy_6005.csv,0.7092659,Linear,1.0,6,Linear,0.66666667,1.0
43,occupancy_t4013.csv,0.7724705,Linear,1.0,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,nyc_taxi.csv,0.09164852,Linear,0.25,1,Linear,1.0,1.0
47,speed_t4013.csv,0.42366347,Linear,1.0,2,Linear,1.0,1.0
48,TravelTime_451.csv,0.5992825,KMeans,0.4,3,Linear,1.0,1.0
49,speed_6005.csv,0.6212809,Linear,0.66666667,4,Linear,1.0,1.0
50,TravelTime_387.csv,0.65014905,KMeans,0.66666667,5,Linear,1.0,1.0
51,occupancy_6005.csv,0.6793906,Linear,1.0,6,Linear,1.0,1.0
52,occupancy_t4013.csv,0.74483025,Linear,1.0,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,nyc_taxi.csv,0.19080794,Linear,0.25,1,Linear,1.0,1.0
56,speed_t4013.csv,0.42823046,Linear,1.0,2,Linear,1.0,1.0
57,TravelTime_451.csv,0.6019534,KMeans,0.4,3,Linear,1.0,1.0
58,speed_6005.csv,0.6270443,Linear,0.66666667,4,Linear,1.0,1.0
59,TravelTime_387.csv,0.65459883,KMeans,0.66666667,5,Linear,1.0,1.0
60,occupancy_6005.csv,0.6803087,Linear,1.0,6,Linear,1.0,1.0
61,occupancy_t4013.csv,0.74838185,Linear,1.0,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,nyc_taxi.csv,0.2761212,Linear,0.25,1,Linear,1.0,1.0
65,speed_t4013.csv,0.41137257,Linear,1.0,2,Linear,1.0,1.0
66,TravelTime_451.csv,0.5902991,KMeans,0.4,3,Linear,1.0,1.0
67,speed_6005.csv,0.617617,Linear,0.66666667,4,Linear,1.0,1.0
68,TravelTime_387.csv,0.6434334,KMeans,0.66666667,5,Linear,1.0,1.0
69,occupancy_6005.csv,0.6731901,Linear,1.0,6,Linear,1.0,1.0
70,occupancy_t4013.csv,0.7351887,Linear,1.0,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.625,0.90814393875
0,,,,,2.0,,0.625,0.90814393875
0,,,,,3.0,,0.625,0.90814393875
0,,,,,4.0,,0.625,0.90814393875
0,,,,,5.0,,0.625,0.90814393875
0,,,,,6.0,,0.625,0.90814393875
0,,,,,7.0,,0.625,0.90814393875
