,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,44.04769790473175,Linear,1.0,1,Linear,0.4,0.65
2,occupancy_t4013.csv,49.094241428333206,Linear,1.0,2,Linear,0.4,0.65
3,speed_6005.csv,53.68199903091903,Linear,0.66666667,3,Linear,0.4,0.65
4,occupancy_6005.csv,59.1342471023726,Linear,1.0,4,Linear,0.4,0.65
5,TravelTime_387.csv,65.36177203569446,KMeans,0.66666667,5,Linear,0.4,0.65
6,TravelTime_451.csv,67.0211381994548,KMeans,0.4,6,Linear,0.4,0.65
7,nyc_taxi.csv,113.62295132834605,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,TravelTime_451.csv,17.020067752057678,KMeans,0.4,1,KMeans,0.66666667,1.0
11,occupancy_t4013.csv,25.504078209510254,Linear,1.0,2,KMeans,0.66666667,1.0
12,occupancy_6005.csv,31.34669677064518,Linear,1.0,3,Linear,0.5,0.83333333
13,speed_6005.csv,39.49411561510003,Linear,0.66666667,4,Linear,0.5,0.83333333
14,speed_t4013.csv,45.36152465831887,Linear,1.0,5,Linear,0.5,0.83333333
15,nyc_taxi.csv,62.117322549946934,Linear,0.25,6,Linear,0.5,0.83333333
16,speed_7578.csv,65.36177203569446,KMeans,0.75,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,occupancy_6005.csv,56.83622100012961,Linear,1.0,1,Linear,0.25,1.0
20,TravelTime_451.csv,61.84640452129635,KMeans,0.4,2,KMeans,0.25,1.0
21,TravelTime_387.csv,62.117322549946934,KMeans,0.66666667,3,KMeans,0.25,1.0
22,speed_6005.csv,63.121429673257275,Linear,0.66666667,4,KMeans,0.25,1.0
