,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,nyc_taxi.csv,82.6741944678208,Linear,0.25,1,Linear,0.4,0.65
2,speed_t4013.csv,96.53640731928225,Linear,1.0,2,Linear,0.4,0.65
3,occupancy_6005.csv,138.72031954406506,Linear,1.0,3,Linear,0.4,0.65
4,TravelTime_451.csv,140.13835184254262,KMeans,0.4,4,Linear,0.4,0.65
5,TravelTime_387.csv,140.41616252647322,KMeans,0.66666667,5,Linear,0.4,0.65
6,occupancy_t4013.csv,140.95225541697235,Linear,1.0,6,Linear,0.4,0.65
7,speed_6005.csv,141.14212207856363,Linear,0.66666667,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,TravelTime_451.csv,0.03043273357938514,KMeans,0.4,1,KMeans,0.66666667,1.0
11,speed_6005.csv,0.23586328570737367,Linear,0.66666667,2,KMeans,0.66666667,1.0
12,occupancy_t4013.csv,0.2530174309316469,Linear,1.0,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,0.4226320485141083,Linear,1.0,4,Linear,0.5,0.83333333
14,speed_t4013.csv,4.649655846341832,Linear,1.0,5,Linear,0.5,0.83333333
15,speed_7578.csv,16.416626240849347,KMeans,0.75,6,Linear,0.5,0.83333333
16,nyc_taxi.csv,30.811901946955967,Linear,0.25,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_7578.csv,51.65587592400803,KMeans,0.75,1,KMeans,0.25,1.0
20,speed_t4013.csv,103.39537712027176,Linear,1.0,2,KMeans,0.25,1.0
21,occupancy_6005.csv,124.54582673143294,Linear,1.0,3,Linear,0.25,1.0
22,TravelTime_451.csv,125.533402382077,KMeans,0.4,4,KMeans,0.25,1.0
23,TravelTime_387.csv,125.71605237964253,KMeans,0.66666667,5,KMeans,0.25,1.0
24,occupancy_t4013.csv,126.30063298221398,Linear,1.0,6,KMeans,0.25,1.0
25,speed_6005.csv,126.32898199490543,Linear,0.66666667,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,TravelTime_387.csv,0.36644722512522265,KMeans,0.66666667,1,KMeans,0.4,1.0
29,occupancy_t4013.csv,1.5123120767682041,Linear,1.0,2,KMeans,0.4,1.0
30,speed_6005.csv,1.6480885680643225,Linear,0.66666667,3,Linear,0.18181818,0.7818181799999999
31,occupancy_6005.csv,2.3237016311191674,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
32,speed_t4013.csv,50.53955078664713,Linear,1.0,5,Linear,0.18181818,0.7818181799999999
33,speed_7578.csv,167.13901342126954,KMeans,0.75,6,Linear,0.18181818,0.7818181799999999
34,nyc_taxi.csv,280.13904816367034,Linear,0.25,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,occupancy_t4013.csv,0.03755863407712219,Linear,1.0,1,Linear,0.66666667,1.0
38,TravelTime_387.csv,0.28488509702391124,KMeans,0.66666667,2,KMeans,0.66666667,1.0
39,TravelTime_451.csv,0.3267602146417407,KMeans,0.4,3,KMeans,0.66666667,1.0
40,occupancy_6005.csv,0.9914571594767211,Linear,1.0,4,KMeans,0.66666667,1.0
41,speed_t4013.csv,8.803652491814004,Linear,1.0,5,Linear,0.66666667,1.0
42,speed_7578.csv,28.910099722223553,KMeans,0.75,6,KMeans,0.66666667,1.0
43,nyc_taxi.csv,50.16411129630352,Linear,0.25,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,speed_6005.csv,0.08807599813309708,Linear,0.66666667,1,Linear,1.0,1.0
47,TravelTime_387.csv,0.9824077212359015,KMeans,0.66666667,2,KMeans,1.0,1.0
48,TravelTime_451.csv,1.2967559113098936,KMeans,0.4,3,KMeans,1.0,1.0
49,occupancy_6005.csv,3.143780567419633,Linear,1.0,4,KMeans,1.0,1.0
50,speed_t4013.csv,42.44922296517181,Linear,1.0,5,Linear,1.0,1.0
51,speed_7578.csv,137.78189842661192,KMeans,0.75,6,KMeans,1.0,1.0
52,nyc_taxi.csv,230.960429397098,Linear,0.25,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,TravelTime_451.csv,1.7583676639058978,KMeans,0.4,1,KMeans,1.0,1.0
56,TravelTime_387.csv,2.003048386467298,KMeans,0.66666667,2,KMeans,1.0,1.0
57,occupancy_t4013.csv,2.3919052260535025,Linear,1.0,3,KMeans,1.0,1.0
58,speed_6005.csv,2.690146628646775,Linear,0.66666667,4,KMeans,1.0,1.0
59,speed_t4013.csv,43.99912955080467,Linear,1.0,5,Linear,1.0,1.0
60,speed_7578.csv,144.3916078592129,KMeans,0.75,6,KMeans,1.0,1.0
61,nyc_taxi.csv,228.59557446595525,Linear,0.25,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,occupancy_6005.csv,5.943303898620116,Linear,1.0,1,Linear,1.0,1.0
65,occupancy_t4013.csv,6.036269456174121,Linear,1.0,2,Linear,1.0,1.0
66,speed_6005.csv,6.142270434167299,Linear,0.66666667,3,Linear,1.0,1.0
67,TravelTime_451.csv,6.144667142207511,KMeans,0.4,4,Linear,1.0,1.0
68,TravelTime_387.csv,6.149691710522471,KMeans,0.66666667,5,Linear,1.0,1.0
69,speed_7578.csv,12.34795596026532,KMeans,0.75,6,KMeans,0.8,0.8
70,nyc_taxi.csv,19.867827744858488,Linear,0.25,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.875,0.95625
0,,,,,2.0,,0.875,0.95625
0,,,,,3.0,,0.625,0.90814393875
0,,,,,4.0,,0.625,0.90814393875
0,,,,,5.0,,0.625,0.90814393875
0,,,,,6.0,,0.5,0.88314393875
0,,,,,7.0,,0.625,0.90814393875
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
