,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,TravelTime_451.csv,0.57127297,KMeans,0.4,1,KMeans,0.75,1.0
2,occupancy_6005.csv,0.5848325,Linear,1.0,2,KMeans,0.75,1.0
3,speed_t4013.csv,0.5881331,Linear,1.0,3,Linear,0.4,0.65
4,TravelTime_387.csv,0.5882244,KMeans,0.66666667,4,KMeans,0.75,1.0
5,speed_6005.csv,0.5882244,Linear,0.66666667,5,Linear,0.4,0.65
6,occupancy_t4013.csv,0.5882244,Linear,1.0,6,Linear,0.4,0.65
7,nyc_taxi.csv,0.66450536,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,TravelTime_451.csv,0.47458905,KMeans,0.4,1,KMeans,0.66666667,1.0
11,occupancy_6005.csv,0.4810034,Linear,1.0,2,KMeans,0.66666667,1.0
12,TravelTime_387.csv,0.4812041,KMeans,0.66666667,3,KMeans,0.66666667,1.0
13,speed_6005.csv,0.4812041,Linear,0.66666667,4,KMeans,0.66666667,1.0
14,occupancy_t4013.csv,0.4812041,Linear,1.0,5,Linear,0.5,0.83333333
15,speed_t4013.csv,0.48123634,Linear,1.0,6,Linear,0.5,0.83333333
16,nyc_taxi.csv,0.6393441,Linear,0.25,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,TravelTime_451.csv,0.49500448,KMeans,0.4,1,KMeans,0.25,1.0
20,occupancy_6005.csv,0.50424254,Linear,1.0,2,KMeans,0.25,1.0
21,speed_t4013.csv,0.5057552,Linear,1.0,3,Linear,0.25,1.0
22,TravelTime_387.csv,0.50577843,KMeans,0.66666667,4,KMeans,0.25,1.0
23,speed_6005.csv,0.50577843,Linear,0.66666667,5,Linear,0.25,1.0
24,occupancy_t4013.csv,0.50577843,Linear,1.0,6,Linear,0.25,1.0
25,nyc_taxi.csv,0.8472548,Linear,0.25,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,TravelTime_451.csv,0.5493102,KMeans,0.4,1,KMeans,0.4,1.0
29,occupancy_6005.csv,0.56103563,Linear,1.0,2,KMeans,0.4,1.0
30,speed_t4013.csv,0.56357014,Linear,1.0,3,Linear,0.18181818,0.7818181799999999
31,TravelTime_387.csv,0.56363016,KMeans,0.66666667,4,KMeans,0.4,1.0
32,speed_6005.csv,0.56363016,Linear,0.66666667,5,Linear,0.18181818,0.7818181799999999
33,occupancy_t4013.csv,0.56363016,Linear,1.0,6,Linear,0.18181818,0.7818181799999999
34,nyc_taxi.csv,0.66297674,Linear,0.25,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,TravelTime_451.csv,0.40847424,KMeans,0.4,1,KMeans,0.66666667,1.0
38,occupancy_6005.csv,0.41406938,Linear,1.0,2,KMeans,0.66666667,1.0
39,TravelTime_387.csv,0.41434216,KMeans,0.66666667,3,KMeans,0.66666667,1.0
40,speed_6005.csv,0.41434216,Linear,0.66666667,4,KMeans,0.66666667,1.0
41,occupancy_t4013.csv,0.41434216,Linear,1.0,5,Linear,0.66666667,1.0
42,speed_t4013.csv,0.4143602,Linear,1.0,6,Linear,0.66666667,1.0
43,nyc_taxi.csv,0.6990356,Linear,0.25,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,TravelTime_451.csv,0.5799807,KMeans,0.4,1,KMeans,1.0,1.0
47,occupancy_6005.csv,0.59337336,Linear,1.0,2,KMeans,1.0,1.0
48,speed_t4013.csv,0.5965064,Linear,1.0,3,Linear,1.0,1.0
49,TravelTime_387.csv,0.59659326,KMeans,0.66666667,4,KMeans,1.0,1.0
50,speed_6005.csv,0.59659326,Linear,0.66666667,5,Linear,1.0,1.0
51,occupancy_t4013.csv,0.59659326,Linear,1.0,6,Linear,1.0,1.0
52,nyc_taxi.csv,0.7665434,Linear,0.25,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,nyc_taxi.csv,0.5447108,Linear,0.25,1,Linear,1.0,1.0
56,TravelTime_451.csv,0.54693353,KMeans,0.4,2,KMeans,1.0,1.0
57,occupancy_6005.csv,0.55876774,Linear,1.0,3,Linear,1.0,1.0
58,speed_t4013.csv,0.56131464,Linear,1.0,4,Linear,1.0,1.0
59,TravelTime_387.csv,0.56136984,KMeans,0.66666667,5,Linear,1.0,1.0
60,speed_6005.csv,0.56136984,Linear,0.66666667,6,Linear,1.0,1.0
61,occupancy_t4013.csv,0.56136984,Linear,1.0,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,TravelTime_451.csv,0.44404617,KMeans,0.4,1,KMeans,0.8,0.8
65,TravelTime_387.csv,0.44955143,KMeans,0.66666667,2,KMeans,0.8,0.8
66,speed_6005.csv,0.44955143,Linear,0.66666667,3,KMeans,0.8,0.8
67,occupancy_t4013.csv,0.44955143,Linear,1.0,4,KMeans,0.8,0.8
68,occupancy_6005.csv,0.4495772,Linear,1.0,5,Linear,1.0,1.0
69,speed_t4013.csv,0.44959524,Linear,1.0,6,Linear,1.0,1.0
70,nyc_taxi.csv,0.4770381,Linear,0.25,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.875,0.975
0,,,,,2.0,,0.875,0.975
0,,,,,3.0,,0.625,0.9039772724999999
0,,,,,4.0,,0.875,0.975
0,,,,,5.0,,0.625,0.90814393875
0,,,,,6.0,,0.625,0.90814393875
0,,,,,7.0,,0.625,0.90814393875
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
