,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,TravelTime_451.csv,2.1766002533352924,KMeans,0.4,1,KMeans,0.75,1.0
2,occupancy_6005.csv,2.409261808637999,Linear,1.0,2,KMeans,0.75,1.0
3,speed_t4013.csv,2.518299885677216,Linear,1.0,3,Linear,0.4,0.65
4,TravelTime_387.csv,2.5228485955845708,KMeans,0.66666667,4,KMeans,0.75,1.0
5,speed_6005.csv,2.5228485955845708,Linear,0.66666667,5,Linear,0.4,0.65
6,occupancy_t4013.csv,2.5228485955845708,Linear,1.0,6,Linear,0.4,0.65
7,nyc_taxi.csv,6.1993485341868295,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,speed_6005.csv,0.0,Linear,0.66666667,1,Linear,0.5,0.83333333
11,occupancy_t4013.csv,0.0,Linear,1.0,2,Linear,0.5,0.83333333
12,speed_t4013.csv,0.004752248088055589,Linear,1.0,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,0.118106765006339,Linear,1.0,4,Linear,0.5,0.83333333
14,TravelTime_451.csv,0.3570651738381177,KMeans,0.4,5,Linear,0.5,0.83333333
15,speed_7578.csv,2.5228485955845708,KMeans,0.75,6,Linear,0.5,0.83333333
16,nyc_taxi.csv,4.351407343297527,Linear,0.25,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,TravelTime_387.csv,4.351407343297527,KMeans,0.66666667,1,KMeans,0.25,1.0
20,speed_6005.csv,4.351407343297527,Linear,0.66666667,2,KMeans,0.25,1.0
21,occupancy_t4013.csv,4.351407343297527,Linear,1.0,3,Linear,0.25,1.0
22,speed_t4013.csv,4.355230843163498,Linear,1.0,4,Linear,0.25,1.0
23,occupancy_6005.csv,4.4454017313129235,Linear,1.0,5,Linear,0.25,1.0
24,TravelTime_451.csv,4.630052708579926,KMeans,0.4,6,Linear,0.25,1.0
25,speed_7578.csv,6.1993485341868295,KMeans,0.75,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,occupancy_6005.csv,0.23911559827685366,Linear,1.0,1,Linear,0.18181818,0.7818181799999999
29,speed_t4013.csv,0.35232297588286965,Linear,1.0,2,Linear,0.18181818,0.7818181799999999
30,TravelTime_387.csv,0.3570651738381177,KMeans,0.66666667,3,Linear,0.18181818,0.7818181799999999
31,speed_6005.csv,0.3570651738381177,Linear,0.66666667,4,Linear,0.18181818,0.7818181799999999
32,occupancy_t4013.csv,0.3570651738381177,Linear,1.0,5,Linear,0.18181818,0.7818181799999999
33,speed_7578.csv,2.1766002533352924,KMeans,0.75,6,Linear,0.18181818,0.7818181799999999
34,nyc_taxi.csv,4.630052708579926,Linear,0.25,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,speed_6005.csv,0.0,Linear,0.66666667,1,Linear,0.66666667,1.0
38,occupancy_t4013.csv,0.0,Linear,1.0,2,Linear,0.66666667,1.0
39,speed_t4013.csv,0.004752248088055589,Linear,1.0,3,Linear,0.66666667,1.0
40,occupancy_6005.csv,0.118106765006339,Linear,1.0,4,Linear,0.66666667,1.0
41,TravelTime_451.csv,0.3570651738381177,KMeans,0.4,5,Linear,0.66666667,1.0
42,speed_7578.csv,2.5228485955845708,KMeans,0.75,6,Linear,0.66666667,1.0
43,nyc_taxi.csv,4.351407343297527,Linear,0.25,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,speed_6005.csv,0.0,Linear,0.66666667,1,Linear,1.0,1.0
47,occupancy_t4013.csv,0.0,Linear,1.0,2,Linear,1.0,1.0
48,speed_t4013.csv,0.004752248088055589,Linear,1.0,3,Linear,1.0,1.0
49,occupancy_6005.csv,0.118106765006339,Linear,1.0,4,Linear,1.0,1.0
50,TravelTime_451.csv,0.3570651738381177,KMeans,0.4,5,Linear,1.0,1.0
51,speed_7578.csv,2.5228485955845708,KMeans,0.75,6,Linear,1.0,1.0
52,nyc_taxi.csv,4.351407343297527,Linear,0.25,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,speed_t4013.csv,0.11335575872908335,Linear,1.0,1,Linear,1.0,1.0
56,TravelTime_387.csv,0.118106765006339,KMeans,0.66666667,2,KMeans,1.0,1.0
57,speed_6005.csv,0.118106765006339,Linear,0.66666667,3,Linear,1.0,1.0
58,occupancy_t4013.csv,0.118106765006339,Linear,1.0,4,Linear,1.0,1.0
59,TravelTime_451.csv,0.23911559827685366,KMeans,0.4,5,Linear,1.0,1.0
60,speed_7578.csv,2.409261808637999,KMeans,0.75,6,KMeans,1.0,1.0
61,nyc_taxi.csv,4.4454017313129235,Linear,0.25,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,TravelTime_387.csv,0.004752248088055589,KMeans,0.66666667,1,KMeans,0.8,0.8
65,speed_6005.csv,0.004752248088055589,Linear,0.66666667,2,KMeans,0.8,0.8
66,occupancy_t4013.csv,0.004752248088055589,Linear,1.0,3,Linear,1.0,1.0
67,occupancy_6005.csv,0.11335575872908335,Linear,1.0,4,Linear,1.0,1.0
68,TravelTime_451.csv,0.35232297588286965,KMeans,0.4,5,Linear,1.0,1.0
69,speed_7578.csv,2.518299885677216,KMeans,0.75,6,KMeans,0.8,0.8
70,nyc_taxi.csv,4.355230843163498,Linear,0.25,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.625,0.9268939387499999
0,,,,,2.0,,0.625,0.9268939387499999
0,,,,,3.0,,0.625,0.90814393875
0,,,,,4.0,,0.75,0.95189393875
0,,,,,5.0,,0.625,0.90814393875
0,,,,,6.0,,0.5,0.88314393875
0,,,,,7.0,,0.625,0.90814393875
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
