,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0
2,,,,,,,,
3,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
4,nyc_taxi.csv,0.0,Linear,0.25,1,Linear,0.5,0.83333333
5,,,,,,,,
6,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
7,TravelTime_451.csv,0.0,KMeans,0.4,1,KMeans,0.25,1.0
8,,,,,,,,
9,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
10,speed_6005.csv,0.0,Linear,0.66666667,1,Linear,0.18181818,0.7818181799999999
11,,,,,,,,
12,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
13,nyc_taxi.csv,0.0,Linear,0.25,1,Linear,0.66666667,1.0
14,,,,,,,,
15,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
16,nyc_taxi.csv,0.0,Linear,0.25,1,Linear,1.0,1.0
17,,,,,,,,
18,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
19,speed_t4013.csv,0.0,Linear,1.0,1,Linear,1.0,1.0
20,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.625,0.82689393875
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
