,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,TravelTime_451.csv,0.347564302101224,KMeans,0.4,1,KMeans,0.75,1.0
2,TravelTime_387.csv,0.3531941754031409,KMeans,0.66666667,2,KMeans,0.75,1.0
3,speed_6005.csv,0.3531941754031409,Linear,0.66666667,3,KMeans,0.75,1.0
4,occupancy_t4013.csv,0.3531941754031409,Linear,1.0,4,KMeans,0.75,1.0
5,speed_t4013.csv,0.3532539598532791,Linear,1.0,5,Linear,0.4,0.65
6,occupancy_6005.csv,0.3535618309424397,Linear,1.0,6,Linear,0.4,0.65
7,nyc_taxi.csv,1.4192127298663415,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,speed_6005.csv,0.0,Linear,0.66666667,1,Linear,0.5,0.83333333
11,occupancy_t4013.csv,0.0,Linear,1.0,2,Linear,0.5,0.83333333
12,speed_t4013.csv,0.00013701981904140625,Linear,1.0,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,0.0031226489503207167,Linear,1.0,4,Linear,0.5,0.83333333
14,TravelTime_451.csv,0.007732790432624537,KMeans,0.4,5,Linear,0.5,0.83333333
15,speed_7578.csv,0.0252768029857679,KMeans,0.75,6,Linear,0.5,0.83333333
16,nyc_taxi.csv,0.5213479213650589,Linear,0.25,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_7578.csv,1.048722641580361,KMeans,0.75,1,KMeans,0.25,1.0
20,TravelTime_451.csv,1.2924809113891342,KMeans,0.4,2,KMeans,0.25,1.0
21,TravelTime_387.csv,1.2951790121340139,KMeans,0.66666667,3,KMeans,0.25,1.0
22,speed_6005.csv,1.2951790121340139,Linear,0.66666667,4,KMeans,0.25,1.0
23,occupancy_t4013.csv,1.2951790121340139,Linear,1.0,5,KMeans,0.25,1.0
24,speed_t4013.csv,1.2952407703578435,Linear,1.0,6,KMeans,0.25,1.0
25,occupancy_6005.csv,1.2959033059176315,Linear,1.0,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,occupancy_6005.csv,0.0025631623855497665,Linear,1.0,1,Linear,0.18181818,0.7818181799999999
29,speed_t4013.csv,0.0060716812426344635,Linear,1.0,2,Linear,0.18181818,0.7818181799999999
30,TravelTime_387.csv,0.006252830691213129,KMeans,0.66666667,3,Linear,0.18181818,0.7818181799999999
31,speed_6005.csv,0.006252830691213129,Linear,0.66666667,4,Linear,0.18181818,0.7818181799999999
