,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,TravelTime_451.csv,2.8726932069207343,KMeans,0.4,1,KMeans,0.75,1.0
2,TravelTime_387.csv,2.992323679287104,KMeans,0.66666667,2,KMeans,0.75,1.0
3,speed_6005.csv,2.992323679287104,Linear,0.66666667,3,KMeans,0.75,1.0
4,occupancy_t4013.csv,2.992323679287104,Linear,1.0,4,KMeans,0.75,1.0
5,speed_t4013.csv,2.99656161035773,Linear,1.0,5,Linear,0.4,0.65
6,nyc_taxi.csv,3.073676872099358,Linear,0.25,6,Linear,0.4,0.65
7,occupancy_6005.csv,3.0988487966885057,Linear,1.0,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,TravelTime_451.csv,2.8726932069207343,KMeans,0.4,1,KMeans,0.66666667,1.0
11,TravelTime_387.csv,2.992323679287104,KMeans,0.66666667,2,KMeans,0.66666667,1.0
12,speed_6005.csv,2.992323679287104,Linear,0.66666667,3,KMeans,0.66666667,1.0
13,occupancy_t4013.csv,2.992323679287104,Linear,1.0,4,KMeans,0.66666667,1.0
14,speed_t4013.csv,2.99656161035773,Linear,1.0,5,Linear,0.5,0.83333333
15,nyc_taxi.csv,3.073676872099358,Linear,0.25,6,Linear,0.5,0.83333333
16,occupancy_6005.csv,3.0988487966885057,Linear,1.0,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,TravelTime_451.csv,2.8726932069207343,KMeans,0.4,1,KMeans,0.25,1.0
20,TravelTime_387.csv,2.992323679287104,KMeans,0.66666667,2,KMeans,0.25,1.0
21,speed_6005.csv,2.992323679287104,Linear,0.66666667,3,KMeans,0.25,1.0
22,occupancy_t4013.csv,2.992323679287104,Linear,1.0,4,KMeans,0.25,1.0
23,speed_t4013.csv,2.99656161035773,Linear,1.0,5,Linear,0.25,1.0
24,nyc_taxi.csv,3.073676872099358,Linear,0.25,6,Linear,0.25,1.0
25,occupancy_6005.csv,3.0988487966885057,Linear,1.0,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,TravelTime_451.csv,2.8726932069207343,KMeans,0.4,1,KMeans,0.4,1.0
29,TravelTime_387.csv,2.992323679287104,KMeans,0.66666667,2,KMeans,0.4,1.0
30,speed_6005.csv,2.992323679287104,Linear,0.66666667,3,KMeans,0.4,1.0
31,occupancy_t4013.csv,2.992323679287104,Linear,1.0,4,KMeans,0.4,1.0
32,speed_t4013.csv,2.99656161035773,Linear,1.0,5,Linear,0.18181818,0.7818181799999999
33,nyc_taxi.csv,3.073676872099358,Linear,0.25,6,Linear,0.18181818,0.7818181799999999
34,occupancy_6005.csv,3.0988487966885057,Linear,1.0,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
