,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,41.276939215339354,Linear,1.0,1,Linear,0.4,0.65
2,occupancy_t4013.csv,42.190687046431336,Linear,1.0,2,Linear,0.4,0.65
3,speed_6005.csv,50.50626274625067,Linear,0.66666667,3,Linear,0.4,0.65
4,occupancy_6005.csv,51.84766821844467,Linear,1.0,4,Linear,0.4,0.65
5,TravelTime_387.csv,58.86158179251366,KMeans,0.66666667,5,Linear,0.4,0.65
6,TravelTime_451.csv,59.77727557781745,KMeans,0.4,6,Linear,0.4,0.65
7,nyc_taxi.csv,106.40124348202794,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,TravelTime_451.csv,16.2763953736011,KMeans,0.4,1,KMeans,0.66666667,1.0
11,occupancy_t4013.csv,25.10071407078918,Linear,1.0,2,KMeans,0.66666667,1.0
12,occupancy_6005.csv,30.56030812989804,Linear,1.0,3,Linear,0.5,0.83333333
13,speed_6005.csv,34.5562051017033,Linear,0.66666667,4,Linear,0.5,0.83333333
14,speed_t4013.csv,40.82859174019811,Linear,1.0,5,Linear,0.5,0.83333333
15,speed_7578.csv,58.86158179251366,KMeans,0.75,6,Linear,0.5,0.83333333
16,nyc_taxi.csv,61.39580494680961,Linear,0.25,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,occupancy_6005.csv,56.77134996251978,Linear,1.0,1,Linear,0.25,1.0
20,speed_6005.csv,58.905036762997874,Linear,0.66666667,2,Linear,0.25,1.0
21,TravelTime_387.csv,61.39580494680961,KMeans,0.66666667,3,Linear,0.25,1.0
22,TravelTime_451.csv,61.8242497459771,KMeans,0.4,4,KMeans,0.25,1.0
23,occupancy_t4013.csv,65.26613804702706,Linear,1.0,5,Linear,0.25,1.0
24,speed_t4013.csv,87.02095208978128,Linear,1.0,6,Linear,0.25,1.0
25,speed_7578.csv,106.40124348202794,KMeans,0.75,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,TravelTime_387.csv,16.2763953736011,KMeans,0.66666667,1,KMeans,0.4,1.0
29,occupancy_6005.csv,23.724368081018415,Linear,1.0,2,KMeans,0.4,1.0
30,occupancy_t4013.csv,28.70636179082093,Linear,1.0,3,Linear,0.18181818,0.7818181799999999
31,speed_6005.csv,28.85516565473211,Linear,0.66666667,4,Linear,0.18181818,0.7818181799999999
32,speed_t4013.csv,44.9610742212997,Linear,1.0,5,Linear,0.18181818,0.7818181799999999
33,speed_7578.csv,59.77727557781745,KMeans,0.75,6,Linear,0.18181818,0.7818181799999999
34,nyc_taxi.csv,61.8242497459771,Linear,0.25,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,occupancy_6005.csv,7.982751774999066,Linear,1.0,1,Linear,0.66666667,1.0
38,occupancy_t4013.csv,17.909093163917845,Linear,1.0,2,Linear,0.66666667,1.0
39,TravelTime_451.csv,28.85516565473211,KMeans,0.4,3,Linear,0.66666667,1.0
40,speed_t4013.csv,30.192669667829275,Linear,1.0,4,Linear,0.66666667,1.0
41,TravelTime_387.csv,34.5562051017033,KMeans,0.66666667,5,Linear,0.66666667,1.0
42,speed_7578.csv,50.50626274625067,KMeans,0.75,6,KMeans,0.66666667,1.0
43,nyc_taxi.csv,58.905036762997874,Linear,0.25,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,occupancy_6005.csv,12.436865760915044,Linear,1.0,1,Linear,1.0,1.0
47,speed_6005.csv,17.909093163917845,Linear,0.66666667,2,Linear,1.0,1.0
48,TravelTime_387.csv,25.10071407078918,KMeans,0.66666667,3,Linear,1.0,1.0
49,speed_t4013.csv,25.313096412547928,Linear,1.0,4,Linear,1.0,1.0
50,TravelTime_451.csv,28.70636179082093,KMeans,0.4,5,Linear,1.0,1.0
51,speed_7578.csv,42.190687046431336,KMeans,0.75,6,KMeans,1.0,1.0
52,nyc_taxi.csv,65.26613804702706,Linear,0.25,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,speed_6005.csv,7.982751774999066,Linear,0.66666667,1,Linear,1.0,1.0
56,occupancy_t4013.csv,12.436865760915044,Linear,1.0,2,Linear,1.0,1.0
57,TravelTime_451.csv,23.724368081018415,KMeans,0.4,3,Linear,1.0,1.0
58,TravelTime_387.csv,30.56030812989804,KMeans,0.66666667,4,KMeans,1.0,1.0
59,speed_t4013.csv,35.281679135347304,Linear,1.0,5,Linear,1.0,1.0
60,speed_7578.csv,51.84766821844467,KMeans,0.75,6,KMeans,1.0,1.0
61,nyc_taxi.csv,56.77134996251978,Linear,0.25,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,occupancy_t4013.csv,25.313096412547928,Linear,1.0,1,Linear,1.0,1.0
65,speed_6005.csv,30.192669667829275,Linear,0.66666667,2,Linear,1.0,1.0
66,occupancy_6005.csv,35.281679135347304,Linear,1.0,3,Linear,1.0,1.0
67,TravelTime_387.csv,40.82859174019811,KMeans,0.66666667,4,Linear,1.0,1.0
68,speed_7578.csv,41.276939215339354,KMeans,0.75,5,Linear,1.0,1.0
69,TravelTime_451.csv,44.9610742212997,KMeans,0.4,6,KMeans,0.8,0.8
70,nyc_taxi.csv,87.02095208978128,Linear,0.25,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.875,0.95625
0,,,,,2.0,,0.875,0.95625
0,,,,,3.0,,0.625,0.90814393875
0,,,,,4.0,,0.625,0.90814393875
0,,,,,5.0,,0.625,0.90814393875
0,,,,,6.0,,0.5,0.88314393875
0,,,,,7.0,,0.625,0.90814393875
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
