,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,29.691664817747327,Linear,1.0,1,Linear,0.4,0.65
2,nyc_taxi.csv,31.618451988669158,Linear,0.25,2,Linear,0.4,0.65
3,occupancy_t4013.csv,44.73205091253819,Linear,1.0,3,Linear,0.4,0.65
4,speed_6005.csv,44.77290155807864,Linear,0.66666667,4,Linear,0.4,0.65
5,TravelTime_451.csv,44.792764511387304,KMeans,0.4,5,Linear,0.4,0.65
6,TravelTime_387.csv,44.83600021107547,KMeans,0.66666667,6,Linear,0.4,0.65
7,occupancy_6005.csv,44.84319658654209,Linear,1.0,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,TravelTime_451.csv,0.00384142918262724,KMeans,0.4,1,KMeans,0.66666667,1.0
11,speed_6005.csv,0.0203670596857788,Linear,0.66666667,2,KMeans,0.66666667,1.0
12,occupancy_t4013.csv,0.19311598058992005,Linear,1.0,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,0.23407920899918191,Linear,1.0,4,Linear,0.5,0.83333333
14,speed_t4013.csv,17.229292590281215,Linear,1.0,5,Linear,0.5,0.83333333
15,speed_7578.csv,52.19973561582314,KMeans,0.75,6,Linear,0.5,0.83333333
16,nyc_taxi.csv,94.91970868398876,Linear,0.25,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_7578.csv,47.58939393168849,KMeans,0.75,1,KMeans,0.25,1.0
20,speed_t4013.csv,80.27002239846072,Linear,1.0,2,KMeans,0.25,1.0
21,speed_6005.csv,94.88636087410457,Linear,0.66666667,3,Linear,0.25,1.0
22,TravelTime_451.csv,94.90126941843697,KMeans,0.4,4,KMeans,0.25,1.0
23,occupancy_6005.csv,94.98876990246451,Linear,1.0,5,Linear,0.25,1.0
24,TravelTime_387.csv,94.99676831809587,KMeans,0.66666667,6,KMeans,0.25,1.0
25,occupancy_t4013.csv,95.22962409135177,Linear,1.0,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,TravelTime_387.csv,0.04912421588616492,KMeans,0.66666667,1,KMeans,0.4,1.0
29,speed_6005.csv,0.10650606726584483,Linear,0.66666667,2,KMeans,0.4,1.0
30,occupancy_t4013.csv,0.6260269983234507,Linear,1.0,3,Linear,0.18181818,0.7818181799999999
31,occupancy_6005.csv,1.0749239976797644,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
32,speed_t4013.csv,38.51791490889567,Linear,1.0,5,Linear,0.18181818,0.7818181799999999
33,speed_7578.csv,117.54289457746358,KMeans,0.75,6,Linear,0.18181818,0.7818181799999999
34,nyc_taxi.csv,217.91632658655965,Linear,0.25,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,TravelTime_451.csv,0.12198245574237743,KMeans,0.4,1,KMeans,0.66666667,1.0
38,TravelTime_387.csv,0.2574254914300326,KMeans,0.66666667,2,KMeans,0.66666667,1.0
39,occupancy_t4013.csv,0.41822951235503414,Linear,1.0,3,KMeans,0.66666667,1.0
40,occupancy_6005.csv,1.669512806360433,Linear,1.0,4,KMeans,0.66666667,1.0
41,speed_t4013.csv,11.751188777858292,Linear,1.0,5,Linear,0.66666667,1.0
42,speed_7578.csv,37.538310857440464,KMeans,0.75,6,KMeans,0.66666667,1.0
43,nyc_taxi.csv,79.43187881134682,Linear,0.25,7,Linear,0.66666667,1.0
44,,,,,,,,
