,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,11.849687872611288,Linear,1.0,1,Linear,0.4,0.65
2,nyc_taxi.csv,12.47471172858819,Linear,0.25,2,Linear,0.4,0.65
3,TravelTime_451.csv,13.3263589370818,KMeans,0.4,3,Linear,0.4,0.65
4,TravelTime_387.csv,14.607986139506608,KMeans,0.66666667,4,KMeans,0.75,1.0
5,speed_6005.csv,17.80046740499408,Linear,0.66666667,5,Linear,0.4,0.65
6,occupancy_6005.csv,21.179141617015567,Linear,1.0,6,Linear,0.4,0.65
7,occupancy_t4013.csv,23.8920052170012,Linear,1.0,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,speed_t4013.csv,11.849687872611288,Linear,1.0,1,Linear,0.5,0.83333333
11,nyc_taxi.csv,12.47471172858819,Linear,0.25,2,Linear,0.5,0.83333333
12,TravelTime_451.csv,13.3263589370818,KMeans,0.4,3,Linear,0.5,0.83333333
13,TravelTime_387.csv,14.607986139506608,KMeans,0.66666667,4,KMeans,0.66666667,1.0
14,speed_6005.csv,17.80046740499408,Linear,0.66666667,5,Linear,0.5,0.83333333
15,occupancy_6005.csv,21.179141617015567,Linear,1.0,6,Linear,0.5,0.83333333
16,occupancy_t4013.csv,23.8920052170012,Linear,1.0,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_t4013.csv,11.849687872611288,Linear,1.0,1,Linear,0.25,1.0
20,nyc_taxi.csv,12.47471172858819,Linear,0.25,2,Linear,0.25,1.0
21,TravelTime_451.csv,13.3263589370818,KMeans,0.4,3,Linear,0.25,1.0
22,TravelTime_387.csv,14.607986139506608,KMeans,0.66666667,4,KMeans,0.25,1.0
23,speed_6005.csv,17.80046740499408,Linear,0.66666667,5,Linear,0.25,1.0
