,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,nyc_taxi.csv,0.10020745,Linear,0.25,1,Linear,0.4,0.65
2,occupancy_6005.csv,0.6506852,Linear,1.0,2,Linear,0.4,0.65
3,speed_t4013.csv,0.66621584,Linear,1.0,3,Linear,0.4,0.65
4,speed_6005.csv,0.7253361,Linear,0.66666667,4,Linear,0.4,0.65
5,TravelTime_451.csv,0.7938357,KMeans,0.4,5,Linear,0.4,0.65
6,TravelTime_387.csv,0.9058871,KMeans,0.66666667,6,Linear,0.4,0.65
7,occupancy_t4013.csv,0.9265665,Linear,1.0,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,nyc_taxi.csv,0.019048989,Linear,0.25,1,Linear,0.5,0.83333333
11,occupancy_6005.csv,0.6482959,Linear,1.0,2,Linear,0.5,0.83333333
12,speed_t4013.csv,0.6605501,Linear,1.0,3,Linear,0.5,0.83333333
13,speed_6005.csv,0.7233833,Linear,0.66666667,4,Linear,0.5,0.83333333
14,TravelTime_451.csv,0.794722,KMeans,0.4,5,Linear,0.5,0.83333333
15,TravelTime_387.csv,0.9051944,KMeans,0.66666667,6,Linear,0.5,0.83333333
16,occupancy_t4013.csv,0.9280277,Linear,1.0,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,nyc_taxi.csv,0.118330956,Linear,0.25,1,Linear,0.25,1.0
20,speed_t4013.csv,0.633064,Linear,1.0,2,Linear,0.25,1.0
21,occupancy_6005.csv,0.6479811,Linear,1.0,3,Linear,0.25,1.0
22,speed_6005.csv,0.71237886,Linear,0.66666667,4,Linear,0.25,1.0
23,TravelTime_451.csv,0.7703531,KMeans,0.4,5,Linear,0.25,1.0
24,TravelTime_387.csv,0.855453,KMeans,0.66666667,6,Linear,0.25,1.0
25,occupancy_t4013.csv,0.86591434,Linear,1.0,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,nyc_taxi.csv,0.09873593,Linear,0.25,1,Linear,0.18181818,0.7818181799999999
29,occupancy_6005.csv,0.62267786,Linear,1.0,2,Linear,0.18181818,0.7818181799999999
