,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,1.5120457821185624,Linear,1.0,1,Linear,0.4,0.65
2,occupancy_t4013.csv,3.0442836722358733,Linear,1.0,2,Linear,0.4,0.65
3,TravelTime_387.csv,4.184365110370475,KMeans,0.66666667,3,Linear,0.4,0.65
4,TravelTime_451.csv,5.104508105791423,KMeans,0.4,4,KMeans,0.75,1.0
5,speed_6005.csv,5.221207554669325,Linear,0.66666667,5,Linear,0.4,0.65
6,occupancy_6005.csv,5.412635225571524,Linear,1.0,6,Linear,0.4,0.65
7,nyc_taxi.csv,6.907722732981761,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,TravelTime_451.csv,1.0115673111258705,KMeans,0.4,1,KMeans,0.66666667,1.0
11,speed_6005.csv,1.038272077080657,Linear,0.66666667,2,KMeans,0.66666667,1.0
12,occupancy_t4013.csv,1.1472502273396255,Linear,1.0,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,1.2325471074469683,Linear,1.0,4,Linear,0.5,0.83333333
14,speed_t4013.csv,2.6891199514033453,Linear,1.0,5,Linear,0.5,0.83333333
15,nyc_taxi.csv,3.5972136316505363,Linear,0.25,6,Linear,0.5,0.83333333
16,speed_7578.csv,4.184365110370475,KMeans,0.75,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,TravelTime_451.csv,2.7429277013088527,KMeans,0.4,1,KMeans,0.25,1.0
20,speed_6005.csv,3.081507488351444,Linear,0.66666667,2,KMeans,0.25,1.0
21,occupancy_6005.csv,3.159929189981644,Linear,1.0,3,Linear,0.25,1.0
22,TravelTime_387.csv,3.5972136316505363,KMeans,0.66666667,4,KMeans,0.25,1.0
23,occupancy_t4013.csv,4.284356756689495,Linear,1.0,5,Linear,0.25,1.0
24,speed_t4013.csv,5.496263110661564,Linear,1.0,6,Linear,0.25,1.0
25,speed_7578.csv,6.907722732981761,KMeans,0.75,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,speed_6005.csv,0.443995727735414,Linear,0.66666667,1,Linear,0.18181818,0.7818181799999999
29,occupancy_6005.csv,0.6528452752923389,Linear,1.0,2,Linear,0.18181818,0.7818181799999999
30,TravelTime_387.csv,1.0115673111258705,KMeans,0.66666667,3,Linear,0.18181818,0.7818181799999999
31,occupancy_t4013.csv,2.0731582050940514,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
32,nyc_taxi.csv,2.7429277013088527,Linear,0.25,5,Linear,0.18181818,0.7818181799999999
33,speed_t4013.csv,3.5941818399086096,Linear,1.0,6,Linear,0.18181818,0.7818181799999999
34,speed_7578.csv,5.104508105791423,KMeans,0.75,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,occupancy_6005.csv,0.2379007843219036,Linear,1.0,1,Linear,0.66666667,1.0
38,TravelTime_451.csv,0.443995727735414,KMeans,0.4,2,KMeans,0.66666667,1.0
39,TravelTime_387.csv,1.038272077080657,KMeans,0.66666667,3,KMeans,0.66666667,1.0
40,occupancy_t4013.csv,2.180803444990018,Linear,1.0,4,KMeans,0.66666667,1.0
41,nyc_taxi.csv,3.081507488351444,Linear,0.25,5,Linear,0.66666667,1.0
42,speed_t4013.csv,3.722942445759533,Linear,1.0,6,Linear,0.66666667,1.0
43,speed_7578.csv,5.221207554669325,KMeans,0.75,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,TravelTime_387.csv,1.1472502273396255,KMeans,0.66666667,1,KMeans,1.0,1.0
47,speed_t4013.csv,1.5427160470774985,Linear,1.0,2,KMeans,1.0,1.0
48,TravelTime_451.csv,2.0731582050940514,KMeans,0.4,3,KMeans,1.0,1.0
49,speed_6005.csv,2.180803444990018,Linear,0.66666667,4,KMeans,1.0,1.0
50,occupancy_6005.csv,2.379653065831116,Linear,1.0,5,Linear,1.0,1.0
51,speed_7578.csv,3.0442836722358733,KMeans,0.75,6,KMeans,1.0,1.0
52,nyc_taxi.csv,4.284356756689495,Linear,0.25,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,speed_6005.csv,0.2379007843219036,Linear,0.66666667,1,Linear,1.0,1.0
56,TravelTime_451.csv,0.6528452752923389,KMeans,0.4,2,KMeans,1.0,1.0
57,TravelTime_387.csv,1.2325471074469683,KMeans,0.66666667,3,KMeans,1.0,1.0
58,occupancy_t4013.csv,2.379653065831116,Linear,1.0,4,KMeans,1.0,1.0
59,nyc_taxi.csv,3.159929189981644,Linear,0.25,5,Linear,1.0,1.0
60,speed_t4013.csv,3.92107506092488,Linear,1.0,6,Linear,1.0,1.0
61,speed_7578.csv,5.412635225571524,KMeans,0.75,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,speed_7578.csv,1.5120457821185624,KMeans,0.75,1,KMeans,0.8,0.8
65,occupancy_t4013.csv,1.5427160470774985,Linear,1.0,2,KMeans,0.8,0.8
66,TravelTime_387.csv,2.6891199514033453,KMeans,0.66666667,3,KMeans,0.8,0.8
67,TravelTime_451.csv,3.5941818399086096,KMeans,0.4,4,KMeans,0.8,0.8
68,speed_6005.csv,3.722942445759533,Linear,0.66666667,5,KMeans,0.8,0.8
69,occupancy_6005.csv,3.92107506092488,Linear,1.0,6,KMeans,0.8,0.8
70,nyc_taxi.csv,5.496263110661564,Linear,0.25,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.625,0.9039772724999999
0,,,,,2.0,,0.625,0.9039772724999999
0,,,,,3.0,,0.5,0.88314393875
0,,,,,4.0,,0.625,0.9268939387499999
0,,,,,5.0,,0.5,0.88314393875
0,,,,,6.0,,0.5,0.88314393875
0,,,,,7.0,,0.625,0.90814393875
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
