,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,0.2577451500912305,Linear,1.0,1,Linear,0.4,0.65
2,nyc_taxi.csv,0.33251024190063494,Linear,0.25,2,Linear,0.4,0.65
3,occupancy_t4013.csv,0.439491313136634,Linear,1.0,3,Linear,0.4,0.65
4,TravelTime_387.csv,0.5175980568003304,KMeans,0.66666667,4,Linear,0.4,0.65
5,occupancy_6005.csv,0.5321465411954575,Linear,1.0,5,Linear,0.4,0.65
6,TravelTime_451.csv,0.5339432262373827,KMeans,0.4,6,Linear,0.4,0.65
7,speed_6005.csv,0.5346937540206528,Linear,0.66666667,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,speed_6005.csv,0.05487432928513574,Linear,0.66666667,1,Linear,0.5,0.83333333
11,TravelTime_451.csv,0.05529717018554981,KMeans,0.4,2,KMeans,0.66666667,1.0
12,occupancy_6005.csv,0.055452952265605766,Linear,1.0,3,Linear,0.5,0.83333333
13,occupancy_t4013.csv,0.13852693369563462,Linear,1.0,4,Linear,0.5,0.83333333
14,nyc_taxi.csv,0.1606646535877717,Linear,0.25,5,Linear,0.5,0.83333333
15,speed_t4013.csv,0.4353949774422511,Linear,1.0,6,Linear,0.5,0.83333333
16,speed_7578.csv,0.8519160617635398,KMeans,0.75,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_t4013.csv,0.2330102458293175,Linear,1.0,1,Linear,0.25,1.0
20,speed_7578.csv,0.39135560082136844,KMeans,0.75,2,KMeans,0.25,1.0
21,occupancy_t4013.csv,0.605458105400424,Linear,1.0,3,Linear,0.25,1.0
22,occupancy_6005.csv,0.6772036852087597,Linear,1.0,4,Linear,0.25,1.0
23,TravelTime_451.csv,0.6827329811632042,KMeans,0.4,5,Linear,0.25,1.0
24,speed_6005.csv,0.6906344919819005,Linear,0.66666667,6,Linear,0.25,1.0
25,TravelTime_387.csv,0.7219222049838777,KMeans,0.66666667,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,occupancy_6005.csv,0.01653727506378236,Linear,1.0,1,Linear,0.18181818,0.7818181799999999
29,speed_6005.csv,0.020207395436727324,Linear,0.66666667,2,Linear,0.18181818,0.7818181799999999
30,speed_7578.csv,0.05743978804293068,KMeans,0.75,3,Linear,0.18181818,0.7818181799999999
31,TravelTime_387.csv,0.08802569082279069,KMeans,0.66666667,4,KMeans,0.4,1.0
32,speed_t4013.csv,0.10927638760287937,Linear,1.0,5,Linear,0.18181818,0.7818181799999999
33,occupancy_t4013.csv,0.12798601954192212,Linear,1.0,6,Linear,0.18181818,0.7818181799999999
34,nyc_taxi.csv,0.4162243350677227,Linear,0.25,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,TravelTime_451.csv,0.01171766517347847,KMeans,0.4,1,KMeans,0.66666667,1.0
38,occupancy_6005.csv,0.014551326003667382,Linear,1.0,2,KMeans,0.66666667,1.0
39,TravelTime_387.csv,0.023222390666013518,KMeans,0.66666667,3,KMeans,0.66666667,1.0
40,occupancy_t4013.csv,0.1542524008167458,Linear,1.0,4,KMeans,0.66666667,1.0
41,speed_t4013.csv,0.7107406091000354,Linear,1.0,5,Linear,0.66666667,1.0
42,nyc_taxi.csv,0.9339283135151182,Linear,0.25,6,Linear,0.66666667,1.0
43,speed_7578.csv,1.6742350136779738,KMeans,0.75,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,TravelTime_387.csv,0.01398047448734423,KMeans,0.66666667,1,KMeans,1.0,1.0
47,speed_6005.csv,0.07476266125232886,Linear,0.66666667,2,KMeans,1.0,1.0
48,occupancy_6005.csv,0.07740192350993819,Linear,1.0,3,Linear,1.0,1.0
49,TravelTime_451.csv,0.09807919639304599,KMeans,0.4,4,KMeans,1.0,1.0
50,speed_t4013.csv,0.11212199136737372,Linear,1.0,5,Linear,1.0,1.0
51,speed_7578.csv,0.4962675395449949,KMeans,0.75,6,KMeans,1.0,1.0
52,nyc_taxi.csv,0.626402218066996,Linear,0.25,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,TravelTime_451.csv,0.03224585745806863,KMeans,0.4,1,KMeans,1.0,1.0
56,speed_6005.csv,0.03921627917297099,Linear,0.66666667,2,KMeans,1.0,1.0
57,speed_t4013.csv,0.11813065093207678,Linear,1.0,3,Linear,1.0,1.0
58,speed_7578.csv,0.19335297300240017,KMeans,0.75,4,KMeans,1.0,1.0
59,TravelTime_387.csv,0.23374289706202386,KMeans,0.66666667,5,KMeans,1.0,1.0
60,occupancy_t4013.csv,0.2679878833117701,Linear,1.0,6,KMeans,1.0,1.0
61,nyc_taxi.csv,0.933797450657565,Linear,0.25,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
