,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,3.227288164542993,Linear,1.0,1,Linear,0.4,0.65
2,occupancy_t4013.csv,6.311685423904094,Linear,1.0,2,Linear,0.4,0.65
3,TravelTime_387.csv,8.551201369505929,KMeans,0.66666667,3,Linear,0.4,0.65
4,speed_6005.csv,10.707211908014706,Linear,0.66666667,4,Linear,0.4,0.65
5,TravelTime_451.csv,10.808881261399588,KMeans,0.4,5,Linear,0.4,0.65
6,occupancy_6005.csv,10.968088280280536,Linear,1.0,6,Linear,0.4,0.65
7,nyc_taxi.csv,15.44212725639716,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,speed_6005.csv,2.1560105385087773,Linear,0.66666667,1,Linear,0.5,0.83333333
11,TravelTime_451.csv,2.257679891893659,KMeans,0.4,2,KMeans,0.66666667,1.0
12,occupancy_t4013.csv,2.3444895528188865,Linear,1.0,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,2.5078299326836273,Linear,1.0,4,Linear,0.5,0.83333333
14,speed_t4013.csv,5.430372974734635,Linear,1.0,5,Linear,0.5,0.83333333
15,nyc_taxi.csv,6.890925886891231,Linear,0.25,6,Linear,0.5,0.83333333
16,speed_7578.csv,8.551201369505929,KMeans,0.75,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,occupancy_6005.csv,4.474038976116624,Linear,1.0,1,Linear,0.25,1.0
20,TravelTime_451.csv,4.633245994997572,KMeans,0.4,2,KMeans,0.25,1.0
21,speed_6005.csv,4.734915348382453,Linear,0.66666667,3,Linear,0.25,1.0
22,TravelTime_387.csv,6.890925886891231,KMeans,0.66666667,4,KMeans,0.25,1.0
23,occupancy_t4013.csv,9.130441832493066,Linear,1.0,5,Linear,0.25,1.0
24,speed_t4013.csv,12.214839091854166,Linear,1.0,6,Linear,0.25,1.0
25,speed_7578.csv,15.44212725639716,KMeans,0.75,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,speed_6005.csv,0.7290051466741909,Linear,0.66666667,1,Linear,0.18181818,0.7818181799999999
29,occupancy_6005.csv,1.2561700542533694,Linear,1.0,2,Linear,0.18181818,0.7818181799999999
30,TravelTime_387.csv,2.257679891893659,KMeans,0.66666667,3,Linear,0.18181818,0.7818181799999999
31,occupancy_t4013.csv,4.497195837495494,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
32,nyc_taxi.csv,4.633245994997572,Linear,0.25,5,Linear,0.18181818,0.7818181799999999
33,speed_t4013.csv,7.5815930968565945,Linear,1.0,6,Linear,0.18181818,0.7818181799999999
34,speed_7578.csv,10.808881261399588,KMeans,0.75,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,occupancy_6005.csv,0.5271649075791787,Linear,1.0,1,Linear,0.66666667,1.0
38,TravelTime_451.csv,0.7290051466741909,KMeans,0.4,2,KMeans,0.66666667,1.0
39,TravelTime_387.csv,2.1560105385087773,KMeans,0.66666667,3,KMeans,0.66666667,1.0
40,occupancy_t4013.csv,4.395526484110612,Linear,1.0,4,KMeans,0.66666667,1.0
41,nyc_taxi.csv,4.734915348382453,Linear,0.25,5,Linear,0.66666667,1.0
42,speed_t4013.csv,7.479923743471713,Linear,1.0,6,Linear,0.66666667,1.0
43,speed_7578.csv,10.707211908014706,KMeans,0.75,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,TravelTime_387.csv,2.3444895528188865,KMeans,0.66666667,1,KMeans,1.0,1.0
47,speed_t4013.csv,3.085883421915749,Linear,1.0,2,KMeans,1.0,1.0
48,speed_6005.csv,4.395526484110612,Linear,0.66666667,3,Linear,1.0,1.0
49,TravelTime_451.csv,4.497195837495494,KMeans,0.4,4,KMeans,1.0,1.0
50,occupancy_6005.csv,4.852319485502514,Linear,1.0,5,Linear,1.0,1.0
51,speed_7578.csv,6.311685423904094,KMeans,0.75,6,KMeans,1.0,1.0
52,nyc_taxi.csv,9.130441832493066,Linear,0.25,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,speed_6005.csv,0.5271649075791787,Linear,0.66666667,1,Linear,1.0,1.0
56,TravelTime_451.csv,1.2561700542533694,KMeans,0.4,2,KMeans,1.0,1.0
57,TravelTime_387.csv,2.5078299326836273,KMeans,0.66666667,3,KMeans,1.0,1.0
58,nyc_taxi.csv,4.474038976116624,Linear,0.25,4,KMeans,1.0,1.0
59,occupancy_t4013.csv,4.852319485502514,Linear,1.0,5,Linear,1.0,1.0
60,speed_t4013.csv,7.938202907418264,Linear,1.0,6,Linear,1.0,1.0
61,speed_7578.csv,10.968088280280536,KMeans,0.75,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,occupancy_t4013.csv,3.085883421915749,Linear,1.0,1,Linear,1.0,1.0
65,speed_7578.csv,3.227288164542993,KMeans,0.75,2,KMeans,0.8,0.8
66,TravelTime_387.csv,5.430372974734635,KMeans,0.66666667,3,KMeans,0.8,0.8
67,speed_6005.csv,7.479923743471713,Linear,0.66666667,4,KMeans,0.8,0.8
68,TravelTime_451.csv,7.5815930968565945,KMeans,0.4,5,KMeans,0.8,0.8
69,occupancy_6005.csv,7.938202907418264,Linear,1.0,6,KMeans,0.8,0.8
70,nyc_taxi.csv,12.214839091854166,Linear,0.25,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.625,0.90814393875
0,,,,,2.0,,0.625,0.9039772724999999
0,,,,,3.0,,0.5,0.88314393875
0,,,,,4.0,,0.5,0.88314393875
0,,,,,5.0,,0.5,0.88314393875
0,,,,,6.0,,0.5,0.88314393875
0,,,,,7.0,,0.625,0.90814393875
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
