,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,nyc_taxi.csv,0.12534904,Linear,0.25,1,Linear,0.4,0.65
2,TravelTime_387.csv,1.4050864,KMeans,0.66666667,2,KMeans,0.75,1.0
3,occupancy_6005.csv,1.4878598,Linear,1.0,3,Linear,0.4,0.65
4,speed_6005.csv,1.5192548,Linear,0.66666667,4,Linear,0.4,0.65
5,TravelTime_451.csv,1.6052767,KMeans,0.4,5,Linear,0.4,0.65
6,occupancy_t4013.csv,1.7134463,Linear,1.0,6,Linear,0.4,0.65
7,speed_t4013.csv,1.7378976,Linear,1.0,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,occupancy_6005.csv,0.026391268,Linear,1.0,1,Linear,0.5,0.83333333
11,speed_6005.csv,0.035419762,Linear,0.66666667,2,Linear,0.5,0.83333333
12,TravelTime_451.csv,0.17337617,KMeans,0.4,3,Linear,0.5,0.83333333
13,occupancy_t4013.csv,0.3274761,Linear,1.0,4,Linear,0.5,0.83333333
14,speed_t4013.csv,0.35101348,Linear,1.0,5,Linear,0.5,0.83333333
15,nyc_taxi.csv,1.1973166,Linear,0.25,6,Linear,0.5,0.83333333
16,speed_7578.csv,1.6794233,KMeans,0.75,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_7578.csv,0.41913104,KMeans,0.75,1,KMeans,0.25,1.0
20,TravelTime_387.csv,1.2362587,KMeans,0.66666667,2,KMeans,0.25,1.0
21,occupancy_6005.csv,1.3225112,Linear,1.0,3,KMeans,0.25,1.0
22,speed_6005.csv,1.3611497,Linear,0.66666667,4,KMeans,0.25,1.0
23,TravelTime_451.csv,1.4260685,KMeans,0.4,5,KMeans,0.25,1.0
24,occupancy_t4013.csv,1.5177228,Linear,1.0,6,KMeans,0.25,1.0
25,speed_t4013.csv,1.5440178,Linear,1.0,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,occupancy_t4013.csv,0.09523153,Linear,1.0,1,Linear,0.18181818,0.7818181799999999
29,speed_6005.csv,0.100627124,Linear,0.66666667,2,Linear,0.18181818,0.7818181799999999
30,speed_t4013.csv,0.11739537,Linear,1.0,3,Linear,0.18181818,0.7818181799999999
31,occupancy_6005.csv,0.12181902,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
32,TravelTime_387.csv,0.1916168,KMeans,0.66666667,5,Linear,0.18181818,0.7818181799999999
33,nyc_taxi.csv,1.3905956,Linear,0.25,6,Linear,0.18181818,0.7818181799999999
34,speed_7578.csv,1.8354218,KMeans,0.75,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,occupancy_6005.csv,0.014972687,Linear,1.0,1,Linear,0.66666667,1.0
38,TravelTime_387.csv,0.07104075,KMeans,0.66666667,2,KMeans,0.66666667,1.0
39,TravelTime_451.csv,0.12546632,KMeans,0.4,3,KMeans,0.66666667,1.0
40,occupancy_t4013.csv,0.2642405,Linear,1.0,4,KMeans,0.66666667,1.0
41,speed_t4013.csv,0.28763235,Linear,1.0,5,Linear,0.66666667,1.0
42,nyc_taxi.csv,1.4369674,Linear,0.25,6,Linear,0.66666667,1.0
43,speed_7578.csv,2.0465393,KMeans,0.75,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,speed_t4013.csv,0.021860257,Linear,1.0,1,Linear,1.0,1.0
47,TravelTime_451.csv,0.111279905,KMeans,0.4,2,KMeans,1.0,1.0
48,speed_6005.csv,0.19960275,Linear,0.66666667,3,Linear,1.0,1.0
49,occupancy_6005.csv,0.2290104,Linear,1.0,4,Linear,1.0,1.0
50,TravelTime_387.csv,0.33424908,KMeans,0.66666667,5,Linear,1.0,1.0
51,nyc_taxi.csv,1.4992177,Linear,0.25,6,Linear,1.0,1.0
52,speed_7578.csv,1.8231611,KMeans,0.75,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,speed_6005.csv,0.022294939,Linear,0.66666667,1,Linear,1.0,1.0
56,TravelTime_387.csv,0.031139135,KMeans,0.66666667,2,KMeans,1.0,1.0
57,TravelTime_451.csv,0.13116482,KMeans,0.4,3,KMeans,1.0,1.0
58,occupancy_t4013.csv,0.2568502,Linear,1.0,4,KMeans,1.0,1.0
59,speed_t4013.csv,0.28022063,Linear,1.0,5,Linear,1.0,1.0
60,nyc_taxi.csv,1.0118786,Linear,0.25,6,Linear,1.0,1.0
61,speed_7578.csv,1.6029797,KMeans,0.75,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,occupancy_t4013.csv,0.02247274,Linear,1.0,1,Linear,1.0,1.0
65,TravelTime_451.csv,0.16583924,KMeans,0.4,2,KMeans,0.8,0.8
66,speed_6005.csv,0.30232698,Linear,0.66666667,3,Linear,1.0,1.0
67,occupancy_6005.csv,0.31023246,Linear,1.0,4,Linear,1.0,1.0
68,TravelTime_387.csv,0.35465074,KMeans,0.66666667,5,Linear,1.0,1.0
69,nyc_taxi.csv,1.6349771,Linear,0.25,6,Linear,1.0,1.0
70,speed_7578.csv,2.3227832,KMeans,0.75,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.625,0.90814393875
0,,,,,2.0,,0.625,0.9268939387499999
0,,,,,3.0,,0.625,0.90814393875
0,,,,,4.0,,0.625,0.90814393875
0,,,,,5.0,,0.625,0.90814393875
0,,,,,6.0,,0.625,0.90814393875
0,,,,,7.0,,0.625,0.90814393875
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
