,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,TravelTime_387.csv,2.8763019728521146,KMeans,0.66666667,1,KMeans,0.75,1.0
2,speed_t4013.csv,2.9259037517463815,Linear,1.0,2,KMeans,0.75,1.0
3,occupancy_t4013.csv,2.948341959446131,Linear,1.0,3,Linear,0.4,0.65
4,TravelTime_451.csv,3.6726588699863036,KMeans,0.4,4,KMeans,0.75,1.0
5,occupancy_6005.csv,3.85496890165547,Linear,1.0,5,Linear,0.4,0.65
6,speed_6005.csv,3.940563712312495,Linear,0.66666667,6,Linear,0.4,0.65
7,nyc_taxi.csv,5.2798725071868615,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,speed_t4013.csv,1.4794725622844223,Linear,1.0,1,Linear,0.5,0.83333333
11,occupancy_t4013.csv,1.6512334967086277,Linear,1.0,2,Linear,0.5,0.83333333
12,TravelTime_451.csv,2.276114195989937,KMeans,0.4,3,Linear,0.5,0.83333333
13,speed_6005.csv,2.5115644127102046,Linear,0.66666667,4,Linear,0.5,0.83333333
14,occupancy_6005.csv,2.5146644132997076,Linear,1.0,5,Linear,0.5,0.83333333
15,nyc_taxi.csv,2.8652717319222085,Linear,0.25,6,Linear,0.5,0.83333333
16,speed_7578.csv,2.8763019728521146,KMeans,0.75,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,TravelTime_387.csv,2.8652717319222085,KMeans,0.66666667,1,KMeans,0.25,1.0
20,speed_6005.csv,3.1381590648225846,Linear,0.66666667,2,KMeans,0.25,1.0
21,TravelTime_451.csv,3.261080762143836,KMeans,0.4,3,KMeans,0.25,1.0
22,occupancy_6005.csv,3.2883482801490698,Linear,1.0,4,KMeans,0.25,1.0
23,speed_t4013.csv,3.404334530148431,Linear,1.0,5,Linear,0.25,1.0
24,occupancy_t4013.csv,3.4898700660078745,Linear,1.0,6,Linear,0.25,1.0
25,speed_7578.csv,5.2798725071868615,KMeans,0.75,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,occupancy_6005.csv,0.27234687854956346,Linear,1.0,1,Linear,0.18181818,0.7818181799999999
29,speed_6005.csv,0.3729073433292449,Linear,0.66666667,2,Linear,0.18181818,0.7818181799999999
30,occupancy_t4013.csv,0.9125439331245097,Linear,1.0,3,Linear,0.18181818,0.7818181799999999
31,speed_t4013.csv,1.0267417344249807,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
32,TravelTime_387.csv,2.276114195989937,KMeans,0.66666667,5,Linear,0.18181818,0.7818181799999999
33,nyc_taxi.csv,3.261080762143836,Linear,0.25,6,Linear,0.18181818,0.7818181799999999
34,speed_7578.csv,3.6726588699863036,KMeans,0.75,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,occupancy_6005.csv,0.17433864307565713,Linear,1.0,1,Linear,0.66666667,1.0
38,TravelTime_451.csv,0.3729073433292449,KMeans,0.4,2,KMeans,0.66666667,1.0
39,occupancy_t4013.csv,1.269618219032548,Linear,1.0,3,Linear,0.66666667,1.0
40,speed_t4013.csv,1.3736467470506626,Linear,1.0,4,Linear,0.66666667,1.0
41,TravelTime_387.csv,2.5115644127102046,KMeans,0.66666667,5,Linear,0.66666667,1.0
42,nyc_taxi.csv,3.1381590648225846,Linear,0.25,6,Linear,0.66666667,1.0
43,speed_7578.csv,3.940563712312495,KMeans,0.75,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,speed_t4013.csv,0.18139010629928493,Linear,1.0,1,Linear,1.0,1.0
47,TravelTime_451.csv,0.9125439331245097,KMeans,0.4,2,KMeans,1.0,1.0
48,occupancy_6005.csv,1.1744477155761484,Linear,1.0,3,Linear,1.0,1.0
49,speed_6005.csv,1.269618219032548,Linear,0.66666667,4,Linear,1.0,1.0
50,TravelTime_387.csv,1.6512334967086277,KMeans,0.66666667,5,Linear,1.0,1.0
51,speed_7578.csv,2.948341959446131,KMeans,0.75,6,KMeans,1.0,1.0
