,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,nyc_taxi.csv,0.0009097739363121845,Linear,0.25,1,Linear,0.4,0.65
2,TravelTime_387.csv,0.010562708521687506,KMeans,0.66666667,2,KMeans,0.75,1.0
3,speed_6005.csv,0.04864751623425211,Linear,0.66666667,3,Linear,0.4,0.65
4,occupancy_6005.csv,0.05064644146314983,Linear,1.0,4,Linear,0.4,0.65
5,speed_t4013.csv,0.058775557792355514,Linear,1.0,5,Linear,0.4,0.65
6,occupancy_t4013.csv,0.06867532025141922,Linear,1.0,6,Linear,0.4,0.65
7,TravelTime_451.csv,0.07128554784411285,KMeans,0.4,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,nyc_taxi.csv,0.009652934585375321,Linear,0.25,1,Linear,0.5,0.83333333
11,speed_7578.csv,0.010562708521687506,KMeans,0.75,2,KMeans,0.66666667,1.0
12,speed_6005.csv,0.0380848077125646,Linear,0.66666667,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,0.04008373294146232,Linear,1.0,4,Linear,0.5,0.83333333
14,speed_t4013.csv,0.048212849270668004,Linear,1.0,5,Linear,0.5,0.83333333
15,occupancy_t4013.csv,0.058112611729731714,Linear,1.0,6,Linear,0.5,0.83333333
16,TravelTime_451.csv,0.06072283932242535,KMeans,0.4,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_7578.csv,0.0009097739363121845,KMeans,0.75,1,KMeans,0.25,1.0
20,TravelTime_387.csv,0.009652934585375321,KMeans,0.66666667,2,KMeans,0.25,1.0
21,speed_6005.csv,0.04773774229793993,Linear,0.66666667,3,KMeans,0.25,1.0
22,occupancy_6005.csv,0.04973666752683765,Linear,1.0,4,KMeans,0.25,1.0
23,speed_t4013.csv,0.05786578385604333,Linear,1.0,5,Linear,0.25,1.0
24,occupancy_t4013.csv,0.06776554631510703,Linear,1.0,6,Linear,0.25,1.0
25,TravelTime_451.csv,0.07037577390780067,KMeans,0.4,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,occupancy_t4013.csv,0.002610227592693637,Linear,1.0,1,Linear,0.18181818,0.7818181799999999
29,speed_t4013.csv,0.01250999005175734,Linear,1.0,2,Linear,0.18181818,0.7818181799999999
30,occupancy_6005.csv,0.020639106380963022,Linear,1.0,3,Linear,0.18181818,0.7818181799999999
31,speed_6005.csv,0.02263803160986074,Linear,0.66666667,4,Linear,0.18181818,0.7818181799999999
32,TravelTime_387.csv,0.06072283932242535,KMeans,0.66666667,5,Linear,0.18181818,0.7818181799999999
33,nyc_taxi.csv,0.07037577390780067,Linear,0.25,6,Linear,0.18181818,0.7818181799999999
34,speed_7578.csv,0.07128554784411285,KMeans,0.75,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,occupancy_6005.csv,0.001998925228897719,Linear,1.0,1,Linear,0.66666667,1.0
38,speed_t4013.csv,0.010128041558103401,Linear,1.0,2,Linear,0.66666667,1.0
39,occupancy_t4013.csv,0.020027804017167104,Linear,1.0,3,Linear,0.66666667,1.0
40,TravelTime_451.csv,0.02263803160986074,KMeans,0.4,4,Linear,0.66666667,1.0
41,TravelTime_387.csv,0.0380848077125646,KMeans,0.66666667,5,Linear,0.66666667,1.0
42,nyc_taxi.csv,0.04773774229793993,Linear,0.25,6,Linear,0.66666667,1.0
43,speed_7578.csv,0.04864751623425211,KMeans,0.75,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,TravelTime_451.csv,0.002610227592693637,KMeans,0.4,1,KMeans,1.0,1.0
47,speed_t4013.csv,0.009899762459063703,Linear,1.0,2,KMeans,1.0,1.0
48,occupancy_6005.csv,0.018028878788269385,Linear,1.0,3,Linear,1.0,1.0
49,speed_6005.csv,0.020027804017167104,Linear,0.66666667,4,Linear,1.0,1.0
50,TravelTime_387.csv,0.058112611729731714,KMeans,0.66666667,5,Linear,1.0,1.0
51,nyc_taxi.csv,0.06776554631510703,Linear,0.25,6,Linear,1.0,1.0
52,speed_7578.csv,0.06867532025141922,KMeans,0.75,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,speed_6005.csv,0.001998925228897719,Linear,0.66666667,1,Linear,1.0,1.0
56,speed_t4013.csv,0.008129116329205682,Linear,1.0,2,Linear,1.0,1.0
