,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,0.010341648667658965,Linear,1.0,1,Linear,0.4,0.65
2,TravelTime_451.csv,0.027716507486321887,KMeans,0.4,2,KMeans,0.75,1.0
3,occupancy_t4013.csv,0.036927780948073245,Linear,1.0,3,Linear,0.4,0.65
4,TravelTime_387.csv,0.1286530491222467,KMeans,0.66666667,4,KMeans,0.75,1.0
5,occupancy_6005.csv,0.22757031433983152,Linear,1.0,5,Linear,0.4,0.65
6,speed_6005.csv,0.35332943024008734,Linear,0.66666667,6,Linear,0.4,0.65
7,nyc_taxi.csv,1.919304083744249,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,speed_7578.csv,0.02589578220833655,KMeans,0.75,1,KMeans,0.66666667,1.0
11,speed_6005.csv,0.543599456995965,Linear,0.66666667,2,KMeans,0.66666667,1.0
12,occupancy_6005.csv,0.6099515074890142,Linear,1.0,3,Linear,0.5,0.83333333
13,nyc_taxi.csv,0.6116335983089758,Linear,0.25,4,Linear,0.5,0.83333333
14,speed_t4013.csv,0.6179635359990912,Linear,1.0,5,Linear,0.5,0.83333333
15,occupancy_t4013.csv,0.7272628909399768,Linear,1.0,6,Linear,0.5,0.83333333
16,TravelTime_451.csv,0.785358457574919,KMeans,0.4,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_7578.csv,0.13097777633551866,KMeans,0.75,1,KMeans,0.25,1.0
20,TravelTime_387.csv,0.16662293148193463,KMeans,0.66666667,2,KMeans,0.25,1.0
21,speed_6005.csv,0.2751656851586162,Linear,0.66666667,3,KMeans,0.25,1.0
22,speed_t4013.csv,0.28258202880612215,Linear,1.0,4,KMeans,0.25,1.0
23,occupancy_6005.csv,0.3474990477932932,Linear,1.0,5,Linear,0.25,1.0
24,occupancy_t4013.csv,0.3859768789466862,Linear,1.0,6,Linear,0.25,1.0
25,TravelTime_451.csv,0.4928566367115328,KMeans,0.4,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,occupancy_6005.csv,0.020525661333327123,Linear,1.0,1,Linear,0.18181818,0.7818181799999999
29,speed_7578.csv,0.023282701218168268,KMeans,0.75,2,KMeans,0.4,1.0
30,speed_6005.csv,0.0630882101385238,Linear,0.66666667,3,Linear,0.18181818,0.7818181799999999
31,occupancy_t4013.csv,0.4161834127130147,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
32,speed_t4013.csv,0.5366061037309935,Linear,1.0,5,Linear,0.18181818,0.7818181799999999
33,TravelTime_387.csv,0.8073187560283546,KMeans,0.66666667,6,Linear,0.18181818,0.7818181799999999
34,nyc_taxi.csv,0.9854495366754755,Linear,0.25,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,nyc_taxi.csv,0.02874364111535127,Linear,0.25,1,Linear,0.66666667,1.0
38,occupancy_6005.csv,0.0301573615763275,Linear,1.0,2,Linear,0.66666667,1.0
39,TravelTime_451.csv,0.05903997978799891,KMeans,0.4,3,Linear,0.66666667,1.0
40,speed_7578.csv,0.28048446616706657,KMeans,0.75,4,KMeans,0.66666667,1.0
41,occupancy_t4013.csv,0.3139751043514305,Linear,1.0,5,Linear,0.66666667,1.0
42,speed_t4013.csv,0.4897245504230682,Linear,1.0,6,Linear,0.66666667,1.0
43,TravelTime_387.csv,1.2304777122195905,KMeans,0.66666667,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,speed_7578.csv,0.0040525999171905636,KMeans,0.75,1,KMeans,1.0,1.0
47,TravelTime_451.csv,0.02996020831392636,KMeans,0.4,2,KMeans,1.0,1.0
48,speed_t4013.csv,0.0510667952178276,Linear,1.0,3,KMeans,1.0,1.0
