,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,speed_t4013.csv,3.8882834555923393,Linear,1.0,1,Linear,0.4,0.65
2,occupancy_t4013.csv,3.9581169451240745,Linear,1.0,2,Linear,0.4,0.65
3,TravelTime_387.csv,4.707707053959936,KMeans,0.66666667,3,Linear,0.4,0.65
4,TravelTime_451.csv,5.423163222487261,KMeans,0.4,4,KMeans,0.75,1.0
5,occupancy_6005.csv,5.84506930444445,Linear,1.0,5,Linear,0.4,0.65
6,speed_6005.csv,5.905184937714698,Linear,0.66666667,6,Linear,0.4,0.65
7,nyc_taxi.csv,9.044456622849903,Linear,0.25,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,speed_t4013.csv,1.9913809893630536,Linear,1.0,1,Linear,0.5,0.83333333
11,occupancy_t4013.csv,2.219704476436212,Linear,1.0,2,Linear,0.5,0.83333333
12,TravelTime_451.csv,3.684750753799398,KMeans,0.4,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,4.106656835756588,Linear,1.0,4,Linear,0.5,0.83333333
14,speed_6005.csv,4.166772469026835,Linear,0.66666667,5,Linear,0.5,0.83333333
15,nyc_taxi.csv,4.336749568889966,Linear,0.25,6,Linear,0.5,0.83333333
16,speed_7578.csv,4.707707053959936,KMeans,0.75,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_6005.csv,4.232407117496174,Linear,0.66666667,1,Linear,0.25,1.0
20,TravelTime_387.csv,4.336749568889966,KMeans,0.66666667,2,KMeans,0.25,1.0
21,occupancy_6005.csv,4.448860421990064,Linear,1.0,3,Linear,0.25,1.0
22,TravelTime_451.csv,4.4751129558146125,KMeans,0.4,4,KMeans,0.25,1.0
23,speed_t4013.csv,5.156173167257563,Linear,1.0,5,Linear,0.25,1.0
24,occupancy_t4013.csv,5.274743213445344,Linear,1.0,6,Linear,0.25,1.0
25,speed_7578.csv,9.044456622849903,KMeans,0.75,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
