,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
1,nyc_taxi.csv,0.09302332362089505,Linear,0.25,1,Linear,0.4,0.65
2,TravelTime_387.csv,2.6684041735851576,KMeans,0.66666667,2,KMeans,0.75,1.0
3,occupancy_t4013.csv,3.4209789561248396,Linear,1.0,3,Linear,0.4,0.65
4,speed_t4013.csv,3.501432523487705,Linear,1.0,4,Linear,0.4,0.65
5,TravelTime_451.csv,3.727907342217253,KMeans,0.4,5,Linear,0.4,0.65
6,occupancy_6005.csv,3.759637784844106,Linear,1.0,6,Linear,0.4,0.65
7,speed_6005.csv,3.7648188737432458,Linear,0.66666667,7,Linear,0.4,0.65
8,,,,,,,,
9,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
10,occupancy_t4013.csv,0.7525747825396824,Linear,1.0,1,Linear,0.5,0.83333333
11,speed_t4013.csv,0.8330283499025479,Linear,1.0,2,Linear,0.5,0.83333333
12,TravelTime_451.csv,1.0595031686320955,KMeans,0.4,3,Linear,0.5,0.83333333
13,occupancy_6005.csv,1.0912336112589487,Linear,1.0,4,Linear,0.5,0.83333333
14,speed_6005.csv,1.0964147001580882,Linear,0.66666667,5,Linear,0.5,0.83333333
15,speed_7578.csv,2.6684041735851576,KMeans,0.75,6,Linear,0.5,0.83333333
16,nyc_taxi.csv,2.7614274972060526,Linear,0.25,7,Linear,0.5,0.83333333
17,,,,,,,,
18,nyc_taxi.csv,0,Linear,0.25,0,Linear,0.25,1
19,speed_7578.csv,0.09302332362089505,KMeans,0.75,1,KMeans,0.25,1.0
20,TravelTime_387.csv,2.7614274972060526,KMeans,0.66666667,2,KMeans,0.25,1.0
21,occupancy_t4013.csv,3.5140022797457346,Linear,1.0,3,KMeans,0.25,1.0
22,speed_t4013.csv,3.5944558471086,Linear,1.0,4,KMeans,0.25,1.0
23,TravelTime_451.csv,3.820930665838148,KMeans,0.4,5,KMeans,0.25,1.0
24,occupancy_6005.csv,3.852661108465001,Linear,1.0,6,KMeans,0.25,1.0
25,speed_6005.csv,3.857842197364141,Linear,0.66666667,7,Linear,0.25,1.0
26,,,,,,,,
27,TravelTime_451.csv,0,KMeans,0.4,0,KMeans,0.4,1
28,occupancy_6005.csv,0.03173044262685315,Linear,1.0,1,Linear,0.18181818,0.7818181799999999
29,speed_6005.csv,0.036911531525992636,Linear,0.66666667,2,Linear,0.18181818,0.7818181799999999
30,speed_t4013.csv,0.2264748187295476,Linear,1.0,3,Linear,0.18181818,0.7818181799999999
31,occupancy_t4013.csv,0.3069283860924132,Linear,1.0,4,Linear,0.18181818,0.7818181799999999
32,TravelTime_387.csv,1.0595031686320955,KMeans,0.66666667,5,Linear,0.18181818,0.7818181799999999
33,speed_7578.csv,3.727907342217253,KMeans,0.75,6,Linear,0.18181818,0.7818181799999999
34,nyc_taxi.csv,3.820930665838148,Linear,0.25,7,Linear,0.18181818,0.7818181799999999
35,,,,,,,,
36,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
37,occupancy_6005.csv,0.0051810888991394854,Linear,1.0,1,Linear,0.66666667,1.0
38,TravelTime_451.csv,0.036911531525992636,KMeans,0.4,2,KMeans,0.66666667,1.0
39,speed_t4013.csv,0.26338635025554025,Linear,1.0,3,Linear,0.66666667,1.0
40,occupancy_t4013.csv,0.3438399176184058,Linear,1.0,4,Linear,0.66666667,1.0
41,TravelTime_387.csv,1.0964147001580882,KMeans,0.66666667,5,Linear,0.66666667,1.0
42,speed_7578.csv,3.7648188737432458,KMeans,0.75,6,KMeans,0.66666667,1.0
43,nyc_taxi.csv,3.857842197364141,Linear,0.25,7,Linear,0.66666667,1.0
44,,,,,,,,
45,occupancy_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,speed_t4013.csv,0.08045356736286557,Linear,1.0,1,Linear,1.0,1.0
47,TravelTime_451.csv,0.3069283860924132,KMeans,0.4,2,KMeans,1.0,1.0
48,occupancy_6005.csv,0.33865882871926634,Linear,1.0,3,Linear,1.0,1.0
49,speed_6005.csv,0.3438399176184058,Linear,0.66666667,4,Linear,1.0,1.0
50,TravelTime_387.csv,0.7525747825396824,KMeans,0.66666667,5,Linear,1.0,1.0
51,speed_7578.csv,3.4209789561248396,KMeans,0.75,6,KMeans,1.0,1.0
52,nyc_taxi.csv,3.5140022797457346,Linear,0.25,7,Linear,1.0,1.0
53,,,,,,,,
54,occupancy_6005.csv,0,Linear,1.0,0,Linear,1.0,1
55,speed_6005.csv,0.0051810888991394854,Linear,0.66666667,1,Linear,1.0,1.0
56,TravelTime_451.csv,0.03173044262685315,KMeans,0.4,2,KMeans,1.0,1.0
57,speed_t4013.csv,0.25820526135640076,Linear,1.0,3,Linear,1.0,1.0
58,occupancy_t4013.csv,0.33865882871926634,Linear,1.0,4,Linear,1.0,1.0
59,TravelTime_387.csv,1.0912336112589487,KMeans,0.66666667,5,Linear,1.0,1.0
60,speed_7578.csv,3.759637784844106,KMeans,0.75,6,KMeans,1.0,1.0
61,nyc_taxi.csv,3.852661108465001,Linear,0.25,7,Linear,1.0,1.0
62,,,,,,,,
63,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
64,occupancy_t4013.csv,0.08045356736286557,Linear,1.0,1,Linear,1.0,1.0
65,TravelTime_451.csv,0.2264748187295476,KMeans,0.4,2,KMeans,0.8,0.8
66,occupancy_6005.csv,0.25820526135640076,Linear,1.0,3,Linear,1.0,1.0
67,speed_6005.csv,0.26338635025554025,Linear,0.66666667,4,Linear,1.0,1.0
68,TravelTime_387.csv,0.8330283499025479,KMeans,0.66666667,5,Linear,1.0,1.0
69,speed_7578.csv,3.501432523487705,KMeans,0.75,6,KMeans,0.8,0.8
70,nyc_taxi.csv,3.5944558471086,Linear,0.25,7,Linear,1.0,1.0
71,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.625,0.90814393875
0,,,,,2.0,,0.625,0.9268939387499999
0,,,,,3.0,,0.625,0.90814393875
0,,,,,4.0,,0.625,0.90814393875
0,,,,,5.0,,0.625,0.90814393875
0,,,,,6.0,,0.5,0.88314393875
0,,,,,7.0,,0.625,0.90814393875
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
