,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
1,speed_6005.csv,5.634042e+21,Linear,0.66666667,1,Linear,0.4,0.65,0.0
2,occupancy_6005.csv,5.6567733e+21,Linear,1.0,2,Linear,0.4,0.65,0.0
3,TravelTime_451.csv,5.702044e+21,KMeans,0.4,3,Linear,0.4,0.65,0.0
4,nyc_taxi.csv,5.724207e+21,Linear,0.25,4,Linear,0.4,0.65,0.0
5,occupancy_t4013.csv,5.9432524e+21,Linear,1.0,5,Linear,0.4,0.65,0.0
6,speed_t4013.csv,5.94389e+21,Linear,1.0,6,Linear,0.4,0.65,0.0
7,TravelTime_387.csv,5.9542535e+21,KMeans,0.66666667,7,Linear,0.4,0.65,0.0
8,,,,,,,,,
9,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
10,speed_6005.csv,6.891151e+21,Linear,0.66666667,1,Linear,0.4,0.65,0.1
11,occupancy_6005.csv,6.913882e+21,Linear,1.0,2,Linear,0.4,0.65,0.1
12,TravelTime_451.csv,6.959153e+21,KMeans,0.4,3,Linear,0.4,0.65,0.1
13,nyc_taxi.csv,6.981316e+21,Linear,0.25,4,Linear,0.4,0.65,0.1
14,occupancy_t4013.csv,7.200361e+21,Linear,1.0,5,Linear,0.4,0.65,0.1
15,speed_t4013.csv,7.200999e+21,Linear,1.0,6,Linear,0.4,0.65,0.1
16,TravelTime_387.csv,7.2113624e+21,KMeans,0.66666667,7,Linear,0.4,0.65,0.1
17,,,,,,,,,
18,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
19,speed_6005.csv,1.0078219e+22,Linear,0.66666667,1,Linear,0.4,0.65,0.2
20,occupancy_6005.csv,1.0100951e+22,Linear,1.0,2,Linear,0.4,0.65,0.2
21,TravelTime_451.csv,1.0146223e+22,KMeans,0.4,3,Linear,0.4,0.65,0.2
22,nyc_taxi.csv,1.0168385e+22,Linear,0.25,4,Linear,0.4,0.65,0.2
