,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
1,speed_t4013.csv,2.770758689392398,Linear,1.0,1,Linear,0.4,0.65,0.0
2,speed_6005.csv,3.1757362846683566,Linear,0.66666667,2,Linear,0.4,0.65,0.0
3,TravelTime_387.csv,3.761054675438157,KMeans,0.66666667,3,Linear,0.4,0.65,0.0
4,occupancy_t4013.csv,4.0273292203342,Linear,1.0,4,Linear,0.4,0.65,0.0
5,nyc_taxi.csv,4.252608832428184,Linear,0.25,5,Linear,0.4,0.65,0.0
6,TravelTime_451.csv,4.268736641765062,KMeans,0.4,6,Linear,0.4,0.65,0.0
7,occupancy_6005.csv,4.299983876641256,Linear,1.0,7,Linear,0.4,0.65,0.0
8,,,,,,,,,
9,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
10,speed_t4013.csv,2.776767373795798,Linear,1.0,1,Linear,0.4,0.65,0.1
11,speed_6005.csv,3.1809800821590364,Linear,0.66666667,2,Linear,0.4,0.65,0.1
12,TravelTime_387.csv,3.9045527620503764,KMeans,0.66666667,3,Linear,0.4,0.65,0.1
13,occupancy_t4013.csv,4.161655998392668,Linear,1.0,4,Linear,0.4,0.65,0.1
14,nyc_taxi.csv,4.3800321781519145,Linear,0.25,5,Linear,0.4,0.65,0.1
15,TravelTime_451.csv,4.395692495699359,KMeans,0.4,6,Linear,0.4,0.65,0.1
16,occupancy_6005.csv,4.426043531120628,Linear,1.0,7,Linear,0.4,0.65,0.1
17,,,,,,,,,
18,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
19,speed_t4013.csv,2.831684489517999,Linear,1.0,1,Linear,0.4,0.65,0.2
20,speed_6005.csv,3.229029929110678,Linear,0.66666667,2,Linear,0.4,0.65,0.2
21,TravelTime_387.csv,4.230862670697537,KMeans,0.66666667,3,Linear,0.4,0.65,0.2
22,occupancy_t4013.csv,4.469233414761903,Linear,1.0,4,Linear,0.4,0.65,0.2
23,nyc_taxi.csv,4.673258878803193,Linear,0.25,5,Linear,0.4,0.65,0.2
24,TravelTime_451.csv,4.6879397589361504,KMeans,0.4,6,Linear,0.4,0.65,0.2
25,occupancy_6005.csv,4.7164105001623255,Linear,1.0,7,Linear,0.4,0.65,0.2
26,,,,,,,,,
27,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
28,speed_t4013.csv,3.0636509344533382,Linear,1.0,1,Linear,0.4,0.65,0.30000000000000004
29,speed_6005.csv,3.4342618250640866,Linear,0.66666667,2,Linear,0.4,0.65,0.30000000000000004
30,TravelTime_387.csv,4.846825655859915,KMeans,0.66666667,3,Linear,0.4,0.65,0.30000000000000004
31,occupancy_t4013.csv,5.056240432932787,Linear,1.0,4,Linear,0.4,0.65,0.30000000000000004
32,nyc_taxi.csv,5.237448667845144,Linear,0.25,5,Linear,0.4,0.65,0.30000000000000004
33,TravelTime_451.csv,5.2505522741340585,KMeans,0.4,6,Linear,0.4,0.65,0.30000000000000004
34,occupancy_6005.csv,5.275987870156777,Linear,1.0,7,Linear,0.4,0.65,0.30000000000000004
35,,,,,,,,,
36,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
37,speed_t4013.csv,3.7726457888565172,Linear,1.0,1,Linear,0.4,0.65,0.4
38,speed_6005.csv,4.079344736975844,Linear,0.66666667,2,Linear,0.4,0.65,0.4
39,TravelTime_387.csv,5.97161771535167,KMeans,0.66666667,3,Linear,0.4,0.65,0.4
40,occupancy_t4013.csv,6.142806078302028,Linear,1.0,4,Linear,0.4,0.65,0.4
41,nyc_taxi.csv,6.292802853126171,Linear,0.25,5,Linear,0.4,0.65,0.4
42,TravelTime_451.csv,6.303713063220306,KMeans,0.4,6,Linear,0.4,0.65,0.4
43,occupancy_6005.csv,6.3249147983226965,Linear,1.0,7,Linear,0.4,0.65,0.4
44,,,,,,,,,
45,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
46,speed_t4013.csv,5.502079629392583,Linear,1.0,1,Linear,0.4,0.65,0.5
47,speed_6005.csv,5.716736611310033,Linear,0.66666667,2,Linear,0.4,0.65,0.5
48,TravelTime_387.csv,8.03200112912728,KMeans,0.66666667,3,Linear,0.4,0.65,0.5
49,occupancy_t4013.csv,8.160079075329133,Linear,1.0,4,Linear,0.4,0.65,0.5
50,nyc_taxi.csv,8.273583972397505,Linear,0.25,5,Linear,0.4,0.65,0.5
