,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
1,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.0
2,,,,,,,,,
3,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
4,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.1
5,,,,,,,,,
6,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
7,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.2
8,,,,,,,,,
9,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
10,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.30000000000000004
11,,,,,,,,,
12,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
13,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.4
14,,,,,,,,,
15,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
16,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.5
17,,,,,,,,,
18,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
19,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.6000000000000001
20,,,,,,,,,
21,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
22,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.7000000000000001
23,,,,,,,,,
24,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
25,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.8
26,,,,,,,,,
27,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
28,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,0.9
29,,,,,,,,,
30,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
31,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.75,1.0,1.0
32,,,,,,,,,
33,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1,
34,nyc_taxi.csv,0.0,Linear,0.25,1,Linear,0.5,0.83333333,0.0
35,,,,,,,,,
36,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1,
37,nyc_taxi.csv,0.0,Linear,0.25,1,Linear,0.5,0.83333333,0.1
38,,,,,,,,,
39,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1,
40,nyc_taxi.csv,0.0,Linear,0.25,1,Linear,0.5,0.83333333,0.2
41,,,,,,,,,
42,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1,
