,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
1,speed_6005.csv,15203417494.889145,Linear,0.66666667,1,Linear,0.4,0.65,0.0
2,occupancy_6005.csv,15264687227.662136,Linear,1.0,2,Linear,0.4,0.65,0.0
3,TravelTime_451.csv,15386849553.471909,KMeans,0.4,3,Linear,0.4,0.65,0.0
4,nyc_taxi.csv,15446655040.67117,Linear,0.25,4,Linear,0.4,0.65,0.0
5,occupancy_t4013.csv,16037746204.217434,Linear,1.0,5,Linear,0.4,0.65,0.0
6,speed_t4013.csv,16039492295.455261,Linear,1.0,6,Linear,0.4,0.65,0.0
7,TravelTime_387.csv,16067444116.24231,KMeans,0.66666667,7,Linear,0.4,0.65,0.0
8,,,,,,,,,
9,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
10,speed_6005.csv,23498287319.78827,Linear,0.66666667,1,Linear,0.4,0.65,0.1
11,occupancy_6005.csv,23575867885.097656,Linear,1.0,2,Linear,0.4,0.65,0.1
12,TravelTime_451.csv,23730241845.32422,KMeans,0.4,3,Linear,0.4,0.65,0.1
13,nyc_taxi.csv,23805816814.986782,Linear,0.25,4,Linear,0.4,0.65,0.1
14,occupancy_t4013.csv,24552764941.488464,Linear,1.0,5,Linear,0.4,0.65,0.1
15,speed_t4013.csv,24554917754.019257,Linear,1.0,6,Linear,0.4,0.65,0.1
16,TravelTime_387.csv,24590287127.64521,KMeans,0.66666667,7,Linear,0.4,0.65,0.1
17,,,,,,,,,
18,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
19,speed_6005.csv,33879665391.796875,Linear,0.66666667,1,Linear,0.4,0.65,0.2
20,occupancy_6005.csv,33956115777.335922,Linear,1.0,2,Linear,0.4,0.65,0.2
21,TravelTime_451.csv,34108304700.212585,KMeans,0.4,3,Linear,0.4,0.65,0.2
22,nyc_taxi.csv,34182809987.67418,Linear,0.25,4,Linear,0.4,0.65,0.2
23,occupancy_t4013.csv,34919187525.79607,Linear,1.0,5,Linear,0.4,0.65,0.2
24,speed_t4013.csv,34921320956.52759,Linear,1.0,6,Linear,0.4,0.65,0.2
25,TravelTime_387.csv,34956184409.34375,KMeans,0.66666667,7,Linear,0.4,0.65,0.2
26,,,,,,,,,
27,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
28,speed_6005.csv,38220120119.08615,Linear,0.66666667,1,Linear,0.4,0.65,0.30000000000000004
29,occupancy_6005.csv,38270576716.61749,Linear,1.0,2,Linear,0.4,0.65,0.30000000000000004
30,TravelTime_451.csv,38370735188.2263,KMeans,0.4,3,Linear,0.4,0.65,0.30000000000000004
31,nyc_taxi.csv,38419768520.85008,Linear,0.25,4,Linear,0.4,0.65,0.30000000000000004
32,occupancy_t4013.csv,38904383021.811844,Linear,1.0,5,Linear,0.4,0.65,0.30000000000000004
33,speed_t4013.csv,38905737410.904686,Linear,1.0,6,Linear,0.4,0.65,0.30000000000000004
34,TravelTime_387.csv,38928697517.33392,KMeans,0.66666667,7,Linear,0.4,0.65,0.30000000000000004
35,,,,,,,,,
36,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
37,speed_6005.csv,109843394433.71165,Linear,0.66666667,1,Linear,0.4,0.65,0.4
38,occupancy_6005.csv,109916477842.15082,Linear,1.0,2,Linear,0.4,0.65,0.4
39,TravelTime_451.csv,110061889228.03294,KMeans,0.4,3,Linear,0.4,0.65,0.4
40,nyc_taxi.csv,110133076412.84203,Linear,0.25,4,Linear,0.4,0.65,0.4
41,occupancy_t4013.csv,110836653664.35202,Linear,1.0,5,Linear,0.4,0.65,0.4
42,speed_t4013.csv,110838678938.88599,Linear,1.0,6,Linear,0.4,0.65,0.4
43,TravelTime_387.csv,110871981054.11661,KMeans,0.66666667,7,Linear,0.4,0.65,0.4
44,,,,,,,,,
45,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
46,speed_6005.csv,563196387498.1904,Linear,0.66666667,1,Linear,0.4,0.65,0.5
47,occupancy_6005.csv,563361626847.4692,Linear,1.0,2,Linear,0.4,0.65,0.5
48,TravelTime_451.csv,563691105160.4814,KMeans,0.4,3,Linear,0.4,0.65,0.5
49,nyc_taxi.csv,563852403994.2102,Linear,0.25,4,Linear,0.4,0.65,0.5
50,occupancy_t4013.csv,565446609786.9525,Linear,1.0,5,Linear,0.4,0.65,0.5
51,speed_t4013.csv,565451321975.6335,Linear,1.0,6,Linear,0.4,0.65,0.5
52,TravelTime_387.csv,565526707044.0732,KMeans,0.66666667,7,Linear,0.4,0.65,0.5
53,,,,,,,,,
54,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
55,speed_6005.csv,444464060536.86194,Linear,0.66666667,1,Linear,0.4,0.65,0.6000000000000001
56,occupancy_6005.csv,444514831137.40796,Linear,1.0,2,Linear,0.4,0.65,0.6000000000000001
57,TravelTime_451.csv,444616122783.99567,KMeans,0.4,3,Linear,0.4,0.65,0.6000000000000001
58,nyc_taxi.csv,444665710959.49774,Linear,0.25,4,Linear,0.4,0.65,0.6000000000000001
