,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
1,TravelTime_387.csv,10652.662110860123,KMeans,0.66666667,1,KMeans,0.75,1.0,0.0
2,speed_t4013.csv,12454.37310036573,Linear,1.0,2,KMeans,0.75,1.0,0.0
3,occupancy_t4013.csv,12465.75666080145,Linear,1.0,3,Linear,0.4,0.65,0.0
4,nyc_taxi.csv,13895.834987067672,Linear,0.25,4,Linear,0.4,0.65,0.0
5,TravelTime_451.csv,13995.419205223201,KMeans,0.4,5,Linear,0.4,0.65,0.0
6,occupancy_6005.csv,14187.425918061987,Linear,1.0,6,Linear,0.4,0.65,0.0
7,speed_6005.csv,14274.720028506825,Linear,0.66666667,7,Linear,0.4,0.65,0.0
8,,,,,,,,,
9,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
10,TravelTime_387.csv,11801.481312106464,KMeans,0.66666667,1,KMeans,0.75,1.0,0.1
11,speed_t4013.csv,13603.19230161207,Linear,1.0,2,KMeans,0.75,1.0,0.1
12,occupancy_t4013.csv,13614.57586204779,Linear,1.0,3,Linear,0.4,0.65,0.1
13,nyc_taxi.csv,15044.654188314013,Linear,0.25,4,Linear,0.4,0.65,0.1
14,TravelTime_451.csv,15144.238406469542,KMeans,0.4,5,Linear,0.4,0.65,0.1
15,occupancy_6005.csv,15336.245119308327,Linear,1.0,6,Linear,0.4,0.65,0.1
16,speed_6005.csv,15423.539229753165,Linear,0.66666667,7,Linear,0.4,0.65,0.1
17,,,,,,,,,
18,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
19,TravelTime_387.csv,14328.883554848411,KMeans,0.66666667,1,KMeans,0.75,1.0,0.2
20,speed_t4013.csv,16130.594544354019,Linear,1.0,2,KMeans,0.75,1.0,0.2
21,occupancy_t4013.csv,16141.978104789738,Linear,1.0,3,Linear,0.4,0.65,0.2
22,nyc_taxi.csv,17572.05643105596,Linear,0.25,4,Linear,0.4,0.65,0.2
23,TravelTime_451.csv,17671.640649211487,KMeans,0.4,5,Linear,0.4,0.65,0.2
24,occupancy_6005.csv,17863.647362050273,Linear,1.0,6,Linear,0.4,0.65,0.2
25,speed_6005.csv,17950.941472495113,Linear,0.66666667,7,Linear,0.4,0.65,0.2
26,,,,,,,,,
27,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
28,TravelTime_387.csv,18878.207591783917,KMeans,0.66666667,1,KMeans,0.75,1.0,0.30000000000000004
29,speed_t4013.csv,20679.918581289527,Linear,1.0,2,KMeans,0.75,1.0,0.30000000000000004
30,occupancy_t4013.csv,20691.302141725246,Linear,1.0,3,Linear,0.4,0.65,0.30000000000000004
31,nyc_taxi.csv,22121.380467991465,Linear,0.25,4,Linear,0.4,0.65,0.30000000000000004
32,TravelTime_451.csv,22220.964686146996,KMeans,0.4,5,Linear,0.4,0.65,0.30000000000000004
33,occupancy_6005.csv,22412.97139898578,Linear,1.0,6,Linear,0.4,0.65,0.30000000000000004
34,speed_6005.csv,22500.26550943062,Linear,0.66666667,7,Linear,0.4,0.65,0.30000000000000004
35,,,,,,,,,
36,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
37,TravelTime_387.csv,26763.702589138797,KMeans,0.66666667,1,KMeans,0.75,1.0,0.4
38,speed_t4013.csv,28565.413578644406,Linear,1.0,2,KMeans,0.75,1.0,0.4
39,occupancy_t4013.csv,28576.797139080125,Linear,1.0,3,Linear,0.4,0.65,0.4
40,nyc_taxi.csv,30006.875465346344,Linear,0.25,4,Linear,0.4,0.65,0.4
41,TravelTime_451.csv,30106.459683501875,KMeans,0.4,5,Linear,0.4,0.65,0.4
42,occupancy_6005.csv,30298.46639634066,Linear,1.0,6,Linear,0.4,0.65,0.4
43,speed_6005.csv,30385.7605067855,Linear,0.66666667,7,Linear,0.4,0.65,0.4
44,,,,,,,,,
45,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
