,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
1,speed_6005.csv,39109408.97997275,Linear,0.66666667,1,Linear,0.4,0.65,0.0
2,occupancy_6005.csv,39520256.48513815,Linear,1.0,2,Linear,0.4,0.65,0.0
3,TravelTime_451.csv,40383055.107729174,KMeans,0.4,3,Linear,0.4,0.65,0.0
4,nyc_taxi.csv,40830515.8522274,Linear,0.25,4,Linear,0.4,0.65,0.0
5,occupancy_t4013.csv,47212980.77627162,Linear,1.0,5,Linear,0.4,0.65,0.0
6,speed_t4013.csv,47242763.21151822,Linear,1.0,6,Linear,0.4,0.65,0.0
7,TravelTime_387.csv,47669196.25584735,KMeans,0.66666667,7,Linear,0.4,0.65,0.0
8,,,,,,,,,
9,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
10,speed_6005.csv,44273503.21177576,Linear,0.66666667,1,Linear,0.4,0.65,0.1
11,occupancy_6005.csv,44684356.32177173,Linear,1.0,2,Linear,0.4,0.65,0.1
12,TravelTime_451.csv,45547171.06857559,KMeans,0.4,3,Linear,0.4,0.65,0.1
13,nyc_taxi.csv,45994641.258870594,Linear,0.25,4,Linear,0.4,0.65,0.1
14,occupancy_t4013.csv,52380789.208012275,Linear,1.0,5,Linear,0.4,0.65,0.1
15,speed_t4013.csv,52410997.79662703,Linear,1.0,6,Linear,0.4,0.65,0.1
16,TravelTime_387.csv,52851766.41896841,KMeans,0.66666667,7,Linear,0.4,0.65,0.1
17,,,,,,,,,
18,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
19,speed_6005.csv,55634270.64957235,Linear,0.66666667,1,Linear,0.4,0.65,0.2
20,occupancy_6005.csv,56045131.909925245,Linear,1.0,2,Linear,0.4,0.65,0.2
21,TravelTime_451.csv,56907966.2301313,KMeans,0.4,3,Linear,0.4,0.65,0.2
22,nyc_taxi.csv,57355450.47914386,Linear,0.25,4,Linear,0.4,0.65,0.2
23,occupancy_t4013.csv,63746992.30909527,Linear,1.0,5,Linear,0.4,0.65,0.2
24,speed_t4013.csv,63777499.478613414,Linear,1.0,6,Linear,0.4,0.65,0.2
25,TravelTime_387.csv,64240299.249944635,KMeans,0.66666667,7,Linear,0.4,0.65,0.2
26,,,,,,,,,
27,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
28,speed_6005.csv,76082790.31575976,Linear,0.66666667,1,Linear,0.4,0.65,0.30000000000000004
29,occupancy_6005.csv,76493642.96344963,Linear,1.0,2,Linear,0.4,0.65,0.30000000000000004
30,TravelTime_451.csv,77356455.89594944,KMeans,0.4,3,Linear,0.4,0.65,0.30000000000000004
31,nyc_taxi.csv,77803926.69223532,Linear,0.25,4,Linear,0.4,0.65,0.30000000000000004
32,occupancy_t4013.csv,84196224.40095808,Linear,1.0,5,Linear,0.4,0.65,0.30000000000000004
33,speed_t4013.csv,84226665.59775534,Linear,1.0,6,Linear,0.4,0.65,0.30000000000000004
34,TravelTime_387.csv,84700054.84330311,KMeans,0.66666667,7,Linear,0.4,0.65,0.30000000000000004
35,,,,,,,,,
36,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
37,speed_6005.csv,111527962.87891603,Linear,0.66666667,1,Linear,0.4,0.65,0.4
38,occupancy_6005.csv,111938830.19283427,Linear,1.0,2,Linear,0.4,0.65,0.4
39,TravelTime_451.csv,112801676.17943873,KMeans,0.4,3,Linear,0.4,0.65,0.4
40,nyc_taxi.csv,113249170.71192595,Linear,0.25,4,Linear,0.4,0.65,0.4
41,occupancy_t4013.csv,119651597.88738103,Linear,1.0,5,Linear,0.4,0.65,0.4
42,speed_t4013.csv,119682909.46367581,Linear,1.0,6,Linear,0.4,0.65,0.4
43,TravelTime_387.csv,120196496.05941574,KMeans,0.66666667,7,Linear,0.4,0.65,0.4
44,,,,,,,,,
45,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
46,speed_6005.csv,173555927.76268396,Linear,0.66666667,1,Linear,0.4,0.65,0.5
47,occupancy_6005.csv,173966786.30381727,Linear,1.0,2,Linear,0.4,0.65,0.5
48,TravelTime_451.csv,174829626.52936503,KMeans,0.4,3,Linear,0.4,0.65,0.5
49,nyc_taxi.csv,175277115.7506387,Linear,0.25,4,Linear,0.4,0.65,0.5
50,occupancy_t4013.csv,181688781.4920088,Linear,1.0,5,Linear,0.4,0.65,0.5
51,speed_t4013.csv,181720941.85361266,Linear,1.0,6,Linear,0.4,0.65,0.5
52,TravelTime_387.csv,182275548.50698823,KMeans,0.66666667,7,Linear,0.4,0.65,0.5
53,,,,,,,,,
54,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1,
55,speed_6005.csv,285209203.6420916,Linear,0.66666667,1,Linear,0.4,0.65,0.6000000000000001
